body_code	race_id	candidate_id	candidate_name
ADHB	1	1	AGNEW Jo
ADHB	1	2	MATHIAS Lee
ADHB	1	3	ATKINSON Michelle
ADHB	1	4	BASSETT Judith Ola
ADHB	1	5	ARMSTRONG Douglas
ADHB	1	6	NORTHEY Robyn
ADHB	1	7	BROWNLIE Zoe
ADHB	1	8	BELL Alastair
ADHB	1	9	SUNDBORN Gerhard
ADHB	1	10	WARD Ian
ADHB	1	11	AITKEN Peter
ADHB	1	12	MILNE Scott
ADHB	1	13	DANCE Annette
ADHB	1	14	NGATAI George
ADHB	1	15	ELLEY Jeanette
ADHB	1	16	TEMATA Sonya
ADHB	1	17	PEEL Chris
ADHB	1	18	HANDLEY Cath
ADHB	1	19	DAWE Andrea
ADHB	1	20	BENSON-COOPER Mary-Anne
ADHB	1	21	LE FEVRE Mark
ADHB	1	22	AMOS Adam
ADHB	1	23	DAVIS William
ADHB	1	24	THOMPSON Max
ADHB	1	25	CHAMBERS Paul
ADHB	1	26	BOONE Trevor
ADHB	1	27	BENSCH John
ADHB	1	28	SULLIVAN-TAYLOR Bridgette
BOPDHB	1	1	ARUNDEL Mark
BOPDHB	1	2	BOYES Yvonne
BOPDHB	1	3	ESTERMAN Geoff
BOPDHB	1	4	GUY Marion
BOPDHB	1	5	TURNER Judy
BOPDHB	1	6	PARKINSON Matua
BOPDHB	1	7	SCOTT Ron
BOPDHB	1	8	EDLIN Bev
BOPDHB	1	9	NEES Jane
BOPDHB	1	10	MURFITT Kirsten Marie
BOPDHB	1	11	CHAMBERLAIN Ron
BOPDHB	1	12	PETERS Janet
BOPDHB	1	13	HUNTER Callum
BOPDHB	1	14	FORSTER Richard
BOPDHB	1	15	RHODES Hylton
BOPDHB	1	16	FYFE Ron
BOPDHB	1	17	GORDON Carole
BOPDHB	1	18	NICHOLL Peter
BOPDHB	1	19	LAMARE Yvette Nora
BOPDHB	1	20	MONCRIEFF Rob
CCDHB	1	1	Wilde Fran
CCDHB	1	2	Kedgley Sue
CCDHB	1	3	Brown Eileen
CCDHB	1	4	Coffey 'Ana
CCDHB	1	5	Adams Kathryn
CCDHB	1	6	Blakeley Roger
CCDHB	1	7	Driver Sue
CCDHB	1	8	Ritchie Helene
CCDHB	1	9	Brookes Grant
CCDHB	1	10	Teng Sue
CCDHB	1	11	Church Ross
CCDHB	1	12	Scott Ian
CCDHB	1	13	Dudfield Paul
CCDHB	1	14	Filemoni Tavita Joseph
CCDHB	1	15	Apanowicz John
CCDHB	1	16	Siers Judy
CCDHB	1	17	Litras Stan
CCDHB	1	18	Robinson Helen
CCDHB	1	19	Hausberg Norbert
CCDHB	1	20	Douglas Paul
CDHB	1	1	Buck Sally
CDHB	1	2	Mene Chris
CDHB	1	3	Dickerson Andrew
CDHB	1	4	Kane Jo
CDHB	1	5	Crighton Anna
CDHB	1	6	Keown Aaron
