body_code	race_id	candidate_id	iteration	votes	status_code
ADHB	1	1	1	11620.0	H
ADHB	1	2	1	8989.0	H
ADHB	1	3	1	6755.0	H
ADHB	1	4	1	6797.0	H
ADHB	1	5	1	6328.0	H
ADHB	1	6	1	4781.0	H
ADHB	1	7	1	4811.0	H
ADHB	1	8	1	4493.0	H
ADHB	1	9	1	3460.0	H
ADHB	1	10	1	4311.0	H
ADHB	1	11	1	4380.0	H
ADHB	1	12	1	4513.0	H
ADHB	1	13	1	2765.0	H
ADHB	1	14	1	2850.0	H
ADHB	1	15	1	2963.0	H
ADHB	1	16	1	2574.0	H
ADHB	1	17	1	2372.0	H
ADHB	1	18	1	2341.0	H
ADHB	1	19	1	2228.0	H
ADHB	1	20	1	1969.0	H
ADHB	1	21	1	1596.0	H
ADHB	1	22	1	1476.0	H
ADHB	1	23	1	1378.0	H
ADHB	1	24	1	1040.0	H
ADHB	1	25	1	917.0	H
ADHB	1	26	1	859.0	H
ADHB	1	27	1	753.0	H
ADHB	1	28	1	656.0	X
ADHB	1	1	2	11640.0	H
ADHB	1	2	2	9015.0	H
ADHB	1	3	2	6786.0	H
ADHB	1	4	2	6823.0	H
ADHB	1	5	2	6362.0	H
ADHB	1	6	2	4806.0	H
ADHB	1	7	2	4842.0	H
ADHB	1	8	2	4514.0	H
ADHB	1	9	2	3474.0	H
ADHB	1	10	2	4324.0	H
ADHB	1	11	2	4403.0	H
ADHB	1	12	2	4539.0	H
ADHB	1	13	2	2793.0	H
ADHB	1	14	2	2867.0	H
ADHB	1	15	2	2992.0	H
ADHB	1	16	2	2603.0	H
ADHB	1	17	2	2391.0	H
ADHB	1	18	2	2356.0	H
ADHB	1	19	2	2244.0	H
ADHB	1	20	2	1993.0	H
ADHB	1	21	2	1610.0	H
ADHB	1	22	2	1494.0	H
ADHB	1	23	2	1394.0	H
ADHB	1	24	2	1067.0	H
ADHB	1	25	2	935.0	H
ADHB	1	26	2	873.0	H
ADHB	1	27	2	764.0	X
ADHB	1	28	2	0.0	X
ADHB	1	1	3	11659.0	H
ADHB	1	2	3	9037.0	H
ADHB	1	3	3	6811.0	H
ADHB	1	4	3	6846.0	H
ADHB	1	5	3	6381.0	H
ADHB	1	6	3	4818.0	H
ADHB	1	7	3	4916.0	H
ADHB	1	8	3	4561.0	H
ADHB	1	9	3	3492.0	H
ADHB	1	10	3	4348.0	H
ADHB	1	11	3	4426.0	H
ADHB	1	12	3	4557.0	H
ADHB	1	13	3	2841.0	H
ADHB	1	14	3	2878.0	H
ADHB	1	15	3	3010.0	H
ADHB	1	16	3	2627.0	H
ADHB	1	17	3	2403.0	H
ADHB	1	18	3	2391.0	H
ADHB	1	19	3	2257.0	H
ADHB	1	20	3	2060.0	H
ADHB	1	21	3	1626.0	H
ADHB	1	22	3	1530.0	H
ADHB	1	23	3	1408.0	H
ADHB	1	24	3	1094.0	H
ADHB	1	25	3	976.0	H
ADHB	1	26	3	913.0	X
ADHB	1	27	3	0.0	X
ADHB	1	28	3	0.0	X
ADHB	1	1	4	11695.0	H
ADHB	1	2	4	9076.0	H
ADHB	1	3	4	6835.0	H
ADHB	1	4	4	6880.0	H
