ITER	CANDIDATE	VOTES
1	VANDERVIS Lee	7493
1	GAREY Christine	3959
1	WHILEY Andrew	3323
1	O'MALLEY Jim	3243
1	RADICH Jules	2578
1	BENSON-POPE David	1960
1	LAUFISO Marie	1764
1	WALKER Steve	1586
1	STAYNES Chris	1415
1	ELDER Rachel	1268
1	BARKER Sophie	1230
1	HOULAHAN Carmen	1195
1	NEWELL Damian	1044
1	LORD Mike	1041
1	DAVIE-NITIS Sarah	994
1	BARLIN Bob	888
1	HALL Doug	885
1	MAYHEM-BULLOCK Mandy	856
1	LUND Russell	800
1	BARBOUR-EVANS Scout	779
1	CAMPBELL Finn	749
1	HANAN Dave	711
1	GUTHRIE John	530
1	MARRABLE John	331
1	SEAGER Richard	331
1	LINDSEY Jason	279
1	MORRIS George	277
1	MONCRIEF-SPITTLE Malcolm	252
1	MILLER Brian	200
1	JEMMETT Neville K	176
1	ROBINSON-LEWIS Hadley	176
1	FORSYTH Hugh	132
1	STEELE-MACINTOSH Callum	99
1	MACKENZIE Peter	92
1	JAMES Muthiah	90
1	KENNY Anthony	88
1	HAWKINS Aaron	0
2	O'MALLEY Jim	3450.387246023
2	WHILEY Andrew	3440.248515703
2	RADICH Jules	3207.16740452
2	GAREY Christine	3042.210592472
2	VANDERVIS Lee	2898.627360433
2	BENSON-POPE David	2306.286640281
2	LAUFISO Marie	1909.638583417
2	WALKER Steve	1740.422084369
2	STAYNES Chris	1660.187723941
2	ELDER Rachel	1543.468719083
2	BARKER Sophie	1511.845319847
2	HOULAHAN Carmen	1437.278784106
2	HALL Doug	1276.051316185
2	LORD Mike	1268.902435837
2	NEWELL Damian	1182.154999577
2	BARLIN Bob	1149.659177209
2	LUND Russell	1137.366398499
2	DAVIE-NITIS Sarah	1112.267907729
2	MAYHEM-BULLOCK Mandy	978.261958884
2	BARBOUR-EVANS Scout	852.749094551
2	HANAN Dave	844.639410962
2	CAMPBELL Finn	811.604502846
2	GUTHRIE John	649.316646336
2	MONCRIEF-SPITTLE Malcolm	386.462579593
2	SEAGER Richard	383.481199939
2	MARRABLE John	380.280679153
2	MORRIS George	315.023396403
2	LINDSEY Jason	305.885001518
2	MILLER Brian	300.962333127
2	JEMMETT Neville K	227.19820808
2	ROBINSON-LEWIS Hadley	193.688632622
2	FORSYTH Hugh	148.009923648
2	STEELE-MACINTOSH Callum	120.127898459
2	KENNY Anthony	109.413443463
2	MACKENZIE Peter	107.739076708
2	JAMES Muthiah	101.896122862
2	HAWKINS Aaron	0
3	RADICH Jules	2962.045447462
3	O'MALLEY Jim	2955.685053933
3	GAREY Christine	2943.743490889
3	WHILEY Andrew	2941.031966404
3	VANDERVIS Lee	2890.041811059
3	BENSON-POPE David	2420.756847245
3	LAUFISO Marie	1970.450340498
3	WALKER Steve	1792.425163304
3	STAYNES Chris	1756.406891472
3	ELDER Rachel	1639.872872859
3	BARKER Sophie	1610.976096352
3	HOULAHAN Carmen	1518.32762401
3	HALL Doug	1346.505487581
3	LORD Mike	1339.779523261
3	NEWELL Damian	1242.49863139
3	BARLIN Bob	1215.385661696
3	LUND Russell	1211.289639176
3	DAVIE-NITIS Sarah	1151.485908595
3	MAYHEM-BULLOCK Mandy	1011.098739503
3	HANAN Dave	889.432658944
3	BARBOUR-EVANS Scout	876.207296664
3	CAMPBELL Finn	837.552314072
3	GUTHRIE John	686.9954282
3	SEAGER Richard	408.816066873
