ITER	CANDIDATE	VOTES
1	VANDERVIS Lee	9481
1	HAWKINS Aaron	9074
1	WHILEY Andrew	5222
1	GAREY Christine	4755
1	O'MALLEY Jim	4534
1	RADICH Jules	3845
1	HOULAHAN Carmen	1577
1	BARLIN Bob	1290
1	ELDER Rachel	1262
1	MAYHEM-BULLOCK Mandy	729
1	CAMPBELL Finn	524
1	BARBOUR-EVANS Scout	393
1	SEAGER Richard	319
1	MONCRIEF-SPITTLE Malcolm	253
2	VANDERVIS Lee	9547
2	HAWKINS Aaron	9078
2	WHILEY Andrew	5241
2	GAREY Christine	4765
2	O'MALLEY Jim	4543
2	RADICH Jules	3864
2	HOULAHAN Carmen	1602
2	BARLIN Bob	1322
2	ELDER Rachel	1266
2	MAYHEM-BULLOCK Mandy	740
2	CAMPBELL Finn	526
2	BARBOUR-EVANS Scout	396
2	SEAGER Richard	323
2	MONCRIEF-SPITTLE Malcolm	0
3	VANDERVIS Lee	9564
3	HAWKINS Aaron	9154
3	WHILEY Andrew	5267
3	GAREY Christine	4789
3	O'MALLEY Jim	4567
3	RADICH Jules	3887
3	HOULAHAN Carmen	1635
3	BARLIN Bob	1339
3	ELDER Rachel	1289
3	MAYHEM-BULLOCK Mandy	747
3	CAMPBELL Finn	540
3	BARBOUR-EVANS Scout	410
3	MONCRIEF-SPITTLE Malcolm	0
3	SEAGER Richard	0
4	VANDERVIS Lee	9579
4	HAWKINS Aaron	9239
4	WHILEY Andrew	5278
4	GAREY Christine	4833
4	O'MALLEY Jim	4586
4	RADICH Jules	3896
4	HOULAHAN Carmen	1676
4	BARLIN Bob	1349
4	ELDER Rachel	1319
4	MAYHEM-BULLOCK Mandy	789
4	CAMPBELL Finn	599
4	BARBOUR-EVANS Scout	0
4	MONCRIEF-SPITTLE Malcolm	0
4	SEAGER Richard	0
5	VANDERVIS Lee	9607
5	HAWKINS Aaron	9416
5	WHILEY Andrew	5305
5	GAREY Christine	4879
5	O'MALLEY Jim	4629
5	RADICH Jules	3926
5	HOULAHAN Carmen	1738
5	BARLIN Bob	1374
5	ELDER Rachel	1355
5	MAYHEM-BULLOCK Mandy	835
5	BARBOUR-EVANS Scout	0
5	CAMPBELL Finn	0
5	MONCRIEF-SPITTLE Malcolm	0
5	SEAGER Richard	0
6	VANDERVIS Lee	9667
6	HAWKINS Aaron	9616
6	WHILEY Andrew	5343
6	GAREY Christine	4945
6	O'MALLEY Jim	4707
6	RADICH Jules	3952
6	HOULAHAN Carmen	1880
6	ELDER Rachel	1419
6	BARLIN Bob	1392
6	BARBOUR-EVANS Scout	0
6	CAMPBELL Finn	0
6	MAYHEM-BULLOCK Mandy	0
6	MONCRIEF-SPITTLE Malcolm	0
6	SEAGER Richard	0
7	VANDERVIS Lee	9816
7	HAWKINS Aaron	9727
7	WHILEY Andrew	5488
7	GAREY Christine	5123
7	O'MALLEY Jim	4893
7	RADICH Jules	4120
7	HOULAHAN Carmen	2044
7	ELDER Rachel	1521
7	BARBOUR-EVANS Scout	0
7	BARLIN Bob	0
7	CAMPBELL Finn	0
7	MAYHEM-BULLOCK Mandy	0
7	MONCRIEF-SPITTLE Malcolm	0
7	SEAGER Richard	0
8	HAWKINS Aaron	9964
8	VANDERVIS Lee	9931
8	WHILEY Andrew	5632
8	GAREY Christine	5448
8	O'MALLEY Jim	5050
8	RADICH Jules	4208
8	HOULAHAN Carmen	2225
8	BARBOUR-EVANS Scout	0
8	BARLIN Bob	0
8	CAMPBELL Finn	0
8	ELDER Rachel	0
8	MAYHEM-BULLOCK Mandy	0
8	MONCRIEF-SPITTLE Malcolm	0
8	SEAGER Richard	0
9	HAWKINS Aaron	10208
9	VANDERVIS Lee	10153
9	WHILEY Andrew	5931
9	GAREY Christine	5823
9	O'MALLEY Jim	5355
9	RADICH Jules	4409
9	BARBOUR-EVANS Scout	0
9	BARLIN Bob	0
9	CAMPBELL Finn	0
9	ELDER Rachel	0
9	HOULAHAN Carmen	0
9	MAYHEM-BULLOCK Mandy	0
9	MONCRIEF-SPITTLE Malcolm	0
9	SEAGER Richard	0
10	VANDERVIS Lee	10909
10	HAWKINS Aaron	10550
10	WHILEY Andrew	6919
10	GAREY Christine	6373
10	O'MALLEY Jim	6055
10	BARBOUR-EVANS Scout	0
10	BARLIN Bob	0
10	CAMPBELL Finn	0
10	ELDER Rachel	0
10	HOULAHAN Carmen	0
10	MAYHEM-BULLOCK Mandy	0
10	MONCRIEF-SPITTLE Malcolm	0
10	RADICH Jules	0
10	SEAGER Richard	0
11	HAWKINS Aaron	11720
11	VANDERVIS Lee	11639
11	WHILEY Andrew	8339
11	GAREY Christine	7619
11	BARBOUR-EVANS Scout	0
11	BARLIN Bob	0
11	CAMPBELL Finn	0
11	ELDER Rachel	0
11	HOULAHAN Carmen	0
11	MAYHEM-BULLOCK Mandy	0
11	MONCRIEF-SPITTLE Malcolm	0
11	O'MALLEY Jim	0
11	RADICH Jules	0
11	SEAGER Richard	0
12	HAWKINS Aaron	14359
12	VANDERVIS Lee	12261
12	WHILEY Andrew	10361
12	BARBOUR-EVANS Scout	0
12	BARLIN Bob	0
