CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
HAWKINS Aaron	elected	13	17222	11685	15787	1
VANDERVIS Lee	excluded	13	14351	11685	15787	0
WHILEY Andrew	excluded	12	10361	6277	18491	0
GAREY Christine	excluded	11	7619	3941	19659	0
O'MALLEY Jim	excluded	10	6055	2452	20403	0
RADICH Jules	excluded	9	4409	1379	20940	0
HOULAHAN Carmen	excluded	8	2225	800	21229	0
ELDER Rachel	excluded	7	1521	526	21366	0
BARLIN Bob	excluded	6	1392	337	21461	0
MAYHEM-BULLOCK Mandy	excluded	5	835	194	21532	0
CAMPBELL Finn	excluded	4	599	115	21572	0
BARBOUR-EVANS Scout	excluded	3	410	70	21594	0
SEAGER Richard	excluded	2	323	45	21607	0
MONCRIEF-SPITTLE Malcolm	excluded	1	253	0	21629	0
