ITER	CANDIDATE	VOTES
1	MCALWEE Dean	1538
1	MILLER Brian	970
1	BAIN Phillipa	955
1	DAVIS Joy	917
1	DILLON Martin	696
1	PEAT Brian	551
1	HORRELL Regan	438
1	NEWSTEAD Jenny	407
1	MCCARTHY Trish	311
2	BAIN Phillipa	1062.426891036
2	MILLER Brian	1033.67642836
2	DAVIS Joy	982.226679286
2	MCALWEE Dean	969.072747256
2	DILLON Martin	759.81677211
2	PEAT Brian	598.888975292
2	HORRELL Regan	473.562182031
2	NEWSTEAD Jenny	455.611609483
2	MCCARTHY Trish	368.417518943
3	DAVIS Joy	991.193815796
3	BAIN Phillipa	974.543350042
3	MCALWEE Dean	974.424100272
3	MILLER Brian	972.13268265
3	DILLON Martin	789.521371862
3	PEAT Brian	622.876900145
3	HORRELL Regan	494.046751945
3	NEWSTEAD Jenny	479.657301523
3	MCCARTHY Trish	384.135690523
4	BAIN Phillipa	1031.593086014
4	MILLER Brian	1005.156682265
4	DAVIS Joy	998.497814039
4	MCALWEE Dean	997.189161341
4	DILLON Martin	831.618012921
4	PEAT Brian	673.8508927
4	NEWSTEAD Jenny	543.545238101
4	HORRELL Regan	528.981995558
4	MCCARTHY Trish	0
5	DAVIS Joy	976.075157364
5	BAIN Phillipa	972.947747809
5	MILLER Brian	964.808402582
5	MCALWEE Dean	961.158839558
5	DILLON Martin	869.254991301
5	PEAT Brian	703.970698355
5	NEWSTEAD Jenny	575.57883371
5	HORRELL Regan	555.828339888
5	MCCARTHY Trish	0
6	BAIN Phillipa	954.158469175
6	DAVIS Joy	951.773552576
6	MILLER Brian	949.186181298
6	MCALWEE Dean	947.771030257
6	DILLON Martin	886.63509323
6	PEAT Brian	717.726701151
6	NEWSTEAD Jenny	590.104854218
6	HORRELL Regan	568.43690268
6	MCCARTHY Trish	0
7	BAIN Phillipa	943.76449706
7	DAVIS Joy	943.497937918
7	MILLER Brian	942.01329411
7	MCALWEE Dean	941.349777359
7	DILLON Martin	894.353713955
7	PEAT Brian	723.860164518
7	NEWSTEAD Jenny	596.650441938
7	HORRELL Regan	574.062176041
7	MCCARTHY Trish	0
8	BAIN Phillipa	1041.31596102
8	DAVIS Joy	1009.432011682
8	MILLER Brian	995.565682753
8	MCALWEE Dean	980.421042035
8	DILLON Martin	960.18299645
8	PEAT Brian	770.245698017
8	NEWSTEAD Jenny	689.646234741
8	HORRELL Regan	0
8	MCCARTHY Trish	0
9	DILLON Martin	976.419547968
9	DAVIS Joy	964.110715386
9	BAIN Phillipa	963.731865757
9	MILLER Brian	957.113310381
9	MCALWEE Dean	950.424132984
9	PEAT Brian	823.781006516
9	NEWSTEAD Jenny	751.920066271
9	HORRELL Regan	0
9	MCCARTHY Trish	0
10	BAIN Phillipa	942.739451855
10	DILLON Martin	941.372474142
10	MILLER Brian	938.493704495
10	DAVIS Joy	938.465895738
10	MCALWEE Dean	931.230718553
10	PEAT Brian	861.260880012
10	NEWSTEAD Jenny	792.754576878
10	HORRELL Regan	0
10	MCCARTHY Trish	0
11	DILLON Martin	925.426616167
11	BAIN Phillipa	924.588403559
11	DAVIS Joy	922.955573734
11	MILLER Brian	922.03806694
11	MCALWEE Dean	918.308031709
11	PEAT Brian	886.008987463
11	NEWSTEAD Jenny	819.836867263
11	HORRELL Regan	0
11	MCCARTHY Trish	0
12	DILLON Martin	914.125620882
12	BAIN Phillipa	913.871380584
12	DAVIS Joy	912.702596211
12	MILLER Brian	912.349455906
12	MCALWEE Dean	909.97655189499994
12	PEAT Brian	901.781952517
12	NEWSTEAD Jenny	837.025945588
12	HORRELL Regan	0
12	MCCARTHY Trish	0
