ITER	CANDIDATE	VOTES
1	POPE Paul	917
1	KELLAS Lox	302
1	LANGSBURY Hoani	256
1	NEILL Cheryl	140
1	STEVENSON Edna	132
1	MCARTHUR Graham	125
1	CLUTHA Jane	121
2	LANGSBURY Hoani	429.900185856
2	KELLAS Lox	403.023273396
2	POPE Paul	286.526963792
2	STEVENSON Edna	220.588435556
2	NEILL Cheryl	217.105546406
2	CLUTHA Jane	190.954565858
2	MCARTHUR Graham	183.672930724
3	LANGSBURY Hoani	301.463338076
3	KELLAS Lox	297.253730564
3	POPE Paul	295.400634692
3	STEVENSON Edna	272.640321321
3	NEILL Cheryl	261.129005839
3	MCARTHUR Graham	235.666567722
3	CLUTHA Jane	228.017428927
4	STEVENSON Edna	285.486291509
4	LANGSBURY Hoani	278.823624703
4	KELLAS Lox	277.030756054
4	NEILL Cheryl	274.795692384
4	POPE Paul	274.005284668
4	MCARTHUR Graham	250.077126908
4	CLUTHA Jane	239.348691122
5	NEILL Cheryl	276.714745521
5	STEVENSON Edna	274.234878313
5	LANGSBURY Hoani	272.886507349
5	KELLAS Lox	272.438032355
5	POPE Paul	270.752073288
5	MCARTHUR Graham	257.921229345
5	CLUTHA Jane	247.675231713
6	STEVENSON Edna	271.894457442
6	NEILL Cheryl	271.271666154
6	LANGSBURY Hoani	270.232673385
6	KELLAS Lox	269.984657594
6	POPE Paul	268.914227868
6	MCARTHUR Graham	262.539758804
6	CLUTHA Jane	253.112560413
7	NEILL Cheryl	269.385442615
7	STEVENSON Edna	269.273266732
7	LANGSBURY Hoani	268.50572608
7	KELLAS Lox	268.329171013
7	POPE Paul	267.688693487
7	MCARTHUR Graham	265.478290807
7	CLUTHA Jane	256.459932216
8	STEVENSON Edna	267.955027647
8	NEILL Cheryl	267.909497896
8	LANGSBURY Hoani	267.441723637
8	KELLAS Lox	267.342820579
8	MCARTHUR Graham	267.263321808
8	POPE Paul	266.953804456
8	CLUTHA Jane	258.513173677
