ITER	CANDIDATE	VOTES
1	WEATHERALL Scott	1164
1	MOYLE John	427
1	MCFADYEN Keith	172
1	MCBRATNEY Christina	157
1	STENHOUSE Leanne	120
1	GOUVERNEUR Peter	119
1	WEIR Paul	118
1	VOIGHT Warren	43
2	MOYLE John	545.726463385
2	WEATHERALL Scott	345.32149598
2	MCFADYEN Keith	333.32471779
2	STENHOUSE Leanne	276.082852385
2	MCBRATNEY Christina	248.094052255
2	WEIR Paul	192.588803195
2	GOUVERNEUR Peter	190.890470645
2	VOIGHT Warren	73.782533755
3	MCFADYEN Keith	355.286054206
3	WEATHERALL Scott	334.900739604
3	STENHOUSE Leanne	322.531692997
3	MOYLE John	322.032026424
3	MCBRATNEY Christina	283.044206713
3	WEIR Paul	224.48914776
3	GOUVERNEUR Peter	212.928220349
3	VOIGHT Warren	89.529623804
4	STENHOUSE Leanne	340.19627908
4	MOYLE John	324.400060609
4	MCFADYEN Keith	321.420125763
4	MCBRATNEY Christina	316.524050012
4	WEATHERALL Scott	316.35417214
4	WEIR Paul	256.332712962
4	GOUVERNEUR Peter	229.460445937
4	VOIGHT Warren	0
5	MCBRATNEY Christina	322.586936334
5	MCFADYEN Keith	314.816172014
5	STENHOUSE Leanne	314.172155879
5	MOYLE John	309.385919528
5	WEATHERALL Scott	305.494815196
5	WEIR Paul	275.542956668
5	GOUVERNEUR Peter	241.495168196
5	VOIGHT Warren	0
6	STENHOUSE Leanne	308.568924915
6	MCBRATNEY Christina	308.2973757
6	MCFADYEN Keith	307.499377209
6	MOYLE John	303.073702258
6	WEATHERALL Scott	300.768074145
6	WEIR Paul	289.569486731
6	GOUVERNEUR Peter	250.727385632
6	VOIGHT Warren	0
7	MCBRATNEY Christina	302.971222596
7	STENHOUSE Leanne	301.903510714
7	MCFADYEN Keith	301.35003255
7	MOYLE John	299.076927221
7	WEIR Paul	299.041771837
7	WEATHERALL Scott	297.488269864
7	GOUVERNEUR Peter	256.763805454
7	VOIGHT Warren	0
