ITER	CANDIDATE	VOTES
1	LABAN Ken	7719
1	VAN LIER Josh	5723
1	LAMASON Prue	5046
1	OGDEN David	3409
1	GLENSOR Peter	3306
1	DOBBS Leonie	3251
2	LABAN Ken	7113.500003643
2	VAN LIER Josh	5793.049423079
2	LAMASON Prue	5218.103509782
2	OGDEN David	3522.977392759
2	GLENSOR Peter	3378.716478381
2	DOBBS Leonie	3315.793755278
3	LABAN Ken	7449.037144755
3	VAN LIER Josh	6652.703775102
3	LAMASON Prue	6170.504431038
3	GLENSOR Peter	3999.652133527
3	OGDEN David	3820.259424668
3	DOBBS Leonie	0
4	LABAN Ken	7023.039229725
4	VAN LIER Josh	6713.28314589
4	LAMASON Prue	6308.35662141
4	GLENSOR Peter	4058.919126265
4	OGDEN David	3906.14144426
4	DOBBS Leonie	0
5	LABAN Ken	7886.90757208
5	LAMASON Prue	7577.971058956
5	VAN LIER Josh	7163.512642172
5	GLENSOR Peter	4904.545791948
5	DOBBS Leonie	0
5	OGDEN David	0
