ITER	CANDIDATE	VOTES
1	BRASH Jenny	5724
1	KIRK-BURNNAND Chris	4061
1	MARSHALL Phillip	2583
1	WATKIN Roger	1846
1	DONALDSON Barbara	1675
1	REPIA Natalia	1477
1	LILEY Vaughn	799
2	BRASH Jenny	5813
2	KIRK-BURNNAND Chris	4157
2	MARSHALL Phillip	2788
2	WATKIN Roger	1931
2	DONALDSON Barbara	1759
2	REPIA Natalia	1613
2	LILEY Vaughn	0
3	BRASH Jenny	6141
3	KIRK-BURNNAND Chris	4381
3	MARSHALL Phillip	3131
3	WATKIN Roger	2090
3	DONALDSON Barbara	1975
3	LILEY Vaughn	0
3	REPIA Natalia	0
4	BRASH Jenny	5906.000000997
4	KIRK-BURNNAND Chris	4434.995277413
4	MARSHALL Phillip	3165.287575168
4	WATKIN Roger	2117.055039781
4	DONALDSON Barbara	2049.123920871
4	LILEY Vaughn	0
4	REPIA Natalia	0
5	BRASH Jenny	6626.573647848
5	KIRK-BURNNAND Chris	4882.852182114
5	MARSHALL Phillip	3459.134829838
5	WATKIN Roger	2341.094508264
5	DONALDSON Barbara	0
5	LILEY Vaughn	0
5	REPIA Natalia	0
6	BRASH Jenny	6280.220869656
6	KIRK-BURNNAND Chris	5997.89901984
6	MARSHALL Phillip	4064.372021696
6	DONALDSON Barbara	0
6	LILEY Vaughn	0
6	REPIA Natalia	0
6	WATKIN Roger	0
