CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
NASH Thomas	elected	1	9173	0	8649.500000001	0.62636326
HUGHES Glenda	elected	24	8770.035363652	2685.568131303	8201.90531145	0.7733766
BLAKELEY Roger	elected	26	8611.676756116	4223.485790038	7945.585701661	0.867796916
PONTER Daran	elected	27	8031.853765953	4912.339000541	7830.776833244	0.953114786
LEE David	elected	29	7851.876795813	5364.944116156	7755.342647308	1
RHODES-CARLIN Victoria	excluded	29	7326.770881971	5364.944116156	7755.342647308	0
RITCHIE Helene	excluded	25	5603.071708717	2954.377334602	8157.103777567	0
FORD Jill	excluded	23	3457.06580974	2195.686437234	8283.552260462	0
DE LORENZO Tony	excluded	22	2325.69320651	1723.100348042	8362.31660866	0
SOMERS Sam	excluded	21	1995.158813027	1345.169273208	8425.305121133	0
QUIN Phil	excluded	19	1793.47637488	1093.976156985	8467.170640503	0
MIHAKA Troy	excluded	17	1548.307687321	919.241188423	8496.293135263	0
O'BRIEN Philip	excluded	16	1448.101549356	751.218592272	8524.296901289	0
BRUCE Gavin	excluded	14	1285.32585013	591.08305207	8550.986157989	0
SALINGER Lesleigh	excluded	13	1146.145129893	468.431127367	8571.428145439	0
JANSEN Tony	excluded	12	1017.848191676	383.684330302	8585.552611617	0
GARSIDE Alexander	excluded	10	865.672512039	322.93608598	8595.677319004	0
KOCHUNNY Anand	excluded	9	701.849379	252.267301475	8607.455449755	0
KLAPHAKE John	excluded	8	634.346868896	200.846213952	8616.025631009	0
PENDER Bryce	excluded	6	565.341143132	119.877812142	8629.520364644	0
LEGARTH Yvonne	excluded	4	539.57586076	83.185933476	8635.635677755	0
MILNE Deane	excluded	3	169.329654242	64.508336772	8638.748610539	0
WILSON Ray	excluded	2	115.2853483	40.8048069	8642.699198851	0
