ITER	CANDIDATE	VOTES
1	GUPPY Wayne	7,902.000000000
1	LABAN Ken	4,870.000000000
1	BRIGGS Josh	4,780.000000000
1	STEIN Richard	4,516.000000000
1	LAMASON Prue	3,430.000000000
1	BROWN Keri	3,400.000000000
1	OGDEN David	2,266.000000000
1	SHAW Naomi	1,955.000000000
1	DAVIES Cheryl	1,821.000000000
1	TERRIS John	1,764.000000000
1	TAYLOR Steve	1,592.000000000
1	THOMAS-SAVELIO Kamiria Mid	1,552.000000000
1	TUPOU Gabriel	1,320.000000000
2	LABAN Ken	5,417.572765340
2	GUPPY Wayne	5,146.000005276
2	BRIGGS Josh	4,949.503416532
2	STEIN Richard	4,788.740065284
2	LAMASON Prue	3,754.707162122
2	BROWN Keri	3,501.492786442
2	OGDEN David	2,533.508478354
2	SHAW Naomi	2,082.301948630
2	TERRIS John	1,988.260693066
2	DAVIES Cheryl	1,910.634522734
2	TAYLOR Steve	1,844.860034950
2	THOMAS-SAVELIO Kamiria Mid	1,617.220450394
2	TUPOU Gabriel	1,376.152366382
3	GUPPY Wayne	5,143.763393378
3	LABAN Ken	5,119.895314760
3	BRIGGS Josh	4,978.565092334
3	STEIN Richard	4,802.461369383
3	LAMASON Prue	3,803.435962557
3	BROWN Keri	3,530.068492806
3	OGDEN David	2,565.759310046
3	SHAW Naomi	2,118.481832255
3	TERRIS John	2,012.901740185
3	DAVIES Cheryl	1,922.152019241
3	TAYLOR Steve	1,857.689787342
3	THOMAS-SAVELIO Kamiria Mid	1,632.291958999
3	TUPOU Gabriel	1,398.870593858
4	LABAN Ken	5,274.349490948
4	BRIGGS Josh	5,219.393750090
4	GUPPY Wayne	5,173.189373625
4	STEIN Richard	4,887.507005733
4	LAMASON Prue	3,904.070471941
4	BROWN Keri	3,665.137983686
4	OGDEN David	2,609.148642282
4	SHAW Naomi	2,233.053521007
4	TERRIS John	2,069.702447921
4	DAVIES Cheryl	2,002.037991192
4	TAYLOR Steve	1,946.538041480
4	THOMAS-SAVELIO Kamiria Mid	1,806.846354792
4	TUPOU Gabriel	0.000000000
5	LABAN Ken	5,125.230395678
5	GUPPY Wayne	5,123.160428594
5	BRIGGS Josh	5,120.563972310
5	STEIN Richard	4,914.144308659
5	LAMASON Prue	3,953.553630298
5	BROWN Keri	3,716.564022879
5	OGDEN David	2,638.936499356
