CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
GUPPY Wayne	elected	1	7,902.000000000	0.000000000	5,146.000000001	0.463171603
LABAN Ken	elected	2	5,417.572765340	257.045304494	5,113.869336939	0.593474052
BRIGGS Josh	elected	4	5,219.393750090	377.024925303	5,098.871884338	0.625682639
STEIN Richard	elected	6	5,087.315822834	573.238349425	5,074.345206322	0.706500415
LAMASON Prue	elected	16	5,054.491165180	1,204.124358227	4,995.484455222	0.727881798
BROWN Keri	elected	17	5,018.676051717	1,320.537564100	4,980.932804488	0.792774603
SHAW Naomi	elected	28	4,832.155833066	2,535.113670200	4,829.110791226	1.000000000
OGDEN David	excluded	28	4,793.788772971	2,535.113670200	4,829.110791226	0.000000000
TERRIS John	excluded	17	2,579.402508067	1,320.537564100	4,980.932804488	0.000000000
DAVIES Cheryl	excluded	15	2,440.548082466	1,040.554353996	5,015.930705751	0.000000000
TAYLOR Steve	excluded	9	2,152.625459187	638.334547571	5,066.208181554	0.000000000
THOMAS-SAVELIO Kamiria Mid	excluded	5	1,825.436327874	404.236232256	5,095.470470969	0.000000000
TUPOU Gabriel	excluded	3	1,398.870593858	281.663132856	5,110.792108394	0.000000000
