ITER	CANDIDATE	VOTES
1	ARBUCKLE Jamie	2,624.000000000
1	ANDREWS Jenny	1,303.000000000
1	PETERS Mark	1,281.000000000
1	FITZPATRICK Michael	669.000000000
1	CROAD David	628.000000000
1	SOWMAN Thelma	483.000000000
1	DAWSON Brian	478.000000000
1	DALLIESSI Deborah	356.000000000
1	DAWSON Cyril	271.000000000
1	CHAPMAN Peter	219.000000000
1	MARTIN Meg	218.000000000
1	SUTHERLAND Robin	210.000000000
1	WATSON Pete	204.000000000
1	FLIGHT Matt	157.000000000
1	SKINNER Phil	61.000000000
1	ROODAKKER Gerry	56.000000000
2	ANDREWS Jenny	1,436.629226781
2	PETERS Mark	1,328.862901128
2	ARBUCKLE Jamie	1,175.701273603
2	FITZPATRICK Michael	887.548055412
2	CROAD David	786.432208115
2	SOWMAN Thelma	615.409737978
2	DAWSON Brian	581.600913238
2	DALLIESSI Deborah	448.612194457
2	DAWSON Cyril	364.153767065
2	CHAPMAN Peter	355.532626304
2	MARTIN Meg	281.064818463
2	SUTHERLAND Robin	266.401194486
2	WATSON Pete	258.841753492
2	FLIGHT Matt	194.449838536
2	SKINNER Phil	84.174903341
2	ROODAKKER Gerry	81.194067981
3	PETERS Mark	1,185.074124796
3	ARBUCKLE Jamie	1,177.593255842
3	ANDREWS Jenny	1,175.744036603
3	FITZPATRICK Michael	969.442285315
3	CROAD David	839.409100829
3	SOWMAN Thelma	679.677680611
3	DAWSON Brian	629.376331675
3	DALLIESSI Deborah	486.183878144
3	DAWSON Cyril	379.480328057
3	CHAPMAN Peter	374.652600621
3	SUTHERLAND Robin	296.021762420
3	MARTIN Meg	293.815476639
3	WATSON Pete	268.630598457
3	FLIGHT Matt	204.388983168
3	SKINNER Phil	87.498848214
3	ROODAKKER Gerry	85.837623762
4	ANDREWS Jenny	1,152.602852692
4	PETERS Mark	1,149.080691333
4	ARBUCKLE Jamie	1,146.736146295
4	FITZPATRICK Michael	987.908241569
4	CROAD David	851.140979708
4	SOWMAN Thelma	691.794174560
4	DAWSON Brian	639.282411585
4	DALLIESSI Deborah	493.852510925
4	DAWSON Cyril	383.603116026
4	CHAPMAN Peter	380.142601690
4	SUTHERLAND Robin	302.477219923
4	MARTIN Meg	296.895636600
4	WATSON Pete	271.435671243
4	FLIGHT Matt	206.671567489
4	SKINNER Phil	88.429521405
4	ROODAKKER Gerry	87.109704636
5	PETERS Mark	1,143.051434466
5	ANDREWS Jenny	1,142.997587216
5	ARBUCKLE Jamie	1,142.465485769
5	FITZPATRICK Michael	991.863530069
5	CROAD David	853.719682141
5	SOWMAN Thelma	694.727746353
5	DAWSON Brian	641.534158694
5	DALLIESSI Deborah	495.630239502
5	DAWSON Cyril	384.486727946
5	CHAPMAN Peter	381.299345058
5	SUTHERLAND Robin	303.881573516
5	MARTIN Meg	297.575118570
5	WATSON Pete	271.986738562
5	FLIGHT Matt	207.178194907
5	SKINNER Phil	88.623914550
5	ROODAKKER Gerry	87.370404518
6	ANDREWS Jenny	1,141.515918492
6	PETERS Mark	1,141.413790625
6	ARBUCKLE Jamie	1,141.311120798
6	FITZPATRICK Michael	992.736562477
6	CROAD David	854.276372858
6	SOWMAN Thelma	695.326773478
6	DAWSON Brian	642.013527735
6	DALLIESSI Deborah	496.001728654
6	DAWSON Cyril	384.676105873
6	CHAPMAN Peter	381.548189390
6	SUTHERLAND Robin	304.191455070
6	MARTIN Meg	297.718519965
6	WATSON Pete	272.112836942
6	FLIGHT Matt	207.285938878
6	SKINNER Phil	88.665984076
6	ROODAKKER Gerry	87.428387303
7	ARBUCKLE Jamie	1,147.980228608
7	ANDREWS Jenny	1,146.468164397
7	PETERS Mark	1,145.287707675
7	FITZPATRICK Michael	1,001.706682832
7	CROAD David	856.188296510
7	SOWMAN Thelma	697.974505093
7	DAWSON Brian	647.699160091
7	DALLIESSI Deborah	502.997721237
7	DAWSON Cyril	393.014028745
7	CHAPMAN Peter	391.790354244
7	SUTHERLAND Robin	306.501701064
7	MARTIN Meg	300.189421267
7	WATSON Pete	280.836243368
7	FLIGHT Matt	210.447749889
7	SKINNER Phil	92.013354613
7	ROODAKKER Gerry	0.000000000
8	ANDREWS Jenny	1,149.700148655
8	ARBUCKLE Jamie	1,144.172337421
8	PETERS Mark	1,144.087692510
8	FITZPATRICK Michael	1,007.049709599
8	CROAD David	862.905095938
8	SOWMAN Thelma	706.318835713
8	DAWSON Brian	653.763477184
8	DALLIESSI Deborah	508.424664021
8	DAWSON Cyril	402.631057772
8	CHAPMAN Peter	398.738915985
8	SUTHERLAND Robin	311.548288088
8	MARTIN Meg	311.194990829
8	WATSON Pete	291.226309811
8	FLIGHT Matt	217.673301659
8	ROODAKKER Gerry	0.000000000
8	SKINNER Phil	0.000000000
9	ANDREWS Jenny	1,153.037125988
9	PETERS Mark	1,152.199951380
9	ARBUCKLE Jamie	1,148.734124677
9	FITZPATRICK Michael	1,045.805563321
9	CROAD David	888.514906579
9	SOWMAN Thelma	726.535968492
9	DAWSON Brian	669.667250709
9	DALLIESSI Deborah	521.844678589
9	DAWSON Cyril	419.526536398
9	CHAPMAN Peter	408.340081164
9	MARTIN Meg	344.526824527
9	SUTHERLAND Robin	315.619704188
9	WATSON Pete	300.265447547
9	FLIGHT Matt	0.000000000
9	ROODAKKER Gerry	0.000000000
9	SKINNER Phil	0.000000000
10	ANDREWS Jenny	1,140.475096442
10	PETERS Mark	1,139.872074520
10	ARBUCKLE Jamie	1,138.905051779
10	FITZPATRICK Michael	1,053.023935644
10	CROAD David	893.189575324
10	SOWMAN Thelma	731.586950728
10	DAWSON Brian	673.684724589
10	DALLIESSI Deborah	524.982563635
10	DAWSON Cyril	421.251275673
10	CHAPMAN Peter	410.543957992
10	MARTIN Meg	345.892865028
10	SUTHERLAND Robin	318.173783038
10	WATSON Pete	301.450406704
10	FLIGHT Matt	0.000000000
10	ROODAKKER Gerry	0.000000000
10	SKINNER Phil	0.000000000
11	PETERS Mark	1,157.590247143
11	ANDREWS Jenny	1,152.505543214
11	ARBUCKLE Jamie	1,150.630919625
11	FITZPATRICK Michael	1,092.189229783
11	CROAD David	923.309779225
11	SOWMAN Thelma	773.847563115
11	DAWSON Brian	690.461296052
11	DALLIESSI Deborah	546.765880060
11	DAWSON Cyril	454.350201713
11	CHAPMAN Peter	431.270530246
11	MARTIN Meg	367.482969727
11	SUTHERLAND Robin	331.788417415
11	FLIGHT Matt	0.000000000
11	ROODAKKER Gerry	0.000000000
11	SKINNER Phil	0.000000000
11	WATSON Pete	0.000000000
12	ANDREWS Jenny	1,139.366262224
12	PETERS Mark	1,137.724191191
12	ARBUCKLE Jamie	1,136.719299793
12	FITZPATRICK Michael	1,102.432870662
12	CROAD David	929.773685098
12	SOWMAN Thelma	780.612590067
12	DAWSON Brian	695.960241744
12	DALLIESSI Deborah	551.185890464
12	DAWSON Cyril	456.842184697
12	CHAPMAN Peter	434.326438698
12	MARTIN Meg	369.426968422
12	SUTHERLAND Robin	335.461559279
12	FLIGHT Matt	0.000000000
12	ROODAKKER Gerry	0.000000000
12	SKINNER Phil	0.000000000
12	WATSON Pete	0.000000000
13	PETERS Mark	1,191.838053234
13	ANDREWS Jenny	1,167.339410296
13	FITZPATRICK Michael	1,153.666413227
13	ARBUCKLE Jamie	1,147.861405786
13	CROAD David	974.422140703
13	SOWMAN Thelma	828.243729585
13	DAWSON Brian	722.342268910
13	DALLIESSI Deborah	578.282293039
13	DAWSON Cyril	465.999907435
13	CHAPMAN Peter	448.843916016
13	MARTIN Meg	378.816330726
13	FLIGHT Matt	0.000000000
13	ROODAKKER Gerry	0.000000000
13	SKINNER Phil	0.000000000
13	SUTHERLAND Robin	0.000000000
13	WATSON Pete	0.000000000
14	FITZPATRICK Michael	1,153.877029588
14	ANDREWS Jenny	1,144.454430780
14	PETERS Mark	1,140.409324414
14	ARBUCKLE Jamie	1,139.325595179
14	CROAD David	992.818614392
14	SOWMAN Thelma	845.823676997
14	DAWSON Brian	736.859107381
14	DALLIESSI Deborah	589.316146727
14	DAWSON Cyril	471.321625654
14	CHAPMAN Peter	454.281139751
14	MARTIN Meg	383.173501383
14	FLIGHT Matt	0.000000000
14	ROODAKKER Gerry	0.000000000
14	SKINNER Phil	0.000000000
14	SUTHERLAND Robin	0.000000000
14	WATSON Pete	0.000000000
15	FITZPATRICK Michael	1,170.198765610
15	ANDREWS Jenny	1,162.578737500
15	PETERS Mark	1,157.720736022
15	ARBUCKLE Jamie	1,157.409703107
15	CROAD David	1,043.230677378
15	SOWMAN Thelma	905.126218248
15	DAWSON Brian	768.450211333
15	DALLIESSI Deborah	675.313908795
15	DAWSON Cyril	498.026466256
15	CHAPMAN Peter	476.050824774
15	FLIGHT Matt	0.000000000
15	MARTIN Meg	0.000000000
15	ROODAKKER Gerry	0.000000000
15	SKINNER Phil	0.000000000
15	SUTHERLAND Robin	0.000000000
15	WATSON Pete	0.000000000
16	FITZPATRICK Michael	1,143.428638382
16	PETERS Mark	1,138.799936708
16	ANDREWS Jenny	1,138.619541998
16	ARBUCKLE Jamie	1,133.089335351
16	CROAD David	1,064.578860614
16	SOWMAN Thelma	924.730016626
16	DAWSON Brian	784.005160273
16	DALLIESSI Deborah	688.575101519
16	DAWSON Cyril	505.442129916
16	CHAPMAN Peter	483.584680022
16	FLIGHT Matt	0.000000000
16	MARTIN Meg	0.000000000
16	ROODAKKER Gerry	0.000000000
16	SKINNER Phil	0.000000000
16	SUTHERLAND Robin	0.000000000
16	WATSON Pete	0.000000000
17	FITZPATRICK Michael	1,131.476677090
17	ANDREWS Jenny	1,129.831772673
17	PETERS Mark	1,129.828287840
17	ARBUCKLE Jamie	1,128.090219086
17	CROAD David	1,072.665037596
17	SOWMAN Thelma	932.104776010
17	DAWSON Brian	789.903026646
17	DALLIESSI Deborah	693.446844840
17	DAWSON Cyril	508.031468869
17	CHAPMAN Peter	486.065624201
17	FLIGHT Matt	0.000000000
17	MARTIN Meg	0.000000000
17	ROODAKKER Gerry	0.000000000
17	SKINNER Phil	0.000000000
17	SUTHERLAND Robin	0.000000000
17	WATSON Pete	0.000000000
18	FITZPATRICK Michael	1,173.466424784
18	ANDREWS Jenny	1,170.115459199
18	ARBUCKLE Jamie	1,150.560968594
18	PETERS Mark	1,148.783587085
18	CROAD David	1,129.543001397
18	SOWMAN Thelma	971.988949620
18	DAWSON Brian	835.576106423
18	DALLIESSI Deborah	756.766017614
18	DAWSON Cyril	607.937118773
18	CHAPMAN Peter	0.000000000
18	FLIGHT Matt	0.000000000
18	MARTIN Meg	0.000000000
18	ROODAKKER Gerry	0.000000000
18	SKINNER Phil	0.000000000
18	SUTHERLAND Robin	0.000000000
