ITER	CANDIDATE	VOTES
1	UTIKERE Tangi	2734
1	FINDLAY Lew	2126
1	BARRETT Brent	1568
1	BOWEN Rachel	1364
1	NAYLOR Karen	1329
1	DENNISON Vaughan	1218
1	HANDCOCK Patrick (Pat)	942
1	BATY Susan	931
1	RUTHERFORD Aleisha	836
1	JOHNSON Lorna	755
1	HAPETA Leonie	723
1	BUTT Zulfiqar	619
1	ASQUITH Andy	618
1	DINGWALL Renee	594
1	PETRENAS Bruno	586
1	MEEHAN Billy	565
1	O'FEE Marty	561
1	LOCKWOOD Latham	468
1	MCCANN Duncan	454
1	RAHIM Atif	297
1	KIKHOUNGA-N'GOT P. Hussein	274
1	BYRNES Nick	253
1	BUTLER Mel	243
1	LANE David	237
1	TE PAPA Nola	109
1	DIANU Iulian	92
1	WILSON Nathan	76
2	NAYLOR Karen	1496.129390778
2	BOWEN Rachel	1446.512247162
2	DENNISON Vaughan	1418.458744965
2	BARRETT Brent	1381.439450572
2	FINDLAY Lew	1379.067310714
2	UTIKERE Tangi	1343.528596128
2	BATY Susan	1186.449966495
2	HANDCOCK Patrick (Pat)	1089.8288694
2	RUTHERFORD Aleisha	1019.745416056
2	JOHNSON Lorna	889.936005953
2	HAPETA Leonie	881.102217675
2	DINGWALL Renee	729.207560357
2	PETRENAS Bruno	706.410197155
2	MEEHAN Billy	698.922858831
2	ASQUITH Andy	692.543809927
2	BUTT Zulfiqar	682.234976082
2	O'FEE Marty	597.00874591
2	MCCANN Duncan	548.74782637
2	LOCKWOOD Latham	530.291247564
2	KIKHOUNGA-N'GOT P. Hussein	320.064061074
2	RAHIM Atif	310.67550191
2	BYRNES Nick	280.056648537
2	BUTLER Mel	268.528602487
2	LANE David	262.376748967
2	TE PAPA Nola	133.450413825
2	WILSON Nathan	100.258126431
2	DIANU Iulian	97.60093343
3	NAYLOR Karen	1333.689690001
3	BOWEN Rachel	1329.352367183
3	DENNISON Vaughan	1329.334291203
3	FINDLAY Lew	1315.244192771
