ITER	CANDIDATE	VOTES
1	GODDARD Ben	307
1	NOTTAGE Rabbit	240
1	PUE Elijah	218
1	HOETA Vivienne	153
1	HINCH Janelle	138
1	GRIFFIN-CHAPPEL Gary	61
1	CARTER Kahurangi	48
1	PAKAI Elizabeth (Betty)	47
2	NOTTAGE Rabbit	271.353094348
2	GODDARD Ben	242.400000236
2	PUE Elijah	224.523127012
2	HOETA Vivienne	159.523127012
2	HINCH Janelle	146.41693808
2	GRIFFIN-CHAPPEL Gary	65.20846904
2	CARTER Kahurangi	51.366775232
2	PAKAI Elizabeth (Betty)	49.314657972
3	GODDARD Ben	249.094145398
3	NOTTAGE Rabbit	242.185196356
3	PUE Elijah	229.27013093
3	HOETA Vivienne	164.278753954
3	HINCH Janelle	152.57862288
3	GRIFFIN-CHAPPEL Gary	67.495179128
3	CARTER Kahurangi	52.735711279
3	PAKAI Elizabeth (Betty)	50.719205534
4	NOTTAGE Rabbit	244.786685857
4	GODDARD Ben	241.791512259
4	PUE Elijah	230.160902809
4	HOETA Vivienne	165.231687871
4	HINCH Janelle	153.790656302
4	GRIFFIN-CHAPPEL Gary	68.076959234
4	CARTER Kahurangi	53.153284972
4	PAKAI Elizabeth (Betty)	51.061392195
5	GODDARD Ben	242.343151343
5	NOTTAGE Rabbit	241.68551524
5	PUE Elijah	230.692244433
5	HOETA Vivienne	165.77213047
5	HINCH Janelle	154.488339445
5	GRIFFIN-CHAPPEL Gary	68.339600249
5	CARTER Kahurangi	53.30896108
5	PAKAI Elizabeth (Betty)	51.22412377
6	NOTTAGE Rabbit	247.534398915
6	GODDARD Ben	247.208801238
6	PUE Elijah	240.480798407
6	HOETA Vivienne	178.433584437
6	HINCH Janelle	161.465357205
6	GRIFFIN-CHAPPEL Gary	72.212985608
6	CARTER Kahurangi	58.976818143
6	PAKAI Elizabeth (Betty)	0
7	PUE Elijah	258.372149694
7	GODDARD Ben	248.318586042
7	NOTTAGE Rabbit	246.524628784
7	HOETA Vivienne	185.974037862
7	HINCH Janelle	182.848612316
7	GRIFFIN-CHAPPEL Gary	76.152822492
7	CARTER Kahurangi	0
7	PAKAI Elizabeth (Betty)	0
8	NOTTAGE Rabbit	263.612512665
8	PUE Elijah	257.505748372
8	GODDARD Ben	255.899158281
8	HOETA Vivienne	210.875725851
8	HINCH Janelle	204.844595127
8	CARTER Kahurangi	0
8	GRIFFIN-CHAPPEL Gary	0
8	PAKAI Elizabeth (Betty)	0
9	NOTTAGE Rabbit	248.343915384
9	GODDARD Ben	246.284666488
9	PUE Elijah	245.184559954
9	HOETA Vivienne	227.820366789
9	HINCH Janelle	218.786629957
9	CARTER Kahurangi	0
9	GRIFFIN-CHAPPEL Gary	0
9	PAKAI Elizabeth (Betty)	0
10	NOTTAGE Rabbit	241.74651806400001
10	GODDARD Ben	240.474577654
10	PUE Elijah	240.279361396
10	HOETA Vivienne	235.464977265
10	HINCH Janelle	225.40264544
10	CARTER Kahurangi	0
10	GRIFFIN-CHAPPEL Gary	0
10	PAKAI Elizabeth (Betty)	0
11	HOETA Vivienne	238.928840428
11	NOTTAGE Rabbit	238.54048314
11	GODDARD Ben	238.100424122
11	PUE Elijah	237.99026589
11	HINCH Janelle	228.390973456
11	CARTER Kahurangi	0
11	GRIFFIN-CHAPPEL Gary	0
11	PAKAI Elizabeth (Betty)	0
