CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
CLOUT Kelvin	elected	1	7858	0	7388.600000001	0.65646343
HOLLIS Andrew	elected	18	7565.52527613	1753.45257941	7037.909484119	0.817320701
HUGHES Heidi	elected	20	6907.747521656	3876.241684646	6613.351663071	0.957381787
ROBSON John	elected	21	6841.826155061	4412.936646829	6506.012670635	1
CHRISTIANSEN Tony	excluded	21	5223.288008554	4412.936646829	6506.012670635	0
TE KANI Josh	excluded	19	4042.544034542	1974.323992639	6993.735201473	0
CURACH Rick	excluded	17	3146.290373487	1253.40789051	7137.918421899	0
GILL Matthew	excluded	16	2189.204622098	819.111355788	7224.777728843	0
CANCIAN Danny	excluded	15	1403.69947378	650.14242616	7258.571514769	0
GILLON Bernie	excluded	14	1271.681733688	494.485415544	7289.702916892	0
MIKAERE Buddy	excluded	12	1219.641976396	355.273352692	7317.545329462	0
PAIGE Suzi	excluded	10	1001.51366367	259.9829568	7336.603408641	0
BROWN Geoffrey	excluded	9	825.208067965	201.122584455	7348.37548311	0
HALL Caleb	excluded	8	635.690785855	154.82996455	7357.634007091	0
TAIKATO Pare	excluded	7	470.903581428	113.406463434	7365.918707314	0
WILLIAMS Kim	excluded	6	317.228717864	77.644552268	7373.071089547	0
ROBB Hugh E.	excluded	5	237.35280249	55.335181055	7377.53296379	0
MUNN Linda	excluded	4	225.73790512	40.88914984	7380.422170033	0
CRAIG Rhys	excluded	2	137.58411806	32.496003744	7382.100799252	0
