ITER	CANDIDATE	VOTES
1	MORRIS Steve	3979
1	KIDDIE Dawn	3188
1	STOKES Christopher	1811
1	GREGSON Peter	1152
1	DELANEY Shona	844
1	STANLEY Peter	842
1	JOHNSTON Deborah	598
2	MORRIS Steve	4046
2	KIDDIE Dawn	3402
2	STOKES Christopher	1888
2	GREGSON Peter	1195
2	DELANEY Shona	890
2	STANLEY Peter	878
2	JOHNSTON Deborah	0
3	MORRIS Steve	4221
3	KIDDIE Dawn	3583
3	STOKES Christopher	2006
3	GREGSON Peter	1362
3	DELANEY Shona	981
3	JOHNSTON Deborah	0
3	STANLEY Peter	0
4	MORRIS Steve	4176.724000768
4	KIDDIE Dawn	3906.345415168
4	STOKES Christopher	2167.836768256
4	GREGSON Peter	1562.320066048
4	DELANEY Shona	0
4	JOHNSTON Deborah	0
4	STANLEY Peter	0
5	KIDDIE Dawn	4403.90836638
5	MORRIS Steve	4293.3332247
5	STOKES Christopher	2477.76222742
5	DELANEY Shona	0
5	GREGSON Peter	0
5	JOHNSTON Deborah	0
5	STANLEY Peter	0
