ITER	CANDIDATE	VOTES
1	ABRIE Jako	3253
1	BALDOCK Larry	3084
1	HARVEY Erika	2380
1	GUY Murray	2218
1	PANKHURST Anne	1839
1	BRIDGENS Dave	604
1	POLLETT Barry	571
2	ABRIE Jako	3351
2	BALDOCK Larry	3161
2	HARVEY Erika	2477
2	GUY Murray	2298
2	PANKHURST Anne	1905
2	BRIDGENS Dave	655
2	POLLETT Barry	0
3	ABRIE Jako	3486
3	BALDOCK Larry	3233
3	HARVEY Erika	2590
3	GUY Murray	2375
3	PANKHURST Anne	1986
3	BRIDGENS Dave	0
3	POLLETT Barry	0
4	ABRIE Jako	3848
4	BALDOCK Larry	3543
4	HARVEY Erika	3114
4	GUY Murray	2603
4	BRIDGENS Dave	0
4	PANKHURST Anne	0
4	POLLETT Barry	0
5	BALDOCK Larry	4284
5	ABRIE Jako	4238
5	HARVEY Erika	3515
5	BRIDGENS Dave	0
5	GUY Murray	0
5	PANKHURST Anne	0
5	POLLETT Barry	0
