CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Wilde Fran	elected	1	14,166.000000000	0.000000000	10,098.375000001	0.485476799
Kedgley Sue	elected	2	10,163.821156140	403.144536132	10,047.981932984	0.575468898
Brown Eileen	elected	16	9,572.424807872	4,353.062245448	9,554.242219320	0.732165680
Coffey 'Ana	elected	17	9,678.060183277	4,597.933846485	9,523.633269190	0.781664258
Adams Kathryn	elected	18	9,828.268563418	5,293.638394814	9,436.670200649	0.852492220
Blakeley Roger	elected	20	9,485.788634219	6,552.906320408	9,279.261709950	0.938062597
Driver Sue	elected	24	9,196.560776091	7,233.845546255	9,194.144306719	1.000000000
Ritchie Helene	excluded	24	8,911.269373249	7,233.845546255	9,194.144306719	0.000000000
Brookes Grant	excluded	17	6,269.034539546	4,597.933846485	9,523.633269190	0.000000000
Teng Sue	excluded	15	5,427.496409847	3,558.639063149	9,653.545117107	0.000000000
Church Ross	excluded	13	4,319.396640797	2,513.641249879	9,784.169843766	0.000000000
Scott Ian	excluded	12	3,846.092183769	2,190.613121572	9,824.548359804	0.000000000
Dudfield Paul	excluded	10	2,881.753019739	1,654.631775078	9,891.546028116	0.000000000
Filemoni Tavita Joseph	excluded	9	2,228.567303259	1,278.608039390	9,938.548995077	0.000000000
Apanowicz John	excluded	8	2,074.439810733	1,030.031030675	9,969.621121166	0.000000000
Siers Judy	excluded	6	1,508.085335169	798.259483306	9,998.592564587	0.000000000
Litras Stan	excluded	5	944.922884062	653.536147476	10,016.682981566	0.000000000
Robinson Helen	excluded	4	771.594506148	566.391402425	10,027.576074697	0.000000000
Hausberg Norbert	excluded	3	615.418359899	466.188375500	10,040.101453063	0.000000000
Douglas Paul	excluded	2	433.376958912	403.144536132	10,047.981932984	0.000000000
