ITER	CANDIDATE	VOTES
1	Buck Sally	17274.0
1	Mene Chris	11446.0
1	Kane Jo	10882.0
1	Dickerson Andrew	9852.0
1	Crighton Anna	9277.0
1	Morrell David	9243.0
1	Keown Aaron	9087.0
1	Phipps Rochelle	7120.0
1	Dugan Kelly	6718.0
1	Wakefield Steve	5665.0
1	Church Donald George	4605.0
1	Burn John	3198.0
1	De Lu Janet	2475.0
1	Gargiulo Brian	2209.0
1	Miller Grant	2170.0
1	Bannan Jono	2014.0
1	Roe Richard E	1921.0
1	Taurua Gilbert	1305.0
1	May Ken	917.0
1	Kingi-Patterson Drucilla	761.0
1	Hansen Tubby	757.0
1	Singh Jack	721.0
2	Buck Sally	14952.125015262
2	Mene Chris	11656.761837216001
2	Kane Jo	11118.031751372004
2	Dickerson Andrew	9984.801463756
2	Crighton Anna	9772.182785908
2	Morrell David	9418.545254722001
2	Keown Aaron	9298.568323837999
2	Phipps Rochelle	7189.357849492
2	Dugan Kelly	6806.310285109001
2	Wakefield Steve	5704.786673352
2	Church Donald George	4682.691544586001
2	Burn John	3305.665964037
2	De Lu Janet	2549.8688414089993
2	Gargiulo Brian	2244.3509969310007
2	Miller Grant	2195.2699141559997
2	Bannan Jono	2101.638212924
2	Roe Richard E	1945.329013097
2	Taurua Gilbert	1319.5167591960003
2	May Ken	935.549192306
2	Kingi-Patterson Drucilla	780.490093365
2	Hansen Tubby	773.93621906199985
2	Singh Jack	741.4309944239999
3	Buck Sally	15009.869075112001
3	Mene Chris	11708.921074696
3	Kane Jo	11151.110312184
3	Dickerson Andrew	10003.019729976
3	Crighton Anna	9818.784749760001
3	Morrell David	9459.949774512002
3	Keown Aaron	9336.03587288
3	Phipps Rochelle	7249.827802184
3	Dugan Kelly	6840.3811652800005
3	Wakefield Steve	5724.440358447999
3	Church Donald George	4701.682510648
3	Burn John	3327.9139005520005
3	De Lu Janet	2571.83856448
3	Gargiulo Brian	2260.9713001840005
3	Miller Grant	2220.0017935360006
3	Bannan Jono	2134.0582953199996
3	Roe Richard E	1974.001793536
3	Taurua Gilbert	1353.980268944
3	May Ken	955.8242151119998
3	Kingi-Patterson Drucilla	805.1784751920001
3	Hansen Tubby	787.7408070480001
3	Singh Jack	0.0
4	Buck Sally	14924.441496852003
4	Mene Chris	11716.730162116004
4	Kane Jo	11159.834642364001
4	Dickerson Andrew	10007.925627996
4	Crighton Anna	9837.089604959998
4	Morrell David	9466.415521752
4	Keown Aaron	9343.958135479996
4	Phipps Rochelle	7252.401307363999
4	Dugan Kelly	6843.62880088
4	Wakefield Steve	5725.946080408
4	Church Donald George	4704.541414108
4	Burn John	3331.943921092
4	De Lu Janet	2574.5941340800005
4	Gargiulo Brian	2262.314640364
4	Miller Grant	2220.946560256
4	Bannan Jono	2137.3305342200006
4	Roe Richard E	1974.946560256
4	Taurua Gilbert	1354.5609068239999
4	May Ken	956.508186852
4	Kingi-Patterson Drucilla	805.911653532
4	Hansen Tubby	788.385413508
4	Singh Jack	0.0
5	Buck Sally	14989.98485428
5	Mene Chris	11763.035455820002
5	Kane Jo	11192.866100779996
5	Dickerson Andrew	10028.94547576
