CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Buck Sally	elected	1	17274.0	0.0	14952.125000001	0.615971864
Mene Chris	elected	18	15220.568723002	3507.152653376	14513.730918329002	0.824553132
Dickerson Andrew	elected	19	15112.749339648999	4814.585606539001	14350.301799182998	0.889532375
Kane Jo	elected	19	15093.203311427	4814.585606539001	14350.301799182998	0.884480663
Crighton Anna	elected	19	14868.449179839	4814.585606539001	14350.301799182998	0.885461054
Keown Aaron	elected	21	14362.165975508999	5545.248796827998	14258.968900396998	0.975972079
Morrell David	elected	23	14350.872439102	5854.450567225	14220.318679096998	1.0
Phipps Rochelle	excluded	23	13259.365778193	5854.450567225	14220.318679096998	0.0
Dugan Kelly	excluded	18	9155.533598145003	3507.152653376	14513.730918329002	0.0
Wakefield Steve	excluded	17	6907.430798823998	2998.2453635780003	14577.344329553	0.0
Church Donald George	excluded	16	5924.006169760001	1996.83946664	14702.520066671	0.0
Burn John	excluded	15	4023.2566451859993	1775.3655898800002	14730.204301266001	0.0
De Lu Janet	excluded	14	3121.4944708340004	1538.419075232	14759.822615596999	0.0
Miller Grant	excluded	13	2577.433489618	1139.635372794	14809.670578401001	0.0
Gargiulo Brian	excluded	12	2442.876059954	943.4523098289999	14834.193461272003	0.0
Bannan Jono	excluded	10	2307.4046810359996	815.909835792	14850.136270527	0.0
Roe Richard E	excluded	8	2097.2527418659997	666.4250813919999	14868.821864827	0.0
Taurua Gilbert	excluded	7	1446.7115273840002	548.6575464879999	14883.54280669	0.0
May Ken	excluded	6	990.75689385	428.95504935099996	14898.505618832001	0.0
Kingi-Patterson Drucilla	excluded	5	848.3383588799999	347.49158367999996	14908.688552041001	0.0
Hansen Tubby	excluded	4	788.385413508	226.64469473599993	14923.794413159003	0.0
Singh Jack	excluded	2	741.4309944239999	139.79101448	14934.651123190999	0.0
