ITER	CANDIDATE	VOTES
1	Vandervis Lee	5368.0
1	Whiley Andrew	3044.0
1	Hawkins Aaron	2845.0
1	Benson-Pope David	2347.0
1	Staynes Chris	2306.0
1	Stedman Conrad	1706.0
1	O'Malley Jim	1496.0
1	Lord Mike	1446.0
1	Wilson Kate	1415.0
1	Elder Rachel	1387.0
1	Hall Doug	1337.0
1	Newell Damian	1295.0
1	Walker Steve	1030.0
1	Barbour-Evans Scout	980.0
1	Adams Chris	969.0
1	Laufiso Marie	966.0
1	Garey Christine	831.0
1	Acklin Bill	788.0
1	Fung Ronald	766.0
1	Pope Paul	652.0
1	Gray Abe	638.0
1	Idour Wayne	550.0
1	Dixon Malcolm	534.0
1	Shepherd Robert Francis	498.0
1	Galloway Ann	404.0
1	McLeod Islay	395.0
1	Hope Lyndon	390.0
1	Fraser Hamish	358.0
1	Esplin Phyll	310.0
1	Matahaere-Atariki Donna	307.0
1	Johnstone Neil	294.0
1	Johnston Tony	278.0
1	Mitchell Liesel	243.0
1	Murray David	242.0
1	Houlahan Carmen	188.0
1	Perry Joshua	149.0
1	Gourlie Paul MacDonald (Mac)	133.0
1	Fairhurst Bruce	131.0
1	O'Mahony Richard	114.0
1	Jemmett Neville K	110.0
1	Samson Martin	100.0
1	Linklater Nanette	57.0
1	Cull Dave	0.0
2	Whiley Andrew	2845.926352191
2	Hawkins Aaron	2748.4100974870003
2	Vandervis Lee	2656.3148525170004
2	Benson-Pope David	2619.333601959
2	Staynes Chris	2468.105979824
2	Stedman Conrad	1897.9473391620002
2	O'Malley Jim	1637.2333009759998
2	Hall Doug	1624.8834267499997
2	Elder Rachel	1546.4433068879998
2	Lord Mike	1539.0963679860001
2	Wilson Kate	1525.336812727
2	Newell Damian	1359.99871405
2	Walker Steve	1095.8661362249998
2	Barbour-Evans Scout	1058.682511103
2	Laufiso Marie	1054.701196725
2	Adams Chris	1044.8721916339998
2	Acklin Bill	903.923392118
2	Garey Christine	877.2478814809999
2	Fung Ronald	843.484469871
2	Pope Paul	713.219675474
2	Gray Abe	707.5445937349999
2	Idour Wayne	658.380455869
2	Dixon Malcolm	601.0154128869999
2	Shepherd Robert Francis	557.2639045590001
2	McLeod Islay	444.166898353
2	Galloway Ann	443.953081991
2	Hope Lyndon	428.15433953400003
2	Fraser Hamish	385.58407849499997
2	Johnstone Neil	356.6276211090001
2	Esplin Phyll	343.48505518799993
2	Matahaere-Atariki Donna	330.083442604
2	Johnston Tony	309.380548554
2	Mitchell Liesel	257.51969779300003
2	Murray David	257.26479136
2	Houlahan Carmen	203.267597473
2	Perry Joshua	156.665548598
2	Fairhurst Bruce	149.91519999099998
2	Gourlie Paul MacDonald (Mac)	143.42222075300003
2	O'Mahony Richard	140.51527103399997
2	Jemmett Neville K	124.5404511
2	Samson Martin	104.264532637
2	Linklater Nanette	66.91497468300003
2	Cull Dave	0.0
3	Benson-Pope David	2643.6725526450005
3	Vandervis Lee	2631.0013425510006
3	Hawkins Aaron	2624.4311701200004
3	Whiley Andrew	2621.771070109
3	Staynes Chris	2495.482011912
3	Stedman Conrad	1925.9636034420002
3	O'Malley Jim	1658.5332308759996
3	Hall Doug	1642.1992086529997
3	Elder Rachel	1564.8738582689998
3	Lord Mike	1553.204323947
3	Wilson Kate	1543.700215647
3	Newell Damian	1370.107882669
3	Walker Steve	1105.5912564359999
3	Laufiso Marie	1088.3158598090001
3	Barbour-Evans Scout	1073.0004024379998
3	Adams Chris	1053.1701176549998
3	Acklin Bill	913.74902401
3	Garey Christine	886.2963015720002
3	Fung Ronald	853.9201225979999
3	Pope Paul	720.8559424349999
3	Gray Abe	718.4206596449999
3	Idour Wayne	665.343750328
3	Dixon Malcolm	607.375813464
3	Shepherd Robert Francis	564.209270123
3	McLeod Islay	451.689166357
3	Galloway Ann	447.17346293900005
3	Hope Lyndon	433.84601806099994
3	Fraser Hamish	388.715770327
3	Johnstone Neil	359.8456676360001
3	Esplin Phyll	346.92183058699993
3	Matahaere-Atariki Donna	334.70706243
3	Johnston Tony	313.60653492399996
3	Mitchell Liesel	259.57707888
3	Murray David	259.32403677499997
3	Houlahan Carmen	205.14395534499997
3	Perry Joshua	157.91400574399995
3	Fairhurst Bruce	151.526673513
3	Gourlie Paul MacDonald (Mac)	144.85038538100002
3	O'Mahony Richard	142.20745955
3	Jemmett Neville K	125.93926050800002
3	Samson Martin	104.973248753
3	Linklater Nanette	67.697330479
3	Cull Dave	0.0
4	Hawkins Aaron	2617.448430806
4	Whiley Andrew	2617.3051839170002
4	Benson-Pope David	2617.2384417969993
4	Vandervis Lee	2616.459245284
4	Staynes Chris	2500.5568605549997
4	Stedman Conrad	1928.71941873
4	O'Malley Jim	1660.836689656
4	Hall Doug	1646.17910438
4	Elder Rachel	1567.6894088919996
4	Lord Mike	1554.515224583
4	Wilson Kate	1546.6934015499996
4	Newell Damian	1371.3184903369997
4	Walker Steve	1106.7334963889998
4	Laufiso Marie	1091.388723892
4	Barbour-Evans Scout	1074.998699612
4	Adams Chris	1054.234863648
4	Acklin Bill	916.5947713240001
4	Garey Christine	887.9888071660001
4	Fung Ronald	855.4994019630001
4	Pope Paul	721.817866377
4	Gray Abe	719.659995544
4	Idour Wayne	666.8115699289999
4	Dixon Malcolm	608.8157333600001
4	Shepherd Robert Francis	565.2790696400001
4	McLeod Islay	452.9817071499999
4	Galloway Ann	447.88038684199995
4	Hope Lyndon	434.476882589
4	Fraser Hamish	389.2639542509999
4	Johnstone Neil	360.4255417019999
4	Esplin Phyll	347.934884375
4	Matahaere-Atariki Donna	335.38145576499994
4	Johnston Tony	314.106647892
4	Mitchell Liesel	259.839649995
4	Murray David	259.63447373
4	Houlahan Carmen	205.488861968
4	Perry Joshua	158.077114916
4	Fairhurst Bruce	151.91143221800002
4	Gourlie Paul MacDonald (Mac)	145.181583437
4	O'Mahony Richard	142.433025892
4	Jemmett Neville K	126.154844992
4	Samson Martin	105.04867449800001
4	Linklater Nanette	67.79497948100003
4	Cull Dave	0.0
5	Whiley Andrew	2617.680502322
5	Benson-Pope David	2617.041041207
5	Vandervis Lee	2616.397624662
