CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Vandervis Lee	elected	1	5368.0	129.0	2626.4666666669996	0.315687457
Whiley Andrew	elected	1	3044.0	129.0	2626.4666666669996	0.460563615
Hawkins Aaron	elected	1	2845.0	129.0	2626.4666666669996	0.501323243
Benson-Pope David	elected	2	2619.333601959	295.042674552	2615.3971550300007	0.495333605
Staynes Chris	elected	24	2607.1723125660005	484.27253259199995	2602.7818311609994	0.585801878
Stedman Conrad	elected	51	2626.6267384479997	1158.0286850060002	2557.8647543330003	0.640996332
Hall Doug	elected	58	2623.0120450259997	1454.5497731520002	2538.0966817899994	0.654735496
Elder Rachel	elected	62	2610.3883538860005	1752.482514007	2518.2344990669994	0.743879082
O'Malley Jim	elected	62	2521.028633777	1752.482514007	2518.2344990669994	0.792011377
Wilson Kate	elected	63	2559.440497664	1830.7163395389998	2513.018910698	0.73310496
Lord Mike	elected	68	2503.5433891099997	2181.149837557	2489.6566774969997	0.840480866
Newell Damian	elected	69	2539.5000751659995	2344.3632608310004	2478.775782612	0.856026815
Laufiso Marie	elected	72	2492.366778072	2679.458529992	2456.436098001	0.927752071
Garey Christine	elected	79	2439.764469406999	3054.0432841879997	2431.463781055	1.0
Barbour-Evans Scout	excluded	79	2259.332887036	3054.0432841879997	2431.463781055	0.0
Acklin Bill	excluded	67	1775.9230909579999	1928.5574159169998	2506.496172273001	0.0
Fung Ronald	excluded	61	1577.996460602	1531.918269532	2532.9387820320003	0.0
Walker Steve	excluded	57	1406.0641098509998	1338.57756883	2545.8281620790003	0.0
Adams Chris	excluded	54	1362.501794042	1192.867805293	2555.542146314	0.0
Idour Wayne	excluded	50	993.4813954360001	1027.646509243	2566.5568993839997	0.0
Pope Paul	excluded	49	937.665419857	963.772287525	2570.815180832001	0.0
Gray Abe	excluded	45	909.7383605010001	825.164448565	2580.0557034300004	0.0
Dixon Malcolm	excluded	40	793.0687105400001	744.1660580979999	2585.4555961270003	0.0
Shepherd Robert Francis	excluded	38	709.2856182700001	690.4320306879999	2589.0378646209997	0.0
McLeod Islay	excluded	36	607.078651602	662.8989782300001	2590.873401452	0.0
Galloway Ann	excluded	34	534.8169574279999	606.6796011270001	2594.621359925	0.0
Hope Lyndon	excluded	32	519.3561593429998	577.151978458	2596.5898681029994	0.0
Fraser Hamish	excluded	29	460.15939234300004	543.3369083119999	2598.844206113	0.0
Johnstone Neil	excluded	27	427.598580874	514.663718074	2600.755752129	0.0
Matahaere-Atariki Donna	excluded	25	399.2768284079999	486.73774850999996	2602.617483433	0.0
Esplin Phyll	excluded	23	388.33057339799996	465.9416128479999	2604.003892477	0.0
Johnston Tony	excluded	20	343.792879084	447.9360284159999	2605.2042647729995	0.0
Mitchell Liesel	excluded	18	283.140346366	423.9115437719999	2606.8058970820002	0.0
Murray David	excluded	17	269.9370504919999	391.69775724499993	2608.9534828510004	0.0
Houlahan Carmen	excluded	15	219.296049603	372.41851647699986	2610.2387655689995	0.0
Perry Joshua	excluded	14	175.042360025	359.58601762999996	2611.0942654919995	0.0
Fairhurst Bruce	excluded	13	162.21972043699998	354.913524629	2611.4057650249997	0.0
Gourlie Paul MacDonald (Mac)	excluded	11	148.58985132799998	348.373607574	2611.841759496	0.0
O'Mahony Richard	excluded	9	142.895702597	337.764042909	2612.549063807	0.0
Jemmett Neville K	excluded	7	127.28494015199999	332.71960442	2612.885359706	0.0
Samson Martin	excluded	5	105.27395870299999	312.9841385529999	2614.20105743	0.0
Linklater Nanette	excluded	4	67.79497948100003	307.20099897599994	2614.5866000689994	0.0
Cull Dave	excluded	1	0.0	129.0	2626.4666666669996	0.0
