ITER	CANDIDATE	VOTES
1	Cull Dave	10816.0
1	Vandervis Lee	7063.0
1	Timmings Barry	5613.0
1	Whiley Andrew	4647.0
1	Hawkins Aaron	3108.0
1	O'Malley Jim	2501.0
1	Stedman Conrad	2086.0
1	Elder Rachel	1734.0
1	Barbour-Evans Scout	945.0
1	Gray Abe	734.0
1	Bayne Athol	612.0
2	Cull Dave	10876.0
2	Vandervis Lee	7143.0
2	Timmings Barry	5660.0
2	Whiley Andrew	4679.0
2	Hawkins Aaron	3142.0
2	O'Malley Jim	2595.0
2	Stedman Conrad	2138.0
2	Elder Rachel	1801.0
2	Barbour-Evans Scout	973.0
2	Gray Abe	762.0
2	Bayne Athol	0.0
3	Cull Dave	10948.0
3	Vandervis Lee	7219.0
3	Timmings Barry	5687.0
3	Whiley Andrew	4711.0
3	Hawkins Aaron	3327.0
3	O'Malley Jim	2647.0
3	Stedman Conrad	2181.0
3	Elder Rachel	1866.0
3	Barbour-Evans Scout	1057.0
3	Bayne Athol	0.0
3	Gray Abe	0.0
4	Cull Dave	11073.0
4	Vandervis Lee	7306.0
4	Timmings Barry	5736.0
4	Whiley Andrew	4758.0
4	Hawkins Aaron	3578.0
4	O'Malley Jim	2726.0
4	Stedman Conrad	2227.0
4	Elder Rachel	2082.0
4	Barbour-Evans Scout	0.0
4	Bayne Athol	0.0
4	Gray Abe	0.0
5	Cull Dave	11363.0
5	Vandervis Lee	7547.0
5	Timmings Barry	5886.0
5	Whiley Andrew	4958.0
5	Hawkins Aaron	3867.0
5	O'Malley Jim	2935.0
5	Stedman Conrad	2428.0
5	Barbour-Evans Scout	0.0
5	Bayne Athol	0.0
5	Elder Rachel	0.0
5	Gray Abe	0.0
6	Cull Dave	11641.0
6	Vandervis Lee	7876.0
6	Timmings Barry	6321.0
6	Whiley Andrew	5269.0
6	Hawkins Aaron	4029.0
6	O'Malley Jim	3279.0
6	Barbour-Evans Scout	0.0
6	Bayne Athol	0.0
6	Elder Rachel	0.0
6	Gray Abe	0.0
6	Stedman Conrad	0.0
7	Cull Dave	12144.0
7	Vandervis Lee	8304.0
7	Timmings Barry	7139.0
7	Whiley Andrew	5779.0
7	Hawkins Aaron	4343.0
7	Barbour-Evans Scout	0.0
7	Bayne Athol	0.0
7	Elder Rachel	0.0
7	Gray Abe	0.0
7	O'Malley Jim	0.0
7	Stedman Conrad	0.0
8	Cull Dave	13784.0
8	Vandervis Lee	8856.0
8	Timmings Barry	7498.0
8	Whiley Andrew	6225.0
8	Barbour-Evans Scout	0.0
8	Bayne Athol	0.0
8	Elder Rachel	0.0
8	Gray Abe	0.0
8	Hawkins Aaron	0.0
8	O'Malley Jim	0.0
8	Stedman Conrad	0.0
9	Cull Dave	15005.0
9	Vandervis Lee	9934.0
9	Timmings Barry	9391.0
9	Barbour-Evans Scout	0.0
9	Bayne Athol	0.0
9	Elder Rachel	0.0
9	Gray Abe	0.0
9	Hawkins Aaron	0.0
9	O'Malley Jim	0.0
9	Stedman Conrad	0.0
9	Whiley Andrew	0.0
10	Cull Dave	17441.0
10	Vandervis Lee	11938.0
10	Barbour-Evans Scout	0.0
10	Bayne Athol	0.0
10	Elder Rachel	0.0
10	Gray Abe	0.0
10	Hawkins Aaron	0.0
10	O'Malley Jim	0.0
10	Stedman Conrad	0.0
10	Timmings Barry	0.0
10	Whiley Andrew	0.0
