CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Cull Dave	elected	10	17441.0	10480.0	14690.0	1.0
Vandervis Lee	excluded	10	11938.0	10480.0	14690.0	0.0
Timmings Barry	excluded	9	9391.0	5529.0	17165.0	0.0
Whiley Andrew	excluded	8	6225.0	3496.0	18182.0	0.0
Hawkins Aaron	excluded	7	4343.0	2150.0	18855.0	0.0
O'Malley Jim	excluded	6	3279.0	1444.0	19208.0	0.0
Stedman Conrad	excluded	5	2428.0	875.0	19492.0	0.0
Elder Rachel	excluded	4	2082.0	373.0	19743.0	0.0
Barbour-Evans Scout	excluded	3	1057.0	216.0	19822.0	0.0
Gray Abe	excluded	2	762.0	90.0	19885.0	0.0
Bayne Athol	excluded	1	612.0	0.0	19930.0	0.0
