ITER	CANDIDATE	VOTES
1	Atkinson Kevin	14,495.000000000
1	Dunkerley Peter	5,199.000000000
1	Kirton Diana	4,210.000000000
1	Apatu Ana	3,753.000000000
1	Poulain Jacoby	3,729.000000000
1	Francis Helen	2,735.000000000
1	Skipworth Heather	2,399.000000000
1	Butler Peter	2,277.000000000
1	Druzianic Dan	2,255.000000000
1	Aitcheson-Johnson Lynlee	1,876.000000000
1	Wilson Julia	1,597.000000000
1	Flood Hine Beth	1,315.000000000
1	Nuku Kerri	886.000000000
1	Lambert Charles	770.000000000
1	Seton Grant	179.000000000
2	Dunkerley Peter	7,232.357233050
2	Atkinson Kevin	5,959.375009250
2	Kirton Diana	5,577.937692550
2	Apatu Ana	4,374.843393600
2	Poulain Jacoby	4,197.149145750
2	Druzianic Dan	3,960.947264450
2	Francis Helen	3,604.756337450
2	Butler Peter	2,958.318945450
2	Skipworth Heather	2,575.660055000
2	Aitcheson-Johnson Lynlee	2,016.739177150
2	Wilson Julia	1,708.295834650
2	Flood Hine Beth	1,359.165013750
2	Nuku Kerri	944.297818150
2	Lambert Charles	798.265608800
2	Seton Grant	199.610339750
3	Atkinson Kevin	6,014.406274433
3	Dunkerley Peter	5,938.528666305
3	Kirton Diana	5,891.182542691
3	Apatu Ana	4,467.110754844
3	Poulain Jacoby	4,322.735907104
3	Druzianic Dan	4,090.530420217
3	Francis Helen	3,779.599900134
3	Butler Peter	3,054.860934791
3	Skipworth Heather	2,627.448253243
3	Aitcheson-Johnson Lynlee	2,051.342077221
3	Wilson Julia	1,739.610224097
3	Flood Hine Beth	1,388.684450460
3	Nuku Kerri	958.285777161
3	Lambert Charles	817.574412359
3	Seton Grant	212.798080926
4	Dunkerley Peter	5,948.556550584
4	Kirton Diana	5,925.738823685
4	Atkinson Kevin	5,924.579762889
4	Apatu Ana	4,483.734501907
4	Poulain Jacoby	4,350.417690431
4	Druzianic Dan	4,130.678990902
4	Francis Helen	3,807.847697220
4	Butler Peter	3,080.105514544
4	Skipworth Heather	2,654.464397182
4	Aitcheson-Johnson Lynlee	2,055.980739711
4	Wilson Julia	1,789.792483272
4	Flood Hine Beth	1,389.676650319
4	Nuku Kerri	963.567867347
4	Lambert Charles	831.270219160
4	Seton Grant	0.000000000
5	Dunkerley Peter	5,962.894794629
5	Kirton Diana	5,959.857166218
5	Atkinson Kevin	5,930.872279338
5	Apatu Ana	4,555.283624874
5	Poulain Jacoby	4,416.081807931
5	Druzianic Dan	4,151.354538445
5	Francis Helen	3,832.275335573
5	Butler Peter	3,104.853052517
5	Skipworth Heather	2,745.554884806
5	Aitcheson-Johnson Lynlee	2,077.265278341
5	Wilson Julia	1,804.112039386
5	Flood Hine Beth	1,653.333886285
