CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Atkinson Kevin	elected	1	14,495.000000000	0.000000000	5,959.375000001	0.339544272
Dunkerley Peter	elected	2	7,232.357233050	207.281131200	5,933.464858601	0.59739068
Kirton Diana	elected	4	5,925.738823685	338.588110847	5,917.051486145	0.703879507
Apatu Ana	elected	11	5,849.163606374	1,571.372848969	5,762.953393879	0.756898014
Poulain Jacoby	elected	14	6,935.451363795	2,114.610560138	5,695.048679983	0.74353474
Francis Helen	elected	15	5,732.585194544	2,572.005739758	5,637.874282531	0.922946649
Druzianic Dan	elected	17	5,663.574578791	3,046.566957988	5,578.554130252	1
Butler Peter	excluded	17	4,517.623461309	3,046.566957988	5,578.554130252	0
Skipworth Heather	excluded	13	3,703.602974089	1,657.228517587	5,752.221435302	0
Aitcheson-Johnson Lynlee	excluded	10	2,346.903434407	1,320.575368153	5,794.303078981	0
Wilson Julia	excluded	9	1,926.609665576	1,081.261256126	5,824.217342985	0
Flood Hine Beth	excluded	7	1,703.321205668	579.474502546	5,886.940687182	0
Nuku Kerri	excluded	5	1,022.275652065	458.985659592	5,902.001792552	0
Lambert Charles	excluded	4	831.270219160	338.588110847	5,917.051486145	0
Seton Grant	excluded	3	212.798080926	320.301324014	5,919.337334499	0
