ITER	CANDIDATE	VOTES
1	Guppy Wayne	7,417.000000000
1	Laban Ken	5,494.000000000
1	Bridson Lisa	2,527.000000000
1	Terris John	2,139.000000000
1	Lamason Prue	2,096.000000000
1	Austin Katy	2,001.000000000
1	Alexander Jodie	1,936.000000000
1	Ogden David	1,877.000000000
1	Milne Chris	1,585.000000000
1	Greig Sandra Vanessa	1,579.000000000
1	Allen Kath	1,205.000000000
1	Taylor Steve	1,122.000000000
1	Futter Mark	994.000000000
1	Dobbs Leonie Margaret	951.000000000
1	Swales Hellen	944.000000000
1	Styles Roger	801.000000000
1	Hickson Bob	259.000000000
2	Laban Ken	4,788.229257706
2	Guppy Wayne	4,486.259604753
2	Bridson Lisa	2,706.015532419
2	Terris John	2,515.729677243
2	Lamason Prue	2,420.399113730
2	Austin Katy	2,345.735431941
2	Ogden David	2,244.140171983
2	Alexander Jodie	2,085.219610108
2	Greig Sandra Vanessa	1,814.742669880
2	Milne Chris	1,802.022504457
2	Taylor Steve	1,412.852434223
2	Allen Kath	1,337.846784563
2	Swales Hellen	1,208.151109403
2	Futter Mark	1,183.166138460
2	Dobbs Leonie Margaret	1,042.760709053
2	Styles Roger	903.510513588
2	Hickson Bob	307.518676057
3	Guppy Wayne	4,368.944270305
3	Laban Ken	4,345.096398302
3	Bridson Lisa	2,742.401481657
3	Terris John	2,585.587796433
3	Lamason Prue	2,490.389798566
3	Austin Katy	2,378.825835651
3	Ogden David	2,305.949980757
3	Alexander Jodie	2,110.302292794
3	Greig Sandra Vanessa	1,852.317450786
3	Milne Chris	1,834.496741659
3	Taylor Steve	1,439.865814823
3	Allen Kath	1,358.080556029
3	Swales Hellen	1,235.652596487
3	Futter Mark	1,201.783112084
3	Dobbs Leonie Margaret	1,060.555906323
3	Styles Roger	922.655145432
3	Hickson Bob	314.050519169
4	Laban Ken	4,348.961481592
4	Guppy Wayne	4,334.063754773
4	Bridson Lisa	2,762.670483098
4	Terris John	2,608.071982130
4	Lamason Prue	2,520.673475823
4	Austin Katy	2,397.738318777
4	Ogden David	2,335.192111459
4	Alexander Jodie	2,135.389731566
4	Greig Sandra Vanessa	1,873.536363985
4	Milne Chris	1,868.691833297
4	Taylor Steve	1,467.002707060
4	Allen Kath	1,369.028685963
4	Swales Hellen	1,255.228971473
4	Futter Mark	1,230.064884156
4	Dobbs Leonie Margaret	1,076.545354157
4	Styles Roger	946.034458714
4	Hickson Bob	0.000000000
5	Laban Ken	4,393.772304789
5	Guppy Wayne	4,378.357870373
5	Bridson Lisa	2,815.946152716
5	Terris John	2,691.508252701
5	Lamason Prue	2,609.323341932
5	Ogden David	2,467.317173532
5	Austin Katy	2,452.691656746
5	Alexander Jodie	2,185.355960419
5	Milne Chris	1,980.264264665
5	Greig Sandra Vanessa	1,936.939823730
5	Taylor Steve	1,499.468573212
5	Allen Kath	1,403.317396957
5	Swales Hellen	1,290.688454712
5	Futter Mark	1,267.154001177
5	Dobbs Leonie Margaret	1,107.474493553
5	Hickson Bob	0.000000000
5	Styles Roger	0.000000000
6	Laban Ken	4,394.452066256
6	Guppy Wayne	4,372.719401826
6	Bridson Lisa	2,941.140271418
6	Lamason Prue	2,762.095919497
6	Terris John	2,760.427296912
6	Austin Katy	2,559.744378975
6	Ogden David	2,538.046903879
6	Alexander Jodie	2,297.669350143
6	Milne Chris	2,049.800347143
6	Greig Sandra Vanessa	2,033.953470148
6	Taylor Steve	1,538.435972989
6	Allen Kath	1,485.460872267
6	Swales Hellen	1,349.166634958
6	Futter Mark	1,339.445026173
6	Dobbs Leonie Margaret	0.000000000
6	Hickson Bob	0.000000000
6	Styles Roger	0.000000000
7	Guppy Wayne	4,311.095719020
7	Laban Ken	4,311.028022295
7	Bridson Lisa	2,950.419923699
7	Lamason Prue	2,779.888943817
7	Terris John	2,778.361779723
7	Austin Katy	2,570.757122639
7	Ogden David	2,554.664180797
7	Alexander Jodie	2,304.597201780
7	Milne Chris	2,059.443625112
7	Greig Sandra Vanessa	2,044.925857184
7	Taylor Steve	1,547.628913399
7	Allen Kath	1,491.445610834
7	Swales Hellen	1,357.836665817
7	Futter Mark	1,345.906813783
7	Dobbs Leonie Margaret	0.000000000
7	Hickson Bob	0.000000000
7	Styles Roger	0.000000000
8	Laban Ken	4,302.180553469
8	Guppy Wayne	4,301.901910077
8	Bridson Lisa	2,951.530766817
8	Lamason Prue	2,782.004119949
8	Terris John	2,780.536459758
8	Austin Katy	2,572.214947769
8	Ogden David	2,556.701620948
8	Alexander Jodie	2,305.446307986
8	Milne Chris	2,060.653561385
8	Greig Sandra Vanessa	2,046.280442956
8	Taylor Steve	1,548.851909633
8	Allen Kath	1,492.187183587
8	Swales Hellen	1,358.977354190
8	Futter Mark	1,346.759066401
8	Dobbs Leonie Margaret	0.000000000
8	Hickson Bob	0.000000000
8	Styles Roger	0.000000000
9	Guppy Wayne	4,461.670745552
9	Laban Ken	4,391.246676817
9	Bridson Lisa	3,024.168099665
9	Lamason Prue	2,878.697326957
9	Terris John	2,836.041328760
9	Austin Katy	2,684.118764206
9	Ogden David	2,624.204528573
9	Alexander Jodie	2,398.920610906
9	Milne Chris	2,243.214778791
9	Greig Sandra Vanessa	2,156.446648009
9	Taylor Steve	1,641.993755982
9	Allen Kath	1,561.606784541
9	Swales Hellen	1,426.611508503
9	Dobbs Leonie Margaret	0.000000000
9	Futter Mark	0.000000000
9	Hickson Bob	0.000000000
9	Styles Roger	0.000000000
10	Laban Ken	4,311.205922881
10	Guppy Wayne	4,299.916643692
10	Bridson Lisa	3,038.398074769
10	Lamason Prue	2,905.807158643
10	Terris John	2,864.004318442
10	Austin Katy	2,707.108077272
10	Ogden David	2,651.474863309
10	Alexander Jodie	2,410.956616674
10	Milne Chris	2,262.760548371
10	Greig Sandra Vanessa	2,175.530520563
10	Taylor Steve	1,661.580972140
10	Allen Kath	1,571.945196535
10	Swales Hellen	1,444.064811765
10	Dobbs Leonie Margaret	0.000000000
10	Futter Mark	0.000000000
10	Hickson Bob	0.000000000
10	Styles Roger	0.000000000
11	Guppy Wayne	4,387.062791760
11	Laban Ken	4,385.129252873
11	Bridson Lisa	3,161.767655041
11	Lamason Prue	3,004.320517739
11	Terris John	2,959.964155822
11	Austin Katy	2,897.770079929
11	Ogden David	2,734.125852838
11	Alexander Jodie	2,499.549920211
11	Milne Chris	2,358.494323311
11	Greig Sandra Vanessa	2,260.340023327
11	Taylor Steve	1,884.627895394
11	Allen Kath	1,624.297478286
11	Dobbs Leonie Margaret	0.000000000
11	Futter Mark	0.000000000
11	Hickson Bob	0.000000000
11	Styles Roger	0.000000000
11	Swales Hellen	0.000000000
12	Laban Ken	4,374.371572238
12	Guppy Wayne	4,369.124514074
12	Bridson Lisa	3,349.888920341
12	Lamason Prue	3,200.327515046
12	Austin Katy	3,181.503350976
12	Terris John	3,062.217447590
12	Ogden David	2,852.253877766
12	Alexander Jodie	2,791.088053290
12	Milne Chris	2,482.550817862
12	Greig Sandra Vanessa	2,414.090172105
12	Taylor Steve	1,965.223613046
12	Allen Kath	0.000000000
12	Dobbs Leonie Margaret	0.000000000
12	Futter Mark	0.000000000
12	Hickson Bob	0.000000000
12	Styles Roger	0.000000000
12	Swales Hellen	0.000000000
13	Guppy Wayne	4,415.577004432
13	Laban Ken	4,397.924105783
13	Bridson Lisa	3,524.511344839
13	Austin Katy	3,405.773564872
13	Lamason Prue	3,399.826028475
13	Terris John	3,261.505363965
13	Alexander Jodie	3,060.388327048
13	Ogden David	2,998.804898862
13	Milne Chris	2,710.721988563
13	Greig Sandra Vanessa	2,519.068088111
13	Allen Kath	0.000000000
