CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Guppy Wayne	elected	1	7,417.000000000	0.000000000	4,365.875000001	0.400400556
Laban Ken	elected	1	5,494.000000000	0.000000000	4,365.875000001	0.496030375
Lamason Prue	elected	17	4,518.447597184	1,996.508606496	4,116.311424189	0.862663777
Austin Katy	elected	17	4,126.496332568	1,996.508606496	4,116.311424189	0.938989654
Bridson Lisa	elected	17	4,118.199554265	1,996.508606496	4,116.311424189	0.944536453
Terris John	elected	19	4,091.766246528	2,246.319630431	4,085.085046197	0.988485066
Ogden David	elected	21	4,111.647178682	2,338.623343962	4,073.547082005	1.000000000
Alexander Jodie	excluded	21	3,889.610519081	2,338.623343962	4,073.547082005	0.000000000
Milne Chris	excluded	16	3,024.172150386	1,566.994420233	4,170.000697471	0.000000000
Greig Sandra Vanessa	excluded	14	2,550.931927517	1,282.082412722	4,205.614698410	0.000000000
Taylor Steve	excluded	12	1,965.223613046	884.360145666	4,255.329981792	0.000000000
Allen Kath	excluded	11	1,624.297478286	769.550053469	4,269.681243317	0.000000000
Swales Hellen	excluded	10	1,444.064811765	622.246274944	4,288.094215633	0.000000000
Futter Mark	excluded	8	1,346.759066401	520.773795075	4,300.778275616	0.000000000
Dobbs Leonie Margaret	excluded	5	1,107.474493553	447.420278786	4,309.947465152	0.000000000
Styles Roger	excluded	4	946.034458714	398.105401977	4,316.111824753	0.000000000
Hickson Bob	excluded	3	314.050519169	380.044302743	4,318.369462158	0.000000000
