ITER	CANDIDATE	VOTES
1	Raukawa-Tait Merepeka	3475.0
1	Morreau Johan	3418.0
1	Rankin Christine	2897.0
1	Vigor-Brown Rob	2169.0
1	Thurston Lyall	2155.0
1	Epp Desmond	1938.0
1	Bentley Maggie	1376.0
1	Horton Janine	1325.0
1	Gathergood Ailsa	1246.0
1	Burns Stuart	1105.0
1	Webber Chris	960.0
1	Abbott Caraline	879.0
1	Burdon Mary	807.0
1	Wepa Janet	728.0
1	Mihaka-Dyer Jeremy	543.0
1	Marks Peri W	522.0
1	Caudwell Suellyn	450.0
1	McKay Daniel	429.0
1	Storey Victor	380.0
1	Ross Marilyn	340.0
1	Whare-Beach Julie	325.0
1	Hedges Bill	260.0
1	Reed Karen	252.0
1	Hawker Kathy	232.0
1	Eagle Brian	185.0
1	Louis Frances	130.0
2	Raukawa-Tait Merepeka	3501.0
2	Morreau Johan	3422.0
2	Rankin Christine	2904.0
2	Vigor-Brown Rob	2174.0
2	Thurston Lyall	2158.0
2	Epp Desmond	1943.0
2	Bentley Maggie	1379.0
2	Horton Janine	1329.0
2	Gathergood Ailsa	1246.0
2	Burns Stuart	1108.0
2	Webber Chris	965.0
2	Abbott Caraline	880.0
2	Burdon Mary	808.0
2	Wepa Janet	734.0
2	Mihaka-Dyer Jeremy	551.0
2	Marks Peri W	527.0
2	Caudwell Suellyn	452.0
2	McKay Daniel	433.0
2	Storey Victor	381.0
2	Ross Marilyn	342.0
2	Whare-Beach Julie	334.0
2	Hedges Bill	268.0
2	Reed Karen	255.0
2	Hawker Kathy	235.0
2	Eagle Brian	186.0
2	Louis Frances	0.0
3	Raukawa-Tait Merepeka	3508.0
3	Morreau Johan	3438.0
3	Rankin Christine	2913.0
3	Vigor-Brown Rob	2181.0
3	Thurston Lyall	2170.0
3	Epp Desmond	1962.0
3	Bentley Maggie	1393.0
3	Horton Janine	1340.0
3	Gathergood Ailsa	1251.0
3	Burns Stuart	1122.0
3	Webber Chris	972.0
3	Abbott Caraline	884.0
3	Burdon Mary	816.0
3	Wepa Janet	737.0
3	Mihaka-Dyer Jeremy	552.0
3	Marks Peri W	530.0
3	Caudwell Suellyn	460.0
3	McKay Daniel	440.0
3	Storey Victor	387.0
3	Ross Marilyn	347.0
3	Whare-Beach Julie	337.0
3	Hedges Bill	269.0
3	Reed Karen	260.0
