CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Raukawa-Tait Merepeka	elected	6	3558.0	80.0	3555.750000001	0.571460654
Morreau Johan	elected	9	3550.58211508	154.076986576	3546.4903766790007	0.60137017
Rankin Christine	elected	21	3477.0808033199996	820.125015474	3463.234373066	0.693419467
Vigor-Brown Rob	elected	30	3641.5295193810002	2377.4707526270004	3268.566155922	0.80362504
Thurston Lyall	elected	30	3340.4937539580005	2377.4707526270004	3268.566155922	0.873242782
Epp Desmond	elected	32	3302.155086456	2898.5737555720007	3203.4282805539997	0.951377429
Horton Janine	elected	34	3186.406741861	3134.8808051219994	3173.8898993599996	1.0
Bentley Maggie	excluded	34	2891.0650028740006	3134.8808051219994	3173.8898993599996	0.0
Gathergood Ailsa	excluded	29	1953.1562852959999	1924.9595610160002	3325.1300548740005	0.0
Webber Chris	excluded	27	1693.285311592	1280.1842245139994	3405.7269719359997	0.0
Burns Stuart	excluded	25	1576.1849989189996	1093.058987908	3429.1176265120002	0.0
Abbott Caraline	excluded	22	1152.366915862	879.524378113	3455.8094527360004	0.0
Wepa Janet	excluded	20	1074.0376561670003	662.7836992410001	3482.9020375950004	0.0
Burdon Mary	excluded	18	931.235285021	603.4404437949999	3490.319944526	0.0
Mihaka-Dyer Jeremy	excluded	16	682.285414725	404.95362377199996	3515.130797029	0.0
Marks Peri W	excluded	15	615.455011071	308.09943368300003	3527.23757079	0.0
Caudwell Suellyn	excluded	13	527.9656023439999	260.94358599599997	3533.132051751	0.0
McKay Daniel	excluded	12	478.26954475499997	193.888172791	3541.5139784020002	0.0
Storey Victor	excluded	10	453.2700186459999	157.220239196	3546.097470101	0.0
Ross Marilyn	excluded	8	388.504740565	121.84203876999999	3550.519745154	0.0
Whare-Beach Julie	excluded	6	348.0	80.0	3555.750000001	0.0
Hedges Bill	excluded	5	287.0	58.0	3558.500000001	0.0
Reed Karen	excluded	4	265.0	39.0	3560.8750000010004	0.0
Hawker Kathy	excluded	3	236.0	21.0	3563.125000001	0.0
Eagle Brian	excluded	2	186.0	11.0	3564.3750000010004	0.0
Louis Frances	excluded	1	130.0	0.0	3565.750000001	0.0
