ITER	CANDIDATE	VOTES
1	Arbuckle Jamie	2,047.000000000
1	Andrews Jenny	1,640.000000000
1	Dawson Brian	1,159.000000000
1	Peters Mark	1,053.000000000
1	Sloan Terry	1,051.000000000
1	Shenfield Laressa	758.000000000
1	Straker Alan	564.000000000
1	Fitzpatrick Michael	553.000000000
1	Dawson Cyril	491.000000000
1	Hildyard Gary	347.000000000
1	Cuddon Priscilla	277.000000000
1	Ryan Diane	126.000000000
1	Chapman Peter	124.000000000
1	Hill Graham	83.000000000
1	Leggett John	0.000000000
2	Andrews Jenny	1,372.251381780
2	Arbuckle Jamie	1,328.230028163
2	Dawson Brian	1,270.503440194
2	Sloan Terry	1,156.066931330
2	Peters Mark	1,142.551282238
2	Shenfield Laressa	947.213078877
2	Fitzpatrick Michael	651.607633640
2	Straker Alan	641.475529998
2	Dawson Cyril	570.434411903
2	Hildyard Gary	391.301196422
2	Cuddon Priscilla	354.948518793
2	Chapman Peter	155.016448921
2	Ryan Diane	145.751164385
2	Hill Graham	97.489979760
2	Leggett John	0.000000000
3	Arbuckle Jamie	1,288.611688924
3	Dawson Brian	1,286.510206970
3	Andrews Jenny	1,283.319153442
3	Sloan Terry	1,174.540368620
3	Peters Mark	1,155.483746997
3	Shenfield Laressa	967.192283500
3	Fitzpatrick Michael	664.252706737
3	Straker Alan	651.905043998
3	Dawson Cyril	577.836230537
3	Hildyard Gary	397.488459978
3	Cuddon Priscilla	366.238669551
3	Chapman Peter	158.570681072
3	Ryan Diane	148.619024715
3	Hill Graham	98.884256091
3	Leggett John	0.000000000
4	Andrews Jenny	1,286.952040325
4	Arbuckle Jamie	1,286.790808695
4	Dawson Brian	1,284.006998327
4	Sloan Terry	1,183.097077343
4	Peters Mark	1,175.782824862
4	Shenfield Laressa	981.434474846
4	Fitzpatrick Michael	671.876441258
4	Straker Alan	659.009944954
4	Dawson Cyril	585.276590137
4	Hildyard Gary	409.861993539
4	Cuddon Priscilla	371.790595548
4	Chapman Peter	164.134250556
4	Ryan Diane	153.454525781
4	Hill Graham	0.000000000
4	Leggett John	0.000000000
5	Dawson Brian	1,278.842825190
5	Arbuckle Jamie	1,278.636945278
5	Andrews Jenny	1,278.607382736
5	Sloan Terry	1,186.350378329
5	Peters Mark	1,178.223332216
5	Shenfield Laressa	985.530256444
5	Fitzpatrick Michael	674.596122360
5	Straker Alan	660.856377637
5	Dawson Cyril	586.883966766
5	Hildyard Gary	411.026253091
5	Cuddon Priscilla	373.747491438
5	Chapman Peter	164.905706568
5	Ryan Diane	154.084229977
5	Hill Graham	0.000000000
5	Leggett John	0.000000000
6	Andrews Jenny	1,291.065496146
6	Dawson Brian	1,288.438002957
6	Arbuckle Jamie	1,287.214455398
6	Sloan Terry	1,200.031515349
6	Peters Mark	1,194.039119171
6	Shenfield Laressa	1,013.583934930
6	Fitzpatrick Michael	680.412363123
6	Straker Alan	667.129377309
6	Dawson Cyril	595.822512706
6	Hildyard Gary	421.942382864
6	Cuddon Priscilla	395.638461170
6	Chapman Peter	171.069299011
6	Hill Graham	0.000000000
6	Leggett John	0.000000000
6	Ryan Diane	0.000000000
7	Arbuckle Jamie	1,296.176564289
7	Dawson Brian	1,295.622986925
7	Andrews Jenny	1,290.604177243
7	Sloan Terry	1,214.994491782
7	Peters Mark	1,201.299639881
7	Shenfield Laressa	1,041.023204963
7	Fitzpatrick Michael	699.957861321
7	Straker Alan	681.327511465
7	Dawson Cyril	626.187277239
7	Hildyard Gary	431.860164368
7	Cuddon Priscilla	412.441736589
7	Chapman Peter	0.000000000
7	Hill Graham	0.000000000
7	Leggett John	0.000000000
7	Ryan Diane	0.000000000
8	Andrews Jenny	1,278.840061166
8	Arbuckle Jamie	1,278.165330737
8	Dawson Brian	1,278.115611077
8	Sloan Terry	1,222.145063979
8	Peters Mark	1,206.833751909
8	Shenfield Laressa	1,050.728245507
8	Fitzpatrick Michael	706.359861471
8	Straker Alan	685.456018994
8	Dawson Cyril	630.302870607
8	Hildyard Gary	434.587399743
8	Cuddon Priscilla	416.975675618
8	Chapman Peter	0.000000000
8	Hill Graham	0.000000000
8	Leggett John	0.000000000
