CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Arbuckle Jamie	elected	1	2,047.000000000	51.000000000	1,284.125000001	0.446563188
Andrews Jenny	elected	1	1,640.000000000	51.000000000	1,284.125000001	0.535815618
Dawson Brian	elected	3	1,286.510206970	104.547478868	1,277.431565142	0.742204937
Sloan Terry	elected	10	1,330.811413685	204.377442835	1,264.952819646	0.774519159
Peters Mark	elected	10	1,314.233404741	204.377442835	1,264.952819646	0.788602210
Shenfield Laressa	elected	12	1,262.767997720	230.266112165	1,261.716735980	0.797034688
Fitzpatrick Michael	elected	17	1,251.650783898	468.350001359	1,231.956249831	1.000000000
Straker Alan	excluded	17	1,109.843221683	468.350001359	1,231.956249831	0.000000000
Dawson Cyril	excluded	12	723.477094576	230.266112165	1,261.716735980	0.000000000
Hildyard Gary	excluded	9	452.540853980	166.225270713	1,269.721841161	0.000000000
Cuddon Priscilla	excluded	8	416.975675618	135.490109192	1,273.563736352	0.000000000
Chapman Peter	excluded	6	171.069299011	117.613079866	1,275.798365017	0.000000000
Ryan Diane	excluded	5	154.084229977	111.708731970	1,276.536408504	0.000000000
Hill Graham	excluded	3	98.884256091	104.547478868	1,277.431565142	0.000000000
Leggett John	excluded	1	0.000000000	51.000000000	1,284.125000001	0.000000000
