ITER	CANDIDATE	VOTES
1	Taylor Nadine	1,120.000000000
1	Oddie David	792.000000000
1	Hook Trevor	496.000000000
1	O'sullivan Pat	396.000000000
1	Etheredge Laurence	340.000000000
2	Oddie David	869.163379903
2	Taylor Nadine	787.637500972
2	Hook Trevor	576.542897098
2	O'sullivan Pat	454.412459125
2	Etheredge Laurence	404.099390903
3	Taylor Nadine	796.263949292
3	Oddie David	776.206378805
3	Hook Trevor	615.335185065
3	O'sullivan Pat	469.502729817
3	Etheredge Laurence	419.780442741
4	Oddie David	862.875274886
4	Taylor Nadine	857.066485112
4	Hook Trevor	737.088434311
4	O'sullivan Pat	551.448031097
4	Etheredge Laurence	0.000000000
5	Hook Trevor	817.320539457
5	Taylor Nadine	776.768405984
5	Oddie David	775.227181758
5	O'sullivan Pat	595.859895490
5	Etheredge Laurence	0.000000000
