ITER	CANDIDATE	VOTES
1	Brooks Cynthia	1,327.000000000
1	King Colin	891.000000000
1	Evans Geoff	877.000000000
1	Hope Gerald	781.000000000
1	Crawford Tim	675.000000000
2	Brooks Cynthia	1,137.750001160
2	Evans Geoff	929.767520400
2	King Colin	915.101921480
2	Hope Gerald	836.334588960
2	Crawford Tim	717.214016320
3	Brooks Cynthia	1,323.761173984
3	Evans Geoff	1,079.740320576
3	Hope Gerald	1,045.518464480
3	King Colin	1,006.752794976
3	Crawford Tim	0.000000000
4	Evans Geoff	1,149.363589710
4	Hope Gerald	1,126.113493925
4	Brooks Cynthia	1,113.943189765
4	King Colin	1,039.126260585
4	Crawford Tim	0.000000000
