ITER	CANDIDATE	VOTES
1	Black Jenny	8181.0
1	Vallance Stephen	4869.0
1	Black Jenny	4671.0
1	Hope Gerald	4440.0
1	Panting Allan	4211.0
1	Forrest Brigid	4139.0
1	Bouillir Martine	3409.0
1	Heaphy Pat	2683.0
1	Crowe Judy	2678.0
1	Byers Robyn	2655.0
1	Fulton Kate	2299.0
1	Dahlberg Bill	1931.0
1	Rosanowski Paul	763.0
1	Tyrrell Charles	654.0
1	Lee Stephen	619.0
2	Black Jenny	6025.250002014
2	Black Jenny	5096.0366393780005
2	Vallance Stephen	4950.423633954
2	Hope Gerald	4601.266226472002
2	Panting Allan	4491.107841078
2	Forrest Brigid	4234.125993066001
2	Bouillir Martine	3521.253941956
2	Crowe Judy	2891.4405938600003
2	Byers Robyn	2843.934451602
2	Heaphy Pat	2825.820743052
2	Fulton Kate	2428.11838394
2	Dahlberg Bill	2090.9486919419996
2	Rosanowski Paul	800.417980652
2	Tyrrell Charles	689.0464184979999
2	Lee Stephen	639.5535386680001
3	Black Jenny	6045.508092009999
3	Black Jenny	5146.3406897
3	Vallance Stephen	5004.357249850001
3	Hope Gerald	4654.33286399
3	Panting Allan	4549.150023300001
3	Forrest Brigid	4260.9116902999995
3	Bouillir Martine	3563.377018840001
3	Crowe Judy	2936.25810199
3	Byers Robyn	2882.3247353700003
3	Heaphy Pat	2856.0736568800007
3	Fulton Kate	2499.3130950000004
3	Dahlberg Bill	2117.4219759000002
3	Rosanowski Paul	816.16467612
3	Tyrrell Charles	725.0476665999998
3	Lee Stephen	0.0
4	Black Jenny	6050.1839112
4	Black Jenny	5190.80880608
4	Vallance Stephen	5101.8694818
4	Hope Gerald	4725.352934400002
4	Panting Allan	4665.231606
4	Forrest Brigid	4289.18014312
4	Bouillir Martine	3584.22334094
4	Crowe Judy	2984.48252786
4	Heaphy Pat	2932.8483395000003
4	Byers Robyn	2922.2830803999996
4	Fulton Kate	2546.15164898
4	Dahlberg Bill	2175.54503002
4	Rosanowski Paul	840.20312338
4	Lee Stephen	0.0
4	Tyrrell Charles	0.0
5	Black Jenny	6066.274253129999
5	Black Jenny	5242.268024915001
5	Vallance Stephen	5157.681201544001
5	Hope Gerald	4809.307209966
5	Panting Allan	4750.117681834
5	Forrest Brigid	4316.864935431001
5	Bouillir Martine	3612.4066950519996
5	Heaphy Pat	3034.5178108550003
5	Crowe Judy	3032.326823605
5	Byers Robyn	2978.8032185050006
5	Fulton Kate	2608.8017593870004
5	Dahlberg Bill	2277.307209966
5	Lee Stephen	0.0
5	Rosanowski Paul	0.0
5	Tyrrell Charles	0.0
6	Black Jenny	6204.671575128
6	Black Jenny	5382.202641324
6	Vallance Stephen	5252.247752705998
6	Hope Gerald	5077.459059335999
6	Panting Allan	5069.585325122
6	Forrest Brigid	4412.6112418560015
6	Bouillir Martine	3724.15056317
6	Heaphy Pat	3338.222807582
6	Crowe Judy	3246.7435819879997
6	Byers Robyn	3173.81647414
6	Fulton Kate	2824.4654575520003
6	Dahlberg Bill	0.0
6	Lee Stephen	0.0
6	Rosanowski Paul	0.0
6	Tyrrell Charles	0.0
7	Black Jenny	6212.772724428
7	Black Jenny	5631.755539716
7	Vallance Stephen	5439.696205464002
7	Hope Gerald	5389.403313199999
7	Panting Allan	5358.622685992001
7	Forrest Brigid	4665.650569916001
7	Bouillir Martine	3963.033405924
7	Crowe Judy	3595.8079537520002
7	Heaphy Pat	3561.012300488
7	Byers Robyn	3487.0422817359995
7	Dahlberg Bill	0.0
7	Fulton Kate	0.0
7	Lee Stephen	0.0
7	Rosanowski Paul	0.0
7	Tyrrell Charles	0.0
8	Black Jenny	5913.099629934
8	Black Jenny	5693.652836698001
8	Vallance Stephen	5453.554304092
8	Hope Gerald	5419.241324600001
8	Panting Allan	5406.827651076001
8	Forrest Brigid	4682.790849798
8	Bouillir Martine	3981.6987397219996
8	Crowe Judy	3631.414647356
8	Heaphy Pat	3587.733897364
8	Byers Robyn	3519.598867508
8	Dahlberg Bill	0.0
8	Fulton Kate	0.0
8	Lee Stephen	0.0
8	Rosanowski Paul	0.0
8	Tyrrell Charles	0.0
9	Black Jenny	6213.334034823
9	Panting Allan	5981.216025471002
9	Black Jenny	5979.680094894
9	Hope Gerald	5746.951226142
9	Vallance Stephen	5658.058063929
9	Forrest Brigid	4963.842563590001
9	Crowe Judy	4203.951834397
9	Bouillir Martine	4170.845687988
9	Heaphy Pat	3962.3447340440002
9	Byers Robyn	0.0
9	Dahlberg Bill	0.0
9	Fulton Kate	0.0
9	Lee Stephen	0.0
9	Rosanowski Paul	0.0
9	Tyrrell Charles	0.0
10	Black Jenny	5942.7821305140005
10	Panting Allan	5932.0252140520015
10	Black Jenny	5886.743848059999
10	Hope Gerald	5825.088941295
10	Vallance Stephen	5720.394280161001
10	Forrest Brigid	5021.717883053
10	Crowe Judy	4277.1222319550025
10	Bouillir Martine	4209.278427940999
10	Heaphy Pat	4022.3744481289996
10	Byers Robyn	0.0
10	Dahlberg Bill	0.0
10	Fulton Kate	0.0
10	Lee Stephen	0.0
10	Rosanowski Paul	0.0
10	Tyrrell Charles	0.0
11	Black Jenny	5872.700831702
11	Panting Allan	5866.942517215999
11	Black Jenny	5866.913814742999
11	Hope Gerald	5855.491167879
11	Vallance Stephen	5752.0516777190005
11	Forrest Brigid	5047.273965813999
11	Crowe Judy	4297.18557012
11	Bouillir Martine	4221.524881226
11	Heaphy Pat	4041.4157110110004
11	Byers Robyn	0.0
11	Dahlberg Bill	0.0
11	Fulton Kate	0.0
11	Lee Stephen	0.0
11	Rosanowski Paul	0.0
11	Tyrrell Charles	0.0
12	Panting Allan	6652.895606005001
12	Hope Gerald	6522.120760734
12	Black Jenny	6288.431946063
12	Black Jenny	6136.552142743
12	Vallance Stephen	5985.1130943319995
12	Forrest Brigid	5280.826327659001
12	Crowe Judy	4831.388737017
12	Bouillir Martine	4397.286652385
12	Byers Robyn	0.0
12	Dahlberg Bill	0.0
12	Fulton Kate	0.0
12	Heaphy Pat	0.0
12	Lee Stephen	0.0
12	Rosanowski Paul	0.0
12	Tyrrell Charles	0.0
13	Vallance Stephen	6163.5268497960005
13	Black Jenny	6112.571732975999
13	Hope Gerald	6077.481635102
13	Panting Allan	6021.332189375001
13	Black Jenny	5967.7105674780005
13	Forrest Brigid	5654.812053548
13	Crowe Judy	5147.975063309999
13	Bouillir Martine	4564.579782976999
13	Byers Robyn	0.0
13	Dahlberg Bill	0.0
13	Fulton Kate	0.0
13	Heaphy Pat	0.0
13	Lee Stephen	0.0
13	Rosanowski Paul	0.0
13	Tyrrell Charles	0.0
14	Forrest Brigid	5991.456534856001
14	Hope Gerald	5926.21969185
14	Black Jenny	5921.932426436
14	Vallance Stephen	5904.914735081999
14	Panting Allan	5895.506012747
14	Black Jenny	5829.665472567001
14	Crowe Judy	5335.279169337
14	Bouillir Martine	4672.655855223999
14	Byers Robyn	0.0
14	Dahlberg Bill	0.0
14	Fulton Kate	0.0
14	Heaphy Pat	0.0
14	Lee Stephen	0.0
14	Rosanowski Paul	0.0
14	Tyrrell Charles	0.0
15	Vallance Stephen	5886.655602494001
15	Forrest Brigid	5872.147284661001
15	Black Jenny	5866.022190407001
15	Hope Gerald	5864.642938691001
15	Panting Allan	5807.605545155001
15	Black Jenny	5767.950865885
15	Crowe Judy	5473.80438346
15	Bouillir Martine	4750.6124764800015
15	Byers Robyn	0.0
