CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Black Jenny	elected	1	8181.0	0.0	6025.250000001	0.505558817
Panting Allan	elected	9	5981.216025471002	1321.7757347220002	5860.028033160001	0.729390422
Black Jenny	elected	9	5979.680094894	1321.7757347220002	5860.028033160001	0.761190492
Hope Gerald	elected	11	5855.491167879	1380.49986257	5852.687517179	0.747414382
Vallance Stephen	elected	12	5985.1130943319995	2107.384733062	5761.826908368001	0.802405403
Forrest Brigid	elected	14	5991.456534856001	2724.3701019010005	5684.703737262999	0.885981433
Crowe Judy	elected	17	5678.417596611999	3204.186865759999	5624.7266417810015	1.0
Bouillir Martine	excluded	17	4867.6767452859995	3204.186865759999	5624.7266417810015	0.0
Heaphy Pat	excluded	11	4041.4157110110004	1380.49986257	5852.687517179	0.0
Byers Robyn	excluded	8	3519.598867508	912.3872518519998	5911.201593519	0.0
Fulton Kate	excluded	6	2824.4654575520003	495.823520096	5963.272059989	0.0
Dahlberg Bill	excluded	5	2277.307209966	315.32317580999995	5985.834603024	0.0
Rosanowski Paul	excluded	4	840.20312338	193.63602632	6001.045496711	0.0
Tyrrell Charles	excluded	3	725.0476665999998	145.41846415	6007.072691982	0.0
Lee Stephen	excluded	2	639.5535386680001	73.25491986800002	6016.093135017	0.0
