ITER	CANDIDATE	VOTES
1	Ford Izzy	1605.0
1	Burke John	1596.0
1	Smith Henry	1569.0
1	Ah Hoi Litea	1072.0
1	Leary Wendy	866.0
1	Seveali'i-Siolo Benna	643.0
2	Smith Henry	1523.4724822969997
2	Ford Izzy	1515.2581851490002
2	Burke John	1509.3718395559997
2	Ah Hoi Litea	1142.914439461
2	Leary Wendy	919.5124458119999
2	Seveali'i-Siolo Benna	680.5030420770001
3	Ford Izzy	1606.1442937179997
3	Smith Henry	1591.5801248259997
3	Burke John	1535.552251178
3	Ah Hoi Litea	1306.0583088409999
3	Leary Wendy	1087.1181838189998
3	Seveali'i-Siolo Benna	0.0
4	Smith Henry	1485.0082462799999
4	Burke John	1482.8948593559999
4	Ford Izzy	1477.0985241610001
4	Ah Hoi Litea	1418.4335440329999
4	Leary Wendy	1173.844483463
4	Seveali'i-Siolo Benna	0.0
