ITER	CANDIDATE	VOTES
1	Murrell Euon	3859.0
1	Tana Mike	3550.0
1	Duncan Mike	2727.0
1	Kelly Liz	2624.0
1	Watt David	770.0
1	Marshall Gordon	342.0
2	Murrell Euon	3903.0
2	Tana Mike	3609.0
2	Duncan Mike	2794.0
2	Kelly Liz	2676.0
2	Watt David	823.0
2	Marshall Gordon	0.0
3	Murrell Euon	4020.0
3	Tana Mike	3789.0
3	Duncan Mike	3029.0
3	Kelly Liz	2800.0
3	Marshall Gordon	0.0
3	Watt David	0.0
4	Murrell Euon	4653.0
4	Tana Mike	4564.0
4	Duncan Mike	3647.0
4	Kelly Liz	0.0
4	Marshall Gordon	0.0
4	Watt David	0.0
5	Tana Mike	5887.0
5	Murrell Euon	5723.0
5	Duncan Mike	0.0
5	Kelly Liz	0.0
5	Marshall Gordon	0.0
5	Watt David	0.0
