ITER	CANDIDATE	VOTES
1	Ford Izzy	1033.0
1	Burke John	575.0
1	Latham Denys	379.0
1	Seiuli Faafoi	361.0
1	Wihapi Kylie	335.0
1	Seveali'i-Siolo Benna	252.0
1	Taurima Willie	242.0
1	Watt David	220.0
1	Cheer Morris	219.0
1	Gregory Martin	173.0
1	Mac Ewan Paula	121.0
1	Kanavatoa Lorna	91.0
1	Goulter Jevan	73.0
1	Nimarota Sala	73.0
2	Ford Izzy	829.4000003790001
2	Burke John	603.7759922020001
2	Latham Denys	404.228267136
2	Seiuli Faafoi	394.30919645299997
2	Wihapi Kylie	355.300871211
2	Seveali'i-Siolo Benna	269.93572116699994
2	Taurima Willie	254.417037731
2	Watt David	228.869312665
2	Cheer Morris	223.139012577
2	Gregory Martin	178.321587599
2	Mac Ewan Paula	132.82575021999997
2	Kanavatoa Lorna	96.321587599
2	Nimarota Sala	82.26350433900001
2	Goulter Jevan	78.715779273
3	Ford Izzy	833.5644177839998
3	Burke John	612.0051222
3	Latham Denys	405.204473388
3	Seiuli Faafoi	403.40587345599994
3	Wihapi Kylie	368.60368798400003
3	Seveali'i-Siolo Benna	272.80320991199994
3	Taurima Willie	257.00221962
3	Watt David	233.801673252
3	Cheer Morris	226.40075125599998
3	Gregory Martin	194.201058588
3	Mac Ewan Paula	134.60215132399998
3	Kanavatoa Lorna	101.20105858800001
3	Nimarota Sala	86.801673252
3	Goulter Jevan	0.0
4	Ford Izzy	837.0162810239999
4	Burke John	619.3498675760001
4	Seiuli Faafoi	420.19310879399995
4	Latham Denys	409.78770676399995
4	Wihapi Kylie	381.262400682
4	Seveali'i-Siolo Benna	283.56657838399997
4	Taurima Willie	262.893853382
4	Watt David	236.78328919199998
4	Cheer Morris	227.76953175799997
4	Gregory Martin	198.42849932600004
4	Mac Ewan Paula	143.686482436
4	Kanavatoa Lorna	103.050612164
4	Goulter Jevan	0.0
4	Nimarota Sala	0.0
5	Ford Izzy	837.2539706400001
5	Burke John	632.8177412949999
5	Seiuli Faafoi	433.70100347499994
5	Latham Denys	421.8761102049999
5	Wihapi Kylie	395.37243812500003
5	Seveali'i-Siolo Benna	289.77386852
5	Taurima Willie	274.6424423800001
5	Watt David	241.04387277499995
5	Cheer Morris	231.69346713
5	Gregory Martin	211.66428267499998
5	Mac Ewan Paula	151.547544855
5	Goulter Jevan	0.0
5	Kanavatoa Lorna	0.0
5	Nimarota Sala	0.0
6	Ford Izzy	847.344811574
6	Burke John	644.746544836
6	Seiuli Faafoi	455.29667366699994
6	Latham Denys	438.58702270199996
6	Wihapi Kylie	428.4315998869999
6	Seveali'i-Siolo Benna	297.11255561900003
6	Taurima Willie	286.180018729
6	Watt David	245.17182009099997
6	Cheer Morris	242.93253689000002
6	Gregory Martin	220.167720772
6	Goulter Jevan	0.0
6	Kanavatoa Lorna	0.0
6	Mac Ewan Paula	0.0
6	Nimarota Sala	0.0
7	Ford Izzy	821.19426121
7	Burke John	648.82811894
7	Seiuli Faafoi	460.256260805
7	Latham Denys	442.24145533
7	Wihapi Kylie	431.967382105
7	Seveali'i-Siolo Benna	299.794054885
7	Taurima Willie	288.14961553500007
7	Watt David	246.524434765
7	Cheer Morris	243.64443935000003
7	Gregory Martin	221.21184438
7	Goulter Jevan	0.0
7	Kanavatoa Lorna	0.0
7	Mac Ewan Paula	0.0
7	Nimarota Sala	0.0
8	Ford Izzy	843.1061774760001
8	Burke John	675.405940918
8	Seiuli Faafoi	483.37982286900007
8	Wihapi Kylie	467.59866879099997
8	Latham Denys	458.853875348
8	Taurima Willie	310.47900324399995
8	Seveali'i-Siolo Benna	308.390406511
8	Watt David	271.82280653400005
8	Cheer Morris	261.677022938
8	Goulter Jevan	0.0
8	Gregory Martin	0.0
8	Kanavatoa Lorna	0.0
8	Mac Ewan Paula	0.0
8	Nimarota Sala	0.0
9	Ford Izzy	816.142745724
9	Burke John	679.5504966819999
9	Seiuli Faafoi	488.548607931
9	Wihapi Kylie	471.4812124089999
9	Latham Denys	462.7602382519999
