CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Ford Izzy	elected	1	1033.0	0.0	829.400000001	0.552639849
Burke John	elected	13	804.3653296339999	153.193576738	798.761284653	0.859602443
Seiuli Faafoi	elected	15	780.8046356809999	312.2825703	766.943485941	0.982247609
Wihapi Kylie	elected	16	774.109302174	347.686819639	759.862636073	1.0
Latham Denys	excluded	16	663.8504304549999	347.686819639	759.862636073	0.0
Taurima Willie	excluded	14	433.576935093	217.9737564	785.805248721	0.0
Seveali'i-Siolo Benna	excluded	13	343.07567398699996	153.193576738	798.761284653	0.0
Watt David	excluded	11	312.33964962000005	100.00060832	809.399878337	0.0
Cheer Morris	excluded	9	262.4868786619999	68.739661829	815.652067635	0.0
Gregory Martin	excluded	7	221.21184438	43.188132695	820.762373462	0.0
Mac Ewan Paula	excluded	5	151.547544855	25.613257925	824.277348416	0.0
Kanavatoa Lorna	excluded	4	103.050612164	23.211788518	824.757642297	0.0
Nimarota Sala	excluded	3	86.801673252	17.402629396	825.919474121	0.0
Goulter Jevan	excluded	2	78.715779273	15.176379449	826.364724111	0.0
