ITER	CANDIDATE	VOTES
1	Baker Anita	1801.0
1	Williams Dale	762.0
1	Leggett Ross	683.0
1	Wakem Beverley	626.0
1	Wellum Andrew	480.0
1	Waddle Nathan	475.0
1	Collins Brian	411.0
1	Martin Keryn	411.0
1	McEwen Barry	349.0
1	Dyer Phil	328.0
1	Piper Sarah	294.0
1	Casagranda Don	197.0
1	Khan Dianne	148.0
2	Baker Anita	1393.0000011900001
2	Williams Dale	793.7157134
2	Leggett Ross	744.61910032
2	Wakem Beverley	673.12048848
2	Waddle Nathan	528.9167127799999
2	Wellum Andrew	487.9289283499999
2	Martin Keryn	432.97445856999997
2	Collins Brian	430.9355912799999
2	Dyer Phil	371.49583551999996
2	McEwen Barry	367.57634641999994
2	Piper Sarah	320.73181557999993
2	Casagranda Don	230.98112150000003
2	Khan Dianne	160.45974455
3	Baker Anita	1403.4672503600002
3	Williams Dale	823.07832928
3	Leggett Ross	758.4675266999998
3	Wakem Beverley	685.76604702
3	Waddle Nathan	536.5899700400001
3	Wellum Andrew	488.4992929399999
3	Martin Keryn	453.88990448
3	Collins Brian	437.6739558
3	Dyer Phil	379.7935708999999
3	McEwen Barry	377.75511331999996
3	Piper Sarah	342.78122307999996
3	Casagranda Don	237.91601423999998
3	Khan Dianne	0.0
4	Baker Anita	1414.784536903
4	Williams Dale	842.843044074
4	Leggett Ross	798.4872287629998
4	Wakem Beverley	712.2236536190001
4	Waddle Nathan	548.902056758
4	Wellum Andrew	491.83064695699994
4	Collins Brian	469.3339939779999
4	Martin Keryn	469.3339939779999
4	Dyer Phil	416.18844420199997
4	McEwen Barry	388.4976439459999
4	Piper Sarah	360.00669404199994
4	Casagranda Don	0.0
4	Khan Dianne	0.0
5	Baker Anita	1382.486388738
5	Williams Dale	845.6545970039999
5	Leggett Ross	804.023558298
5	Wakem Beverley	716.510404074
5	Waddle Nathan	553.310294068
5	Wellum Andrew	492.542212822
5	Collins Brian	471.312494188
5	Martin Keryn	471.312494188
5	Dyer Phil	420.110734092
5	McEwen Barry	390.19845991599993
5	Piper Sarah	362.540562732
5	Casagranda Don	0.0
5	Khan Dianne	0.0
6	Baker Anita	1411.7049101359999
6	Williams Dale	863.7855579360001
6	Leggett Ross	844.79895108
6	Wakem Beverley	763.6130435040001
6	Waddle Nathan	637.157373088
6	Wellum Andrew	508.0972484079999
6	Martin Keryn	506.26219216799996
6	Collins Brian	480.14397994399997
6	Dyer Phil	441.19930072
6	McEwen Barry	412.79793251199993
6	Casagranda Don	0.0
6	Khan Dianne	0.0
