CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Baker Anita	elected	1	1801.0	0.0	1393.000000001	0.522116109
Leggett Ross	elected	15	1344.9168816800004	728.32308037	1247.335383927	0.927444217
Wakem Beverley	elected	16	1260.2706799480002	787.933011021	1235.413397796	1.0
Williams Dale	elected	16	1257.695658078	787.933011021	1235.413397796	1.0
Waddle Nathan	excluded	16	1114.3288595650001	787.933011021	1235.413397796	0.0
Wellum Andrew	excluded	14	895.9088583160001	428.69435815	1307.2611283709998	0.0
Martin Keryn	excluded	12	659.669844024	287.220847916	1335.555830417	0.0
Collins Brian	excluded	11	558.306046718	223.195106446	1348.360978711	0.0
Dyer Phil	excluded	9	489.08827386999997	162.60858841	1360.4782823189998	0.0
McEwen Barry	excluded	7	414.94502543199997	98.640269394	1373.271946122	0.0
Piper Sarah	excluded	5	362.540562732	54.99779988	1382.0004400249998	0.0
Casagranda Don	excluded	3	237.91601423999998	39.32180184	1385.135639633	0.0
Khan Dianne	excluded	2	160.45974455	28.54414206	1387.291171589	0.0
