ITER	CANDIDATE	VOTES
1	Coffey 'Ana	657.0
1	Duncan Mike	477.0
1	Smith Henry	448.0
1	Wineera-Parai Ranei	420.0
1	Fermanis T J	217.0
1	Pointon Jude	171.0
1	Ebbett Graeme	132.0
1	Wilson Chris	97.0
1	Dodson Zahi	48.0
1	Anslow Chantelle	42.0
2	Coffey 'Ana	667.0
2	Duncan Mike	481.0
2	Smith Henry	452.0
2	Wineera-Parai Ranei	427.0
2	Fermanis T J	223.0
2	Pointon Jude	175.0
2	Ebbett Graeme	134.0
2	Wilson Chris	97.0
2	Dodson Zahi	51.0
2	Anslow Chantelle	0.0
3	Coffey 'Ana	673.0
3	Duncan Mike	492.0
3	Smith Henry	455.0
3	Wineera-Parai Ranei	432.0
3	Fermanis T J	230.0
3	Pointon Jude	179.0
3	Ebbett Graeme	139.0
3	Wilson Chris	98.0
3	Anslow Chantelle	0.0
3	Dodson Zahi	0.0
4	Coffey 'Ana	695.0
4	Duncan Mike	508.0
4	Smith Henry	465.0
4	Wineera-Parai Ranei	446.0
4	Fermanis T J	233.0
4	Pointon Jude	198.0
4	Ebbett Graeme	146.0
4	Anslow Chantelle	0.0
4	Dodson Zahi	0.0
4	Wilson Chris	0.0
5	Coffey 'Ana	721.0
5	Duncan Mike	550.0
5	Smith Henry	479.0
5	Wineera-Parai Ranei	467.0
5	Fermanis T J	244.0
5	Pointon Jude	215.0
5	Anslow Chantelle	0.0
5	Dodson Zahi	0.0
5	Ebbett Graeme	0.0
5	Wilson Chris	0.0
6	Coffey 'Ana	792.0
6	Duncan Mike	584.0
6	Smith Henry	502.0
6	Wineera-Parai Ranei	495.0
6	Fermanis T J	265.0
6	Anslow Chantelle	0.0
6	Dodson Zahi	0.0
6	Ebbett Graeme	0.0
6	Pointon Jude	0.0
6	Wilson Chris	0.0
7	Coffey 'Ana	848.0
7	Duncan Mike	619.0
7	Wineera-Parai Ranei	567.0
7	Smith Henry	540.0
7	Anslow Chantelle	0.0
7	Dodson Zahi	0.0
7	Ebbett Graeme	0.0
7	Fermanis T J	0.0
7	Pointon Jude	0.0
7	Wilson Chris	0.0
8	Coffey 'Ana	1045.0
8	Duncan Mike	735.0
8	Wineera-Parai Ranei	668.0
8	Anslow Chantelle	0.0
8	Dodson Zahi	0.0
8	Ebbett Graeme	0.0
8	Fermanis T J	0.0
8	Pointon Jude	0.0
8	Smith Henry	0.0
8	Wilson Chris	0.0
9	Coffey 'Ana	816.000001025
9	Duncan Mike	806.4392341299999
9	Wineera-Parai Ranei	744.0411479849998
9	Anslow Chantelle	0.0
9	Dodson Zahi	0.0
9	Ebbett Graeme	0.0
9	Fermanis T J	0.0
9	Pointon Jude	0.0
9	Smith Henry	0.0
9	Wilson Chris	0.0
