CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Coffey 'Ana	elected	8	1045.0	261.0	816.000000001	0.780861245
Duncan Mike	elected	9	806.4392341299999	342.51961686	788.826794381	1.0
Wineera-Parai Ranei	excluded	9	744.0411479849998	342.51961686	788.826794381	0.0
Smith Henry	excluded	7	540.0	135.0	858.000000001	0.0
Fermanis T J	excluded	6	265.0	71.0	879.333333334	0.0
Pointon Jude	excluded	5	215.0	33.0	892.000000001	0.0
Ebbett Graeme	excluded	4	146.0	18.0	897.000000001	0.0
Wilson Chris	excluded	3	98.0	11.0	899.333333334	0.0
Dodson Zahi	excluded	2	51.0	2.0	902.333333334	0.0
Anslow Chantelle	excluded	1	42.0	0.0	903.000000001	0.0
