ITER	CANDIDATE	VOTES
1.0	FINDLAY LEW	2202.0
1.0	BARRETT BRENT	1808.0
1.0	UTIKERE TANGI	1681.0
1.0	BROAD ADRIAN	1229.0
1.0	DENNISON VAUGHAN	1053.0
1.0	MCCANN DUNCAN	1046.0
1.0	BUNDY-COOKE GABRIELLE	1036.0
1.0	NAYLOR KAREN	1022.0
1.0	RUTHERFORD ALEISHA	1012.0
1.0	HAPETA LEONIE	890.0
1.0	JEFFERIES JIM	876.0
1.0	BOWEN RACHEL	869.0
1.0	BATY SUSAN	823.0
1.0	PETRENAS BRUNO	709.0
1.0	MEEHAN BILLY	586.0
1.0	JOHNSON LORNA	495.0
1.0	SYMES ABI	436.0
1.0	BUTT ZULFIQAR	401.0
1.0	ETUALE JAMES	352.0
1.0	PUGMIRE SUE	344.0
1.0	EGAN MARTIN	316.0
1.0	CHISHOLM DAVID	264.0
1.0	HOERA SHERYLL	261.0
1.0	PAINE ELIZABETH	257.0
1.0	CLELAND DARRYL	252.0
1.0	POFF JOSEPH	210.0
1.0	MCLAUGHLIN TONY	162.0
1.0	EDWARDS GAVIN	91.0
2.0	UTIKERE TANGI	1374.406031076
2.0	BROAD ADRIAN	1360.363703327
2.0	BARRETT BRENT	1333.175416468
2.0	FINDLAY LEW	1323.611370771
2.0	DENNISON VAUGHAN	1139.766775585
2.0	BUNDY-COOKE GABRIELLE	1124.291108976
2.0	MCCANN DUNCAN	1111.393433318
2.0	NAYLOR KAREN	1109.692812992
2.0	RUTHERFORD ALEISHA	1108.385470293
2.0	JEFFERIES JIM	976.38489522
2.0	HAPETA LEONIE	963.611156006
2.0	BOWEN RACHEL	954.882012545
2.0	BATY SUSAN	940.232992855
2.0	PETRENAS BRUNO	776.858008374
2.0	MEEHAN BILLY	670.933893753
2.0	JOHNSON LORNA	564.817504382
2.0	SYMES ABI	486.716856805
2.0	BUTT ZULFIQAR	460.55590896
2.0	PUGMIRE SUE	429.582137208
2.0	ETUALE JAMES	388.997216066
2.0	EGAN MARTIN	350.44999381
2.0	HOERA SHERYLL	301.992492305
2.0	CHISHOLM DAVID	301.298583956
2.0	PAINE ELIZABETH	289.881079631
2.0	CLELAND DARRYL	278.536513793
2.0	POFF JOSEPH	225.935004348
2.0	MCLAUGHLIN TONY	170.69365158
2.0	EDWARDS GAVIN	98.799479659
3.0	FINDLAY LEW	1298.914130193
3.0	BROAD ADRIAN	1297.14573622
3.0	UTIKERE TANGI	1295.6249345
3.0	BARRETT BRENT	1294.335321797
3.0	DENNISON VAUGHAN	1152.819694324
3.0	BUNDY-COOKE GABRIELLE	1137.084088588
3.0	RUTHERFORD ALEISHA	1122.763786568
3.0	MCCANN DUNCAN	1120.42150908
3.0	NAYLOR KAREN	1119.521613548
3.0	JEFFERIES JIM	993.141726822
3.0	HAPETA LEONIE	976.33728376
3.0	BOWEN RACHEL	965.579369563
3.0	BATY SUSAN	957.295644319
3.0	PETRENAS BRUNO	785.842985763
3.0	MEEHAN BILLY	681.365625989
3.0	JOHNSON LORNA	572.842358749
3.0	SYMES ABI	493.832539795
3.0	BUTT ZULFIQAR	467.322984045
3.0	PUGMIRE SUE	438.48798479
3.0	ETUALE JAMES	395.00275924
3.0	EGAN MARTIN	353.868610465
3.0	HOERA SHERYLL	307.204645623
3.0	CHISHOLM DAVID	306.212631652
3.0	PAINE ELIZABETH	293.839103543
3.0	CLELAND DARRYL	281.891609152
3.0	POFF JOSEPH	227.819823436
3.0	MCLAUGHLIN TONY	172.281485741
3.0	EDWARDS GAVIN	99.549876864
4.0	FINDLAY LEW	1296.768677574
4.0	UTIKERE TANGI	1293.604691944
4.0	BARRETT BRENT	1292.420500163
4.0	BROAD ADRIAN	1291.910192441
4.0	DENNISON VAUGHAN	1154.805515591
4.0	BUNDY-COOKE GABRIELLE	1144.588801795
4.0	RUTHERFORD ALEISHA	1131.12016816
4.0	NAYLOR KAREN	1129.80824057
4.0	MCCANN DUNCAN	1122.155511015
4.0	JEFFERIES JIM	1003.931936449
4.0	HAPETA LEONIE	980.399750521
4.0	BOWEN RACHEL	971.056437148
4.0	BATY SUSAN	962.539942962
4.0	PETRENAS BRUNO	788.234048969
4.0	MEEHAN BILLY	686.252410376
4.0	JOHNSON LORNA	576.220838306
4.0	SYMES ABI	495.67718135
4.0	BUTT ZULFIQAR	469.04713877
4.0	PUGMIRE SUE	441.524041721
4.0	ETUALE JAMES	398.805069136
4.0	EGAN MARTIN	362.295196234
4.0	HOERA SHERYLL	310.929096178
4.0	CHISHOLM DAVID	308.224243643
4.0	PAINE ELIZABETH	297.224163169
4.0	CLELAND DARRYL	283.541096413
4.0	POFF JOSEPH	230.084654842
4.0	MCLAUGHLIN TONY	178.364563305
4.0	EDWARDS GAVIN	0.0
5.0	UTIKERE TANGI	1294.259472525
5.0	BROAD ADRIAN	1294.082021575
5.0	BARRETT BRENT	1293.828693792
5.0	FINDLAY LEW	1291.214418752
5.0	DENNISON VAUGHAN	1162.925545491
5.0	BUNDY-COOKE GABRIELLE	1161.857535792
5.0	NAYLOR KAREN	1145.2956902
5.0	RUTHERFORD ALEISHA	1143.200633099
5.0	MCCANN DUNCAN	1133.505062146
5.0	JEFFERIES JIM	1013.818575324
5.0	HAPETA LEONIE	991.664624488
5.0	BOWEN RACHEL	978.989447026
5.0	BATY SUSAN	968.678299763
5.0	PETRENAS BRUNO	800.681193449
5.0	MEEHAN BILLY	697.75048061
5.0	JOHNSON LORNA	580.045892328
5.0	SYMES ABI	501.671451148
5.0	BUTT ZULFIQAR	470.734990465
5.0	PUGMIRE SUE	446.497623461
5.0	ETUALE JAMES	403.24165518
5.0	EGAN MARTIN	368.030215809
5.0	HOERA SHERYLL	312.71533893
5.0	CHISHOLM DAVID	310.030570865
5.0	PAINE ELIZABETH	299.072705039
5.0	CLELAND DARRYL	291.975868303
