CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
FINDLAY LEW	elected	1.0	2202.0	0.0	1292.687500001	0.395127829
BARRETT BRENT	elected	1.0	1808.0	0.0	1292.687500001	0.464345229
UTIKERE TANGI	elected	1.0	1681.0	0.0	1292.687500001	0.439183494
BROAD ADRIAN	elected	2.0	1360.363703327	66.754495938	1288.515344004	0.632918267
RUTHERFORD ALEISHA	elected	21.0	1307.421456793	273.733426341	1275.579160854	0.63924314
NAYLOR KAREN	elected	21.0	1287.095899096	273.733426341	1275.579160854	0.685948153
BUNDY-COOKE GABRIELLE	elected	21.0	1284.54299644	273.733426341	1275.579160854	0.689658217
DENNISON VAUGHAN	elected	21.0	1282.574856784	273.733426341	1275.579160854	0.721737642
MCCANN DUNCAN	elected	24.0	1277.010836313	320.71029493	1272.643106567	0.762034644
BOWEN RACHEL	elected	30.0	1283.460262844	453.81423008	1264.324110621	0.743398791
JOHNSON LORNA	elected	32.0	1322.445464427	554.298711885	1258.043830508	0.820451418
HAPETA LEONIE	elected	32.0	1283.758896115	554.298711885	1258.043830508	0.783326723
JEFFERIES JIM	elected	32.0	1270.864610104	554.298711885	1258.043830508	0.809323515
BATY SUSAN	elected	33.0	1288.468856194	601.611817696	1255.086761395	0.821262168
PETRENAS BRUNO	elected	61.0	1236.844027343	897.723699271	1236.579768796	1.0
MEEHAN BILLY	excluded	61.0	1229.904344688	897.723699271	1236.579768796	0.0
BUTT ZULFIQAR	excluded	31.0	784.284323919	469.730971504	1263.329314282	0.0
SYMES ABI	excluded	28.0	687.590853984	353.083395473	1270.619787783	0.0
PUGMIRE SUE	excluded	23.0	558.06271542	288.127357751	1274.679540141	0.0
ETUALE JAMES	excluded	20.0	463.872480275	240.876370489	1277.632726845	0.0
EGAN MARTIN	excluded	18.0	433.022771311	194.19398995	1280.550375629	0.0
HOERA SHERYLL	excluded	16.0	369.645558429	178.525668536	1281.529645717	0.0
CHISHOLM DAVID	excluded	15.0	328.375612129	166.663578544	1282.271026342	0.0
PAINE ELIZABETH	excluded	11.0	315.099306456	123.300593212	1284.981212925	0.0
CLELAND DARRYL	excluded	8.0	303.394314813	107.446531826	1285.972091761	0.0
POFF JOSEPH	excluded	5.0	238.350168139	88.881826301	1287.132385857	0.0
MCLAUGHLIN TONY	excluded	4.0	178.364563305	81.465891255	1287.595881797	0.0
EDWARDS GAVIN	excluded	3.0	99.549876864	74.650135871	1288.021866509	0.0
