ITER	CANDIDATE	VOTES
1	Binns Peter	4422.0
1	Cleverley Murray	2400.0
1	Annear Paul	2310.0
1	Luxton Ron	2260.0
1	Kennedy Terry	1611.0
1	Crawford Rene	1018.0
1	Tomkinson Rachel	949.0
1	Paterson Joy	898.0
1	de Joux Raeleen	798.0
1	Jackson Rebecca	756.0
1	Roberts Murray	704.0
1	Foley Kevin	526.0
1	Jack Dave	483.0
1	O'Brien Greg	238.0
2	Annear Paul	2778.2017462950002
2	Cleverley Murray	2655.588392905
2	Luxton Ron	2537.7544659179994
2	Binns Peter	2421.625002786
2	Kennedy Terry	1880.1594580149997
2	Crawford Rene	1158.686708307
2	Tomkinson Rachel	1009.617424158
2	Paterson Joy	928.3087120790001
2	de Joux Raeleen	894.3545622809999
2	Jackson Rebecca	806.2129409070001
2	Roberts Murray	786.7834971710001
2	Foley Kevin	612.402447867
2	Jack Dave	562.616915312
2	O'Brien Greg	271.022925101
3	Binns Peter	2508.005728897
3	Cleverley Murray	2494.072472969
3	Annear Paul	2490.225744855
3	Luxton Ron	2482.24372691
3	Kennedy Terry	1954.3861253589998
3	Crawford Rene	1224.0195913740001
3	Tomkinson Rachel	1035.838004753
3	Paterson Joy	943.4762720760001
3	de Joux Raeleen	939.6050675500001
3	Jackson Rebecca	834.222852411
3	Roberts Murray	831.207601778
3	Foley Kevin	643.3652876449999
3	Jack Dave	606.6312971009999
3	O'Brien Greg	281.24582138900007
4	Annear Paul	2458.8552621330005
4	Cleverley Murray	2443.393685645
4	Luxton Ron	2440.6535342770007
4	Binns Peter	2438.8552184000005
4	Kennedy Terry	1994.4665570160003
4	Crawford Rene	1253.252001038
4	Tomkinson Rachel	1046.768177655
4	de Joux Raeleen	959.941336156
4	Paterson Joy	950.505646056
4	Roberts Murray	851.7840047170001
4	Jackson Rebecca	845.5456787109999
4	Foley Kevin	658.4352676579999
4	Jack Dave	625.7014277019999
4	O'Brien Greg	286.34239674199995
5	Annear Paul	2463.504557909
5	Luxton Ron	2444.8951144930006
5	Binns Peter	2438.480979805
5	Cleverley Murray	2434.2739135230004
5	Kennedy Terry	2039.2806382379997
5	Crawford Rene	1280.968289858
5	Tomkinson Rachel	1074.5053259810002
5	de Joux Raeleen	987.3922513709999
5	Paterson Joy	971.20191443
5	Roberts Murray	882.591749818
5	Jackson Rebecca	875.1258717210001
5	Foley Kevin	684.0676196119998
5	Jack Dave	645.6735052930001
5	O'Brien Greg	0.0
6	Annear Paul	2422.90767908
6	Cleverley Murray	2421.975020053
6	Binns Peter	2419.078325919
6	Luxton Ron	2417.210065253
6	Kennedy Terry	2059.277326763
6	Crawford Rene	1296.6091622539998
6	Tomkinson Rachel	1080.537603557
6	de Joux Raeleen	998.2897027810001
6	Paterson Joy	975.269972754
6	Roberts Murray	893.9556540709999
6	Jackson Rebecca	881.424516263
6	Foley Kevin	691.9787913680002
6	Jack Dave	655.5471614559999
6	O'Brien Greg	0.0
7	Annear Paul	2411.654453698
7	Cleverley Murray	2409.081263474
7	Binns Peter	2408.6556957249995
7	Luxton Ron	2408.556278334
7	Kennedy Terry	2068.001819937
7	Crawford Rene	1303.448506291
7	Tomkinson Rachel	1083.03868783
7	de Joux Raeleen	1003.0041278799998
7	Paterson Joy	976.948317543
7	Roberts Murray	898.8853338929999
7	Jackson Rebecca	884.113823813
7	Foley Kevin	695.468482611
7	Jack Dave	659.969478606
7	O'Brien Greg	0.0
8	Annear Paul	2505.674425895
8	Cleverley Murray	2480.9464084609995
8	Luxton Ron	2452.5258281769998
8	Binns Peter	2451.030923614
8	Kennedy Terry	2221.2797890869997
8	Crawford Rene	1333.6869400449998
8	Tomkinson Rachel	1114.162511438
8	de Joux Raeleen	1045.9786052220002
8	Paterson Joy	988.39318583
8	Roberts Murray	939.421548232
8	Jackson Rebecca	913.697721073
8	Foley Kevin	722.4288508249999
8	Jack Dave	0.0
8	O'Brien Greg	0.0
9	Annear Paul	2432.8115602010007
9	Cleverley Murray	2428.164354145
9	Binns Peter	2426.466343399
9	Luxton Ron	2425.2000627229995
9	Kennedy Terry	2261.5642044029996
9	Crawford Rene	1363.909414084
9	Tomkinson Rachel	1125.7598386579998
9	de Joux Raeleen	1067.6580419489999
9	Paterson Joy	995.9538625770001
9	Roberts Murray	961.684818814
9	Jackson Rebecca	926.3903346560002
9	Foley Kevin	737.998392081
9	Jack Dave	0.0
9	O'Brien Greg	0.0
