CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Binns Peter	elected	1	4422.0	0.0	2421.625000001	0.337370796
Annear Paul	elected	2	2778.2017462950002	69.664800898	2412.916899888	0.453851998
Cleverley Murray	elected	2	2655.588392905	69.664800898	2412.916899888	0.53297245
Luxton Ron	elected	2	2537.7544659179994	69.664800898	2412.916899888	0.555978478
Kennedy Terry	elected	10	2395.857285269	272.1275399409999	2387.609057508	0.64664525
Crawford Rene	elected	27	2310.9716369960006	1218.134855225	2269.3581430970003	0.873404692
de Joux Raeleen	elected	30	2241.38950772	1562.4858796310002	2226.314265047	1.0
Tomkinson Rachel	excluded	30	1848.545698349	1562.4858796310002	2226.314265047	0.0
Roberts Murray	excluded	26	1487.0733640069998	1025.866997365	2293.3916253300004	0.0
Paterson Joy	excluded	21	1204.7593691020002	518.9958116	2356.7505235510002	0.0
Jackson Rebecca	excluded	15	1029.764823444	320.15480973600006	2381.6056487839996	0.0
Foley Kevin	excluded	9	737.998392081	219.43877231000002	2394.1951534620002	0.0
Jack Dave	excluded	7	659.969478606	162.17373036499998	2401.353283705	0.0
O'Brien Greg	excluded	4	286.34239674199995	118.49980609400001	2406.8125242390006	0.0
