ITER	CANDIDATE	VOTES
1	Gallagher Martin	12018.0
1	Wade Clyde	7931.0
1	Macpherson Dave	6295.0
1	Christie Sally	6179.0
1	Mahood Pippa	5654.0
1	Beavis Crystal	5496.0
1	Barker Norm	4845.0
1	Gill Mary Anne	4401.0
1	Buckley Andrew	3305.0
1	Quayle Barry	3084.0
1	Mahuta Tipa	2992.0
1	Doube Bernadette	2556.0
1	Chaudhry Javed	2253.0
1	Sebastian Danny	2160.0
1	Curtis Robert	1945.0
1	Vernon Jenni	1917.0
1	Rielly-Obiakor Macushla	1477.0
1	Holland Cathy	1345.0
1	Bennett Rangipipi	1008.0
1	Sleigh Sally	961.0
2	Gallagher Martin	9727.750002348
2	Wade Clyde	8079.071579978
2	Macpherson Dave	6706.436989925999
2	Christie Sally	6253.131074146
2	Mahood Pippa	6017.794911426
2	Beavis Crystal	5614.724059622
2	Barker Norm	4918.940505831999
2	Gill Mary Anne	4637.30470936
2	Buckley Andrew	3401.046430256
2	Quayle Barry	3211.299633752
2	Mahuta Tipa	3049.7421991419997
2	Doube Bernadette	2635.08585031
2	Chaudhry Javed	2348.855861942
2	Sebastian Danny	2202.6873023360004
2	Curtis Robert	1992.4515101860002
2	Vernon Jenni	1967.3100348959997
2	Rielly-Obiakor Macushla	1490.720918608
2	Holland Cathy	1389.0212805339997
2	Bennett Rangipipi	1031.0587659940002
2	Sleigh Sally	988.8229738439999
3	Gallagher Martin	9781.415115873999
3	Wade Clyde	8161.583311785999
3	Macpherson Dave	6771.383858417999
3	Christie Sally	6314.079985013999
3	Mahood Pippa	6089.752346676
3	Beavis Crystal	5693.674889062
3	Barker Norm	4959.157790873999
3	Gill Mary Anne	4702.15755871
3	Buckley Andrew	3425.608559382
3	Quayle Barry	3245.516982106
3	Mahuta Tipa	3077.0113600980003
3	Doube Bernadette	2698.69325095
3	Chaudhry Javed	2368.647462312
3	Sebastian Danny	2258.594904048
3	Vernon Jenni	2022.052558264
3	Curtis Robert	2013.5926088119998
3	Rielly-Obiakor Macushla	1513.6086754640003
3	Holland Cathy	1436.439292328
3	Bennett Rangipipi	1045.642987922
3	Sleigh Sally	0.0
4	Gallagher Martin	9738.970183494997
4	Wade Clyde	8182.729291410001
4	Macpherson Dave	6827.761823590001
4	Christie Sally	6341.657119050001
4	Mahood Pippa	6152.170061045001
4	Beavis Crystal	5749.86309861
4	Barker Norm	5000.86882718
4	Gill Mary Anne	4748.73456017
4	Buckley Andrew	3463.1667991899994
4	Mahuta Tipa	3454.2964249149995
4	Quayle Barry	3264.82964681
4	Doube Bernadette	2730.03872056
4	Chaudhry Javed	2422.3659628950004
4	Sebastian Danny	2283.201798085
4	Curtis Robert	2051.7783818249995
4	Vernon Jenni	2044.9650011050003
4	Rielly-Obiakor Macushla	1548.9330964
4	Holland Cathy	1490.5875810700002
4	Bennett Rangipipi	0.0
4	Sleigh Sally	0.0
5	Gallagher Martin	9780.313753994
5	Wade Clyde	8255.217632693999
5	Macpherson Dave	6977.322781581001
5	Christie Sally	6432.456805225
5	Mahood Pippa	6276.210992898999
5	Beavis Crystal	5841.465760597001
5	Barker Norm	5047.40538857
5	Gill Mary Anne	4855.52466564
5	Mahuta Tipa	3677.9471163610006
5	Buckley Andrew	3522.630432918
5	Quayle Barry	3330.8062994539996
5	Doube Bernadette	2793.118505211
5	Chaudhry Javed	2458.427005141
5	Sebastian Danny	2338.6535164730008
5	Vernon Jenni	2107.2146219919996
5	Curtis Robert	2105.366633114
5	Rielly-Obiakor Macushla	1593.087933268
5	Bennett Rangipipi	0.0
5	Holland Cathy	0.0
5	Sleigh Sally	0.0
6	Gallagher Martin	9730.87684985
6	Wade Clyde	8345.809966920999
6	Macpherson Dave	7183.3183529709995
6	Christie Sally	6513.404216819
6	Mahood Pippa	6388.301199004
6	Beavis Crystal	5916.514231328
6	Barker Norm	5090.647245082
6	Gill Mary Anne	4962.9077151659985
6	Mahuta Tipa	3858.102348094
6	Buckley Andrew	3611.1565887069996
6	Quayle Barry	3380.57307179
6	Doube Bernadette	2862.009487552
6	Chaudhry Javed	2507.884140213
6	Sebastian Danny	2492.3515094890004
6	Vernon Jenni	2160.2586489469995
6	Curtis Robert	2152.6533782140004
6	Bennett Rangipipi	0.0
6	Holland Cathy	0.0
6	Rielly-Obiakor Macushla	0.0
6	Sleigh Sally	0.0
7	Gallagher Martin	9644.59611895
7	Wade Clyde	8351.601604646998
7	Macpherson Dave	7199.240116997
7	Christie Sally	6516.415309533
7	Mahood Pippa	6402.245841827999
7	Beavis Crystal	5921.209020896
7	Barker Norm	5093.567515973999
7	Gill Mary Anne	4972.227431362
7	Mahuta Tipa	3860.9387834579998
7	Buckley Andrew	3614.9501463490005
7	Quayle Barry	3385.5333405300007
7	Doube Bernadette	2865.139347264
7	Chaudhry Javed	2511.635780091
7	Sebastian Danny	2494.1749322230003
7	Vernon Jenni	2162.3754960290003
7	Curtis Robert	2154.6514582980003
7	Bennett Rangipipi	0.0
7	Holland Cathy	0.0
7	Rielly-Obiakor Macushla	0.0
7	Sleigh Sally	0.0
8	Gallagher Martin	9809.358395297997
8	Wade Clyde	8470.227920588999
8	Macpherson Dave	7408.257253676
8	Christie Sally	6633.3868874790005
8	Mahood Pippa	6498.041800601
8	Beavis Crystal	6146.948880757999
8	Barker Norm	5220.072140653001
8	Gill Mary Anne	5143.555134929001
8	Mahuta Tipa	3939.03227782
8	Buckley Andrew	3717.243575057
8	Quayle Barry	3507.4110958440006
8	Doube Bernadette	3122.7136173770004
8	Sebastian Danny	2629.5739763510005
8	Chaudhry Javed	2593.5862016439996
8	Vernon Jenni	2199.1198307199998
8	Bennett Rangipipi	0.0
8	Curtis Robert	0.0
8	Holland Cathy	0.0
8	Rielly-Obiakor Macushla	0.0
8	Sleigh Sally	0.0
9	Gallagher Martin	9824.528227824001
9	Wade Clyde	8772.608430978
9	Macpherson Dave	7591.436632191
9	Mahood Pippa	6780.276370748999
9	Christie Sally	6739.506975202
9	Beavis Crystal	6312.72855114
9	Barker Norm	5357.172805592
9	Gill Mary Anne	5351.189264826001
9	Mahuta Tipa	4059.936879801
9	Buckley Andrew	3804.150929249
9	Quayle Barry	3671.3011553710007
9	Doube Bernadette	3217.8755653050002
9	Sebastian Danny	2731.3911695730008
9	Chaudhry Javed	2645.4162578730006
9	Bennett Rangipipi	0.0
9	Curtis Robert	0.0
9	Holland Cathy	0.0
9	Rielly-Obiakor Macushla	0.0
9	Sleigh Sally	0.0
9	Vernon Jenni	0.0
10	Gallagher Martin	9607.439913407998
10	Wade Clyde	8787.819519176
10	Macpherson Dave	7632.614978972
10	Mahood Pippa	6816.000407508
10	Christie Sally	6747.671501384
10	Beavis Crystal	6325.263300879999
10	Gill Mary Anne	5376.021620392001
10	Barker Norm	5365.167943264
10	Mahuta Tipa	4067.406913092
10	Buckley Andrew	3814.4666895079995
10	Quayle Barry	3685.0385635320004
10	Doube Bernadette	3226.4296850599994
10	Sebastian Danny	2736.3542529160004
10	Chaudhry Javed	2655.4609965160003
10	Bennett Rangipipi	0.0
10	Curtis Robert	0.0
10	Holland Cathy	0.0
10	Rielly-Obiakor Macushla	0.0
10	Sleigh Sally	0.0
10	Vernon Jenni	0.0
11	Gallagher Martin	9869.962605216999
11	Wade Clyde	8962.993759906001
11	Macpherson Dave	7843.806041338
11	Mahood Pippa	7054.160696564001
11	Christie Sally	6901.025742745
11	Beavis Crystal	6529.669025891001
11	Gill Mary Anne	5564.557642769
11	Barker Norm	5491.766980826
11	Mahuta Tipa	4196.752549430001
11	Buckley Andrew	3992.336045364
11	Quayle Barry	3808.455619788
11	Doube Bernadette	3406.532958443
11	Sebastian Danny	2967.9288462289996
11	Bennett Rangipipi	0.0
11	Chaudhry Javed	0.0
11	Curtis Robert	0.0
11	Holland Cathy	0.0
11	Rielly-Obiakor Macushla	0.0
11	Sleigh Sally	0.0
11	Vernon Jenni	0.0
12	Gallagher Martin	9740.224493538002
12	Wade Clyde	9542.291377346002
12	Macpherson Dave	8175.099688228
12	Mahood Pippa	7321.015994735
12	Christie Sally	7057.431096777999
12	Beavis Crystal	6772.149744926
12	Gill Mary Anne	5842.093718986999
12	Barker Norm	5626.608969812
12	Mahuta Tipa	4376.510734018
12	Buckley Andrew	4122.100148782
12	Quayle Barry	4067.444452308
12	Doube Bernadette	3632.891278158
12	Bennett Rangipipi	0.0
12	Chaudhry Javed	0.0
12	Curtis Robert	0.0
12	Holland Cathy	0.0
12	Rielly-Obiakor Macushla	0.0
12	Sebastian Danny	0.0
12	Sleigh Sally	0.0
12	Vernon Jenni	0.0
13	Wade Clyde	9887.619926600999
13	Gallagher Martin	9850.582487167001
13	Macpherson Dave	8496.000336158
13	Mahood Pippa	7745.022632015001
13	Christie Sally	7373.297455493999
13	Beavis Crystal	7220.600299699001
13	Gill Mary Anne	6447.118355084
13	Barker Norm	5785.4818476909995
13	Mahuta Tipa	4516.156229831002
13	Quayle Barry	4302.789092983999
13	Buckley Andrew	4301.925266252001
13	Bennett Rangipipi	0.0
13	Chaudhry Javed	0.0
13	Curtis Robert	0.0
13	Doube Bernadette	0.0
13	Holland Cathy	0.0
13	Rielly-Obiakor Macushla	0.0
13	Sebastian Danny	0.0
13	Sleigh Sally	0.0
13	Vernon Jenni	0.0
14	Gallagher Martin	9530.743782408003
14	Wade Clyde	9519.066055134
14	Macpherson Dave	8602.509443551002
14	Mahood Pippa	7869.290953907
14	Christie Sally	7414.58182154
14	Beavis Crystal	7285.685405096
14	Gill Mary Anne	6538.858325896
14	Barker Norm	5825.350188337
14	Mahuta Tipa	4542.896784955001
14	Quayle Barry	4397.520333104
14	Buckley Andrew	4341.594804002
14	Bennett Rangipipi	0.0
14	Chaudhry Javed	0.0
14	Curtis Robert	0.0
14	Doube Bernadette	0.0
14	Holland Cathy	0.0
14	Rielly-Obiakor Macushla	0.0
14	Sebastian Danny	0.0
14	Sleigh Sally	0.0
14	Vernon Jenni	0.0
15	Wade Clyde	9487.1906989350009
15	Gallagher Martin	9487.060843647998
15	Macpherson Dave	8615.032140904
15	Mahood Pippa	7883.116132889001
15	Christie Sally	7418.9555042950005
15	Beavis Crystal	7292.543684812
15	Gill Mary Anne	6549.049497851999
15	Barker Norm	5829.563023892
15	Mahuta Tipa	4545.895206383001
15	Quayle Barry	4407.134219941
15	Buckley Andrew	4345.949899095999
15	Bennett Rangipipi	0.0
15	Chaudhry Javed	0.0
15	Curtis Robert	0.0
15	Doube Bernadette	0.0
15	Holland Cathy	0.0
15	Rielly-Obiakor Macushla	0.0
15	Sebastian Danny	0.0
15	Sleigh Sally	0.0
15	Vernon Jenni	0.0
16	Gallagher Martin	9931.464600874
16	Wade Clyde	9854.049764404
16	Macpherson Dave	9137.33698253
16	Mahood Pippa	8276.711757632003
16	Christie Sally	7816.7804023419985
16	Beavis Crystal	7742.186828074001
16	Gill Mary Anne	7046.14173113
16	Barker Norm	6144.821194424001
16	Mahuta Tipa	4700.205957259999
16	Quayle Barry	4686.029370196
16	Bennett Rangipipi	0.0
16	Buckley Andrew	0.0
16	Chaudhry Javed	0.0
16	Curtis Robert	0.0
16	Doube Bernadette	0.0
16	Holland Cathy	0.0
16	Rielly-Obiakor Macushla	0.0
16	Sebastian Danny	0.0
16	Sleigh Sally	0.0
16	Vernon Jenni	0.0
17	Gallagher Martin	9460.052736994
17	Wade Clyde	9457.398628916
17	Macpherson Dave	9285.778077248
17	Mahood Pippa	8440.705495130002
17	Christie Sally	7872.312402621001
17	Beavis Crystal	7827.520458054
17	Gill Mary Anne	7170.950298155
17	Barker Norm	6197.939528513
17	Quayle Barry	4805.167556678
17	Mahuta Tipa	4735.597267409001
17	Bennett Rangipipi	0.0
17	Buckley Andrew	0.0
17	Chaudhry Javed	0.0
17	Curtis Robert	0.0
17	Doube Bernadette	0.0
17	Holland Cathy	0.0
17	Rielly-Obiakor Macushla	0.0
17	Sebastian Danny	0.0
17	Sleigh Sally	0.0
17	Vernon Jenni	0.0
18	Gallagher Martin	9411.628288308002
18	Wade Clyde	9410.830859324
18	Macpherson Dave	9301.684471578003
18	Mahood Pippa	8458.610207242002
18	Christie Sally	7878.441759392999
18	Beavis Crystal	7836.971307483999
18	Gill Mary Anne	7184.547902842999
18	Barker Norm	6203.816242451002
18	Quayle Barry	4818.505753821999
18	Mahuta Tipa	4739.4328819269995
18	Bennett Rangipipi	0.0
18	Buckley Andrew	0.0
18	Chaudhry Javed	0.0
18	Curtis Robert	0.0
18	Doube Bernadette	0.0
18	Holland Cathy	0.0
