CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Gallagher Martin	elected	1	12018.0	0.0	9727.750000001	0.539855424
Wade Clyde	elected	12	9542.291377346002	1546.1383023839999	9534.482712203	0.73761763
Macpherson Dave	elected	19	9835.779680092	3823.7491484659995	9249.781356442001	0.814178535
Mahood Pippa	elected	20	9483.544395162002	4021.5880387199995	9225.051495161	0.835323913
Beavis Crystal	elected	22	9350.899261893	5292.973130589	9066.128358677	0.969546148
Gill Mary Anne	elected	22	9103.155654920998	5292.973130589	9066.128358677	0.995932477
Christie Sally	elected	23	9088.658483452999	5635.875707332999	9023.265536583998	1.0
Barker Norm	excluded	23	7403.283276008	5635.875707332999	9023.265536583998	0.0
Quayle Barry	excluded	20	5198.645068060001	4021.5880387199995	9225.051495161	0.0
Mahuta Tipa	excluded	18	4739.4328819269995	2577.530325628	9405.558709296998	0.0
Buckley Andrew	excluded	15	4345.949899095999	1960.509147353	9482.686356581	0.0
Doube Bernadette	excluded	12	3632.891278158	1546.1383023839999	9534.482712203	0.0
Sebastian Danny	excluded	11	2967.9288462289996	1232.05148549	9573.743564314003	0.0
Chaudhry Javed	excluded	10	2655.4609965160003	978.8437143919999	9605.394535702	0.0
Vernon Jenni	excluded	8	2199.1198307199998	783.471011204	9629.816123599996	0.0
Curtis Robert	excluded	7	2154.6514582980003	671.4977555710001	9643.812780554	0.0
Rielly-Obiakor Macushla	excluded	5	1593.087933268	428.8301548679999	9674.146230642	0.0
Holland Cathy	excluded	4	1490.5875810700002	325.081622595	9687.114797176004	0.0
Bennett Rangipipi	excluded	3	1045.642987922	243.3865019	9697.326687262997	0.0
Sleigh Sally	excluded	2	988.8229738439999	158.74340556199996	9707.907074305	0.0
