ITER	CANDIDATE	VOTES
1	Long Rick	3,155.000000000
1	Milne Derek	1,494.000000000
1	Samuel Fiona	1,489.000000000
1	Southey Leanne	1,415.000000000
1	Falkner Liz	1,279.000000000
1	Shirley Alan	1,236.000000000
1	Crozier Nicholas Derek	897.000000000
1	Carter Ruth	871.000000000
1	Gilkison Flora	623.000000000
1	Monks Karen	571.000000000
1	Cameron Perry	505.000000000
1	Butcher Stephen	450.000000000
1	Love Peter Maru	331.000000000
2	Long Rick	1,789.500000995
2	Milne Derek	1,639.422503856
2	Southey Leanne	1,611.060697163
2	Falkner Liz	1,590.619651120
2	Samuel Fiona	1,580.321869981
2	Shirley Alan	1,346.365293105
2	Crozier Nicholas Derek	995.246751117
2	Carter Ruth	986.558953957
2	Gilkison Flora	653.729160041
2	Monks Karen	602.594770183
2	Cameron Perry	558.667828804
2	Butcher Stephen	494.146117242
2	Love Peter Maru	364.758795538
3	Long Rick	1,792.391238132
3	Milne Derek	1,668.220827188
3	Southey Leanne	1,638.715194944
3	Falkner Liz	1,618.363809276
3	Samuel Fiona	1,617.367418336
3	Shirley Alan	1,377.337955744
3	Carter Ruth	1,017.269931508
3	Crozier Nicholas Derek	1,011.046938884
3	Gilkison Flora	676.892692308
3	Monks Karen	644.445985248
3	Cameron Perry	599.290295048
3	Butcher Stephen	500.999278188
3	Love Peter Maru	0.000000000
4	Long Rick	1,790.314857813
4	Milne Derek	1,707.098800613
4	Southey Leanne	1,666.931056929
4	Falkner Liz	1,659.545708274
4	Samuel Fiona	1,659.417667552
4	Shirley Alan	1,400.828255567
4	Carter Ruth	1,074.047399932
4	Crozier Nicholas Derek	1,072.075100647
4	Gilkison Flora	720.837796459
4	Monks Karen	699.158202792
4	Cameron Perry	673.793475315
4	Butcher Stephen	0.000000000
4	Love Peter Maru	0.000000000
5	Long Rick	1,810.480099732
5	Milne Derek	1,775.999672164
5	Southey Leanne	1,732.219469868
5	Falkner Liz	1,720.167259680
5	Samuel Fiona	1,712.014000716
5	Shirley Alan	1,433.363832136
