CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Long Rick	elected	1	3,155.000000000	0.000000000	1,789.500000001	0.433300680
Milne Derek	elected	5	1,775.999672164	274.106152796	1,755.236730901	0.733640971
Samuel Fiona	elected	7	1,958.005625895	390.401459620	1,740.699817548	0.653478724
Southey Leanne	elected	7	1,826.225783913	390.401459620	1,740.699817548	0.703080020
Falkner Liz	elected	7	1,782.902271200	390.401459620	1,740.699817548	0.751621271
Shirley Alan	elected	10	1,817.629172006	627.881021693	1,711.014872289	0.828755163
Crozier Nicholas Derek	elected	18	1,691.664370950	839.932026548	1,684.508496682	1.000000000
Carter Ruth	excluded	18	1,648.143866248	839.932026548	1,684.508496682	0.000000000
Gilkison Flora	excluded	8	929.366488188	434.994349934	1,735.125706259	0.000000000
Monks Karen	excluded	6	762.421199112	280.241285384	1,754.469839328	0.000000000
Cameron Perry	excluded	4	673.793475315	191.951678107	1,765.506040237	0.000000000
Butcher Stephen	excluded	3	500.999278188	153.658435196	1,770.292695601	0.000000000
Love Peter Maru	excluded	2	364.758795538	103.007606898	1,776.624049138	0.000000000
