ITER	CANDIDATE	VOTES
1	Grace Christine	141.000000000
1	Todd Hamish	79.000000000
1	Apanowicz John	41.000000000
1	Renner Chris	41.000000000
1	Liddell Judy	26.000000000
1	Rudd Wayne	10.000000000
1	May Kath	9.000000000
1	Chung Ray	7.000000000
2	Renner Chris	80.971028425
2	Todd Hamish	58.782402754
2	Grace Christine	53.281828329
2	Apanowicz John	48.756074895
2	Liddell Judy	36.677619162
2	Rudd Wayne	32.783985658
2	May Kath	15.390360396
2	Chung Ray	10.285060212
3	Grace Christine	52.831755870
3	Apanowicz John	52.115452962
3	Todd Hamish	50.615518239
3	Renner Chris	50.077556297
3	Rudd Wayne	48.598124482
3	Liddell Judy	42.445230178
3	May Kath	18.595851972
3	Chung Ray	12.222353836
4	Rudd Wayne	50.872415136
4	Renner Chris	48.965341778
4	Apanowicz John	48.054938949
4	Todd Hamish	47.954154767
4	Grace Christine	47.732443264
4	Liddell Judy	45.294241989
4	May Kath	20.760421074
4	Chung Ray	13.293760264
5	Rudd Wayne	47.960174777
5	Renner Chris	47.471548844
5	Liddell Judy	47.291351640
5	Apanowicz John	47.158002426
5	Todd Hamish	47.053925717
5	Grace Christine	46.747056915
5	May Kath	22.014243301
5	Chung Ray	13.902284265
