ITER	CANDIDATE	VOTES
1	Lester Justin	23,751.000000000
1	Leggett Nick	16,528.000000000
1	Coughlan Jo	13,203.000000000
1	Young Nicola	4,303.000000000
1	Foster Andy	3,125.000000000
1	Ritchie Helene	2,439.000000000
1	Johnson Keith	1,083.000000000
1	Overton Johnny	620.000000000
2	Lester Justin	23,884.000000000
2	Leggett Nick	16,584.000000000
2	Coughlan Jo	13,233.000000000
2	Young Nicola	4,367.000000000
2	Foster Andy	3,168.000000000
2	Ritchie Helene	2,538.000000000
2	Johnson Keith	1,190.000000000
2	Overton Johnny	0.000000000
3	Lester Justin	24,092.000000000
3	Leggett Nick	16,709.000000000
3	Coughlan Jo	13,347.000000000
3	Young Nicola	4,598.000000000
3	Foster Andy	3,304.000000000
3	Ritchie Helene	2,733.000000000
3	Johnson Keith	0.000000000
3	Overton Johnny	0.000000000
4	Lester Justin	24,887.000000000
4	Leggett Nick	17,011.000000000
4	Coughlan Jo	13,602.000000000
4	Young Nicola	5,104.000000000
4	Foster Andy	3,718.000000000
4	Johnson Keith	0.000000000
4	Overton Johnny	0.000000000
4	Ritchie Helene	0.000000000
5	Lester Justin	26,418.000000000
5	Leggett Nick	17,598.000000000
5	Coughlan Jo	14,190.000000000
5	Young Nicola	5,532.000000000
5	Foster Andy	0.000000000
5	Johnson Keith	0.000000000
5	Overton Johnny	0.000000000
5	Ritchie Helene	0.000000000
6	Lester Justin	27,674.000000000
6	Leggett Nick	18,667.000000000
6	Coughlan Jo	15,844.000000000
6	Foster Andy	0.000000000
6	Johnson Keith	0.000000000
6	Overton Johnny	0.000000000
6	Ritchie Helene	0.000000000
6	Young Nicola	0.000000000
7	Lester Justin	31,921.000000000
7	Leggett Nick	24,697.000000000
7	Coughlan Jo	0.000000000
7	Foster Andy	0.000000000
7	Johnson Keith	0.000000000
7	Overton Johnny	0.000000000
7	Ritchie Helene	0.000000000
7	Young Nicola	0.000000000
