ITER	CANDIDATE	VOTES
1	Free Sarah	3,711.000000000
1	Marsh Simon Swampy	3,044.000000000
1	Calvi-Freeman Chris	2,131.000000000
1	McGregor Lynda	1,565.000000000
1	Goulden Rob	1,073.000000000
1	Murray Robert	555.000000000
2	Marsh Simon Swampy	3,132.654629271
2	Free Sarah	3,023.082040549
2	Calvi-Freeman Chris	2,296.882059032
2	McGregor Lynda	1,786.933181233
2	Goulden Rob	1,126.737499270
2	Murray Robert	594.624288958
3	Marsh Simon Swampy	3,112.532983197
3	Free Sarah	3,083.506189445
3	Calvi-Freeman Chris	2,481.919087806
3	McGregor Lynda	1,874.322642273
3	Goulden Rob	1,269.136424058
3	Murray Robert	0.000000000
4	Marsh Simon Swampy	3,380.348423006
4	Free Sarah	3,145.978300802
4	Calvi-Freeman Chris	2,833.225782109
4	McGregor Lynda	2,110.853419843
4	Goulden Rob	0.000000000
4	Murray Robert	0.000000000
5	Calvi-Freeman Chris	3,073.417248879
5	Free Sarah	2,941.827921638
5	Marsh Simon Swampy	2,908.524742514
5	McGregor Lynda	2,295.932270319
5	Goulden Rob	0.000000000
5	Murray Robert	0.000000000
