ITER	CANDIDATE	VOTES
1	Pannett Iona	4,387.000000000
1	Young Nicola	2,652.000000000
1	Dawson Brian	1,750.000000000
1	Scannell Mazz	1,324.000000000
1	Jansen Tony	496.000000000
1	Hollard Milton	440.000000000
1	Gee Dave	399.000000000
1	Mihaka Troy	331.000000000
2	Pannett Iona	2,944.750003169
2	Young Nicola	2,864.704752211
2	Dawson Brian	2,328.938282293
2	Scannell Mazz	1,447.612035288
2	Jansen Tony	582.133918206
2	Hollard Milton	557.036927028
2	Gee Dave	437.464383321
2	Mihaka Troy	417.133918206
3	Pannett Iona	2,894.943558639
3	Young Nicola	2,872.050266141
3	Dawson Brian	2,348.931249883
3	Scannell Mazz	1,451.880834728
3	Jansen Tony	585.108453986
3	Hollard Milton	561.078662668
3	Gee Dave	438.792706551
3	Mihaka Troy	420.108453986
4	Pannett Iona	2,940.047999766
4	Young Nicola	2,934.604963697
4	Dawson Brian	2,416.331251780
4	Scannell Mazz	1,520.096290736
4	Jansen Tony	628.745195170
4	Hollard Milton	589.200269200
4	Gee Dave	479.967590855
4	Mihaka Troy	0.000000000
5	Young Nicola	2,886.764596871
5	Pannett Iona	2,883.000617442
5	Dawson Brian	2,448.106489576
5	Scannell Mazz	1,541.477363548
5	Jansen Tony	639.780309262
5	Hollard Milton	599.093282580
5	Gee Dave	487.368072641
5	Mihaka Troy	0.000000000
6	Young Nicola	2,974.638534084
6	Pannett Iona	2,907.649409202
6	Dawson Brian	2,512.697650715
6	Scannell Mazz	1,622.769977515
6	Jansen Tony	731.829878830
6	Hollard Milton	648.803154589
6	Gee Dave	0.000000000
6	Mihaka Troy	0.000000000
7	Pannett Iona	2,862.432660476
7	Young Nicola	2,858.230005999
7	Dawson Brian	2,550.546096643
7	Scannell Mazz	1,664.674517487
7	Jansen Tony	754.369712821
7	Hollard Milton	664.974223326
7	Gee Dave	0.000000000
7	Mihaka Troy	0.000000000
8	Young Nicola	2,945.757707924
8	Pannett Iona	2,935.092886471
8	Dawson Brian	2,714.219828579
8	Scannell Mazz	1,770.778883895
8	Jansen Tony	883.465828114
8	Gee Dave	0.000000000
8	Hollard Milton	0.000000000
8	Mihaka Troy	0.000000000
9	Young Nicola	2,977.180342534
9	Dawson Brian	2,913.969129435
9	Pannett Iona	2,903.972962392
9	Scannell Mazz	2,153.967010343
9	Gee Dave	0.000000000
9	Hollard Milton	0.000000000
9	Jansen Tony	0.000000000
9	Mihaka Troy	0.000000000
