ITER	CANDIDATE	VOTES
1	Sparrow Malcolm	3,730.000000000
1	Gilberd Peter	2,592.000000000
1	Day Jill	2,197.000000000
1	Sawyer Graeme	1,841.000000000
1	Gray Judith	1,479.000000000
1	Apanowicz John	1,153.000000000
2	Sparrow Malcolm	3,248.000000400
2	Gilberd Peter	2,670.179624600
2	Day Jill	2,296.759785440
2	Sawyer Graeme	1,924.736192960
2	Gray Judith	1,578.759785440
2	Apanowicz John	1,198.357104520
3	Sparrow Malcolm	3,404.076952116
3	Gilberd Peter	2,815.761948212
3	Day Jill	2,551.360017693
3	Sawyer Graeme	2,130.979902779
3	Gray Judith	1,837.267600121
3	Apanowicz John	0.000000000
4	Sparrow Malcolm	3,555.834804110
4	Day Jill	3,153.969380555
4	Gilberd Peter	3,081.453009476
4	Sawyer Graeme	2,543.736157888
4	Apanowicz John	0.000000000
4	Gray Judith	0.000000000
5	Day Jill	3,220.959361277
5	Gilberd Peter	3,195.390864092
5	Sparrow Malcolm	3,096.963757970
5	Sawyer Graeme	2,678.748105478
5	Apanowicz John	0.000000000
5	Gray Judith	0.000000000
