ITER	CANDIDATE	VOTES
1	Foster Andy	5,608.000000000
1	Woolf Simon	4,206.000000000
1	Calvert Diane	2,313.000000000
1	Chung Ray	1,713.000000000
1	Plummer Matthew	1,551.000000000
1	Douglas Paul	361.000000000
1	Morgan Thomas Gregory Phipps	130.000000000
2	Woolf Simon	4,531.712081164
2	Foster Andy	4,027.465987023
2	Calvert Diane	2,708.210489916
2	Chung Ray	1,950.267060225
2	Plummer Matthew	1,715.496517807
2	Douglas Paul	447.131485706
2	Morgan Thomas Gregory Phipps	160.142297818
3	Foster Andy	4,017.302413354
3	Woolf Simon	3,926.343392274
3	Calvert Diane	2,914.087247421
3	Chung Ray	2,072.390439240
3	Plummer Matthew	1,801.456381353
3	Douglas Paul	472.902984595
3	Morgan Thomas Gregory Phipps	171.382164865
4	Woolf Simon	3,912.842437368
4	Foster Andy	3,872.378831941
4	Calvert Diane	3,011.699970487
4	Chung Ray	2,133.562505567
4	Plummer Matthew	1,868.416765972
4	Douglas Paul	505.389833738
4	Morgan Thomas Gregory Phipps	0.000000000
5	Foster Andy	3,908.292374276
5	Woolf Simon	3,904.819356332
5	Calvert Diane	3,157.625282082
5	Chung Ray	2,252.563742875
5	Plummer Matthew	1,967.200819221
5	Douglas Paul	0.000000000
5	Morgan Thomas Gregory Phipps	0.000000000
6	Woolf Simon	4,193.617642602
6	Foster Andy	4,027.473851256
6	Calvert Diane	3,677.753158856
6	Chung Ray	2,736.866548796
6	Douglas Paul	0.000000000
6	Morgan Thomas Gregory Phipps	0.000000000
6	Plummer Matthew	0.000000000
