ITER	CANDIDATE	VOTES
1	Lomax Michelle	1709.0
1	Neame Peter	1513.0
1	Gillespie Helen	1357.0
1	Brown Kevin	1283.0
1	Auchinvole Chris	1050.0
1	Stratford Elinor	1019.0
1	Ogilvie Nigel	975.0
1	Hilton Jim	779.0
1	Vaile John	635.0
1	Smith Russell	480.0
1	Roberts Murray	114.0
2	Gillespie Helen	1434.284571238
2	Neame Peter	1410.450957234
2	Lomax Michelle	1379.397023052
2	Brown Kevin	1323.4999455159998
2	Auchinvole Chris	1083.592700142
2	Stratford Elinor	1076.5801466709997
2	Ogilvie Nigel	1027.0634115359996
2	Hilton Jim	803.52518543
2	Vaile John	704.413457286
2	Smith Russell	499.39671818299996
2	Roberts Murray	123.22761679400001
3	Gillespie Helen	1386.8737723159998
3	Lomax Michelle	1383.917895532
3	Neame Peter	1379.9212182229999
3	Brown Kevin	1348.841608172
3	Stratford Elinor	1109.667882302
3	Auchinvole Chris	1108.186407169
3	Ogilvie Nigel	1056.036910615
3	Hilton Jim	818.0269698049998
3	Vaile John	723.3509440819998
3	Smith Russell	524.521768288
3	Roberts Murray	0.0
4	Gillespie Helen	1440.5854288539997
4	Lomax Michelle	1412.8409738189998
4	Brown Kevin	1411.753136745
4	Neame Peter	1411.1539593129999
4	Stratford Elinor	1194.570850708
4	Auchinvole Chris	1145.1241500269998
4	Ogilvie Nigel	1101.448334196
4	Hilton Jim	865.4436728549999
4	Vaile John	785.602992043
4	Roberts Murray	0.0
4	Smith Russell	0.0
5	Neame Peter	1374.7028716250002
5	Gillespie Helen	1371.471086466
5	Lomax Michelle	1371.028215048
5	Brown Kevin	1366.5925382519997
5	Stratford Elinor	1239.5642630309999
5	Auchinvole Chris	1174.652651989
5	Ogilvie Nigel	1148.2321564200001
5	Hilton Jim	881.363967767
5	Vaile John	809.9395697629999
5	Roberts Murray	0.0
5	Smith Russell	0.0
6	Gillespie Helen	1352.9499658810003
6	Neame Peter	1352.508208609
6	Lomax Michelle	1351.2162617690003
6	Brown Kevin	1350.5847142779996
6	Stratford Elinor	1257.5747729149998
6	Auchinvole Chris	1186.1412438619998
6	Ogilvie Nigel	1166.1949892329997
6	Hilton Jim	887.991583699
6	Vaile John	820.1890877300001
6	Roberts Murray	0.0
6	Smith Russell	0.0
7	Lomax Michelle	1512.5632030119998
7	Neame Peter	1446.3146062239998
7	Brown Kevin	1437.7779965729999
7	Gillespie Helen	1418.204063755
7	Stratford Elinor	1324.4237440129998
7	Auchinvole Chris	1280.6117950369999
7	Ogilvie Nigel	1221.5886755600002
7	Hilton Jim	948.1244080380001
7	Roberts Murray	0.0
7	Smith Russell	0.0
7	Vaile John	0.0
8	Stratford Elinor	1409.849269976
8	Gillespie Helen	1382.24997411
8	Neame Peter	1377.570918787
8	Brown Kevin	1364.6336161169997
8	Lomax Michelle	1356.5583367309998
8	Auchinvole Chris	1339.6874680239998
8	Ogilvie Nigel	1307.312137682
8	Hilton Jim	981.6286107819999
8	Roberts Murray	0.0
8	Smith Russell	0.0
8	Vaile John	0.0
9	Ogilvie Nigel	1363.6974741169997
9	Stratford Elinor	1355.2305176700002
9	Gillespie Helen	1354.613285883
9	Auchinvole Chris	1353.0124299129998
9	Brown Kevin	1351.610212789
9	Neame Peter	1349.155662304
9	Lomax Michelle	1345.289970451
9	Hilton Jim	1001.721154459
9	Roberts Murray	0.0
9	Smith Russell	0.0
9	Vaile John	0.0
