CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
Lomax Michelle	elected	1	1709.0	0.0	1364.250000001	0.604092222
Neame Peter	elected	1	1513.0	0.0	1364.250000001	0.687559618
Gillespie Helen	elected	2	1434.284571238	48.568266918	1358.1789666359998	0.744324832
Brown Kevin	elected	4	1411.753136745	145.47650144	1346.065437321	0.824650434
Stratford Elinor	elected	7	1324.4237440129998	324.391507788	1323.701061527	0.932169711
Auchinvole Chris	elected	8	1339.6874680239998	394.509667791	1314.936291527	0.981524664
Ogilvie Nigel	elected	9	1363.6974741169997	439.669292414	1309.2913384489998	1.0
Hilton Jim	excluded	9	1001.721154459	439.669292414	1309.2913384489998	0.0
Vaile John	excluded	6	820.1890877300001	188.649172024	1340.668853498	0.0
Smith Russell	excluded	3	524.521768288	74.654623496	1354.9181720640001	0.0
Roberts Murray	excluded	2	123.22761679400001	48.568266918	1358.1789666359998	0.0
