ITER	CANDIDATE	VOTES
1	STAPLES Adrienne	6,627.000000000
1	HOLMES David	4,495.000000000
1	WRIGHT Andrew Nicol	1,894.000000000
1	MCGILL Linton	1,106.000000000
1	LEERSCHOOL Monique	655.000000000
2	STAPLES Adrienne	6,821.000000000
2	HOLMES David	4,606.000000000
2	WRIGHT Andrew Nicol	2,004.000000000
2	MCGILL Linton	1,207.000000000
2	LEERSCHOOL Monique	0.000000000
3	STAPLES Adrienne	7,114.000000000
3	HOLMES David	4,888.000000000
3	WRIGHT Andrew Nicol	2,291.000000000
3	LEERSCHOOL Monique	0.000000000
3	MCGILL Linton	0.000000000
4	STAPLES Adrienne	7,923.000000000
4	HOLMES David	5,672.000000000
4	LEERSCHOOL Monique	0.000000000
4	MCGILL Linton	0.000000000
4	WRIGHT Andrew Nicol	0.000000000
