ITER	CANDIDATE	VOTES
1	KEDGLEY Sue	8809
1	KALDERIMIS Chris	8023
1	ADAMS Kathryn	7366
1	VERRALL Ayesha	6808
1	COFFEY 'Ana	6336
1	BLAKELEY Roger	5734
1	BROWN Eileen	5140
1	HUGHES Glenda	3700
1	SIMPSON Vanessa	3598
1	FISO John	3401
1	MITIKULENA Alvin	3391
1	HOLBOROW Janet	2850
1	MARSH Simon (Swampy)	2713
1	APANOWICZ John	2655
1	GRICE Stephen	1730
1	ISA Letitia	1626
1	CLARK Marion	1455
1	CLARK Nathan	1429
1	SHAND David	1374
1	NG Shan	1163
1	O'DWYER Letitia	907
1	PETERS John	701
1	TURNER Susan	689
2	KEDGLEY Sue	8851
2	KALDERIMIS Chris	8044
2	ADAMS Kathryn	7397
2	VERRALL Ayesha	6891
2	COFFEY 'Ana	6385
2	BLAKELEY Roger	5756
2	BROWN Eileen	5159
2	HUGHES Glenda	3718
2	SIMPSON Vanessa	3718
2	MITIKULENA Alvin	3421
2	FISO John	3412
2	HOLBOROW Janet	2870
2	MARSH Simon (Swampy)	2740
2	APANOWICZ John	2666
2	GRICE Stephen	1737
2	ISA Letitia	1647
2	CLARK Marion	1477
2	CLARK Nathan	1440
2	SHAND David	1407
2	NG Shan	1172
2	O'DWYER Letitia	930
2	PETERS John	711
2	TURNER Susan	0
3	KEDGLEY Sue	8875
3	KALDERIMIS Chris	8083
3	ADAMS Kathryn	7423
3	VERRALL Ayesha	6914
3	COFFEY 'Ana	6415
3	BLAKELEY Roger	5787
3	BROWN Eileen	5187
3	HUGHES Glenda	3746
3	SIMPSON Vanessa	3746
3	FISO John	3437
3	MITIKULENA Alvin	3437
3	HOLBOROW Janet	2884
3	MARSH Simon (Swampy)	2784
3	APANOWICZ John	2720
3	GRICE Stephen	1752
3	ISA Letitia	1663
3	CLARK Marion	1498
3	SHAND David	1466
3	CLARK Nathan	1464
3	NG Shan	1198
3	O'DWYER Letitia	947
3	PETERS John	0
3	TURNER Susan	0
4	KEDGLEY Sue	8918
4	KALDERIMIS Chris	8127
4	ADAMS Kathryn	7474
4	VERRALL Ayesha	6998
4	COFFEY 'Ana	6467
4	BLAKELEY Roger	5807
4	BROWN Eileen	5217
4	SIMPSON Vanessa	3876
4	HUGHES Glenda	3794
4	MITIKULENA Alvin	3497
4	FISO John	3456
4	HOLBOROW Janet	2922
4	MARSH Simon (Swampy)	2816
4	APANOWICZ John	2745
4	GRICE Stephen	1768
4	ISA Letitia	1713
4	CLARK Marion	1515
4	CLARK Nathan	1496
4	SHAND David	1483
4	NG Shan	1270
4	O'DWYER Letitia	0
4	PETERS John	0
4	TURNER Susan	0
5	KEDGLEY Sue	8992
5	KALDERIMIS Chris	8175
5	ADAMS Kathryn	7538
5	VERRALL Ayesha	7093
5	COFFEY 'Ana	6560
5	BLAKELEY Roger	5844
5	BROWN Eileen	5251
5	SIMPSON Vanessa	3971
5	HUGHES Glenda	3854
5	MITIKULENA Alvin	3618
5	FISO John	3504
5	HOLBOROW Janet	2959
5	MARSH Simon (Swampy)	2887
5	APANOWICZ John	2800
5	ISA Letitia	1794
5	GRICE Stephen	1792
5	CLARK Marion	1537
5	SHAND David	1529
5	CLARK Nathan	1512
5	NG Shan	0
5	O'DWYER Letitia	0
5	PETERS John	0
5	TURNER Susan	0
6	KEDGLEY Sue	9066
6	KALDERIMIS Chris	8261
6	ADAMS Kathryn	7681
6	VERRALL Ayesha	7176
6	COFFEY 'Ana	6703
6	BLAKELEY Roger	5947
6	BROWN Eileen	5309
6	SIMPSON Vanessa	4027
6	HUGHES Glenda	3909
6	MITIKULENA Alvin	3667
6	FISO John	3575
6	HOLBOROW Janet	3030
6	MARSH Simon (Swampy)	2929
6	APANOWICZ John	2852
6	GRICE Stephen	1887
6	ISA Letitia	1872
6	CLARK Marion	1643
6	SHAND David	1570
6	CLARK Nathan	0
6	NG Shan	0
6	O'DWYER Letitia	0
6	PETERS John	0
6	TURNER Susan	0
7	KEDGLEY Sue	9225
7	KALDERIMIS Chris	8434
7	ADAMS Kathryn	7778
7	VERRALL Ayesha	7252
7	COFFEY 'Ana	6767
7	BLAKELEY Roger	6099
7	BROWN Eileen	5349
7	SIMPSON Vanessa	4166
7	HUGHES Glenda	3989
7	MITIKULENA Alvin	3742
7	FISO John	3632
7	HOLBOROW Janet	3100
7	MARSH Simon (Swampy)	3041
7	APANOWICZ John	2920
7	GRICE Stephen	1928
7	ISA Letitia	1899
7	CLARK Marion	1677
7	CLARK Nathan	0
7	NG Shan	0
7	O'DWYER Letitia	0
7	PETERS John	0
7	SHAND David	0
7	TURNER Susan	0
8	KEDGLEY Sue	9314
8	KALDERIMIS Chris	8551
8	ADAMS Kathryn	7975
8	VERRALL Ayesha	7333
8	COFFEY 'Ana	6966
8	BLAKELEY Roger	6218
8	BROWN Eileen	5495
8	SIMPSON Vanessa	4257
8	HUGHES Glenda	4091
8	MITIKULENA Alvin	3787
8	FISO John	3722
8	HOLBOROW Janet	3160
8	MARSH Simon (Swampy)	3095
8	APANOWICZ John	2978
8	GRICE Stephen	2020
8	ISA Letitia	1960
8	CLARK Marion	0
8	CLARK Nathan	0
8	NG Shan	0
8	O'DWYER Letitia	0
8	PETERS John	0
8	SHAND David	0
8	TURNER Susan	0
9	KEDGLEY Sue	9461
